Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,26-023,DAL,,SAS,W (+11),1,18:31,3,6,.500,0,0,,3,4,.750,4,2,6,2,1,1,1,5,9,9.1,+8
2,2,2024-10-26,26-025,DAL,@,PHO,L (-12),1,18:09,3,7,.429,0,0,,1,2,.500,4,4,8,4,0,0,1,2,7,7.9,-1
3,3,2024-10-28,26-027,DAL,,UTA,W (+8),1,20:26,4,8,.500,0,0,,1,1,1.000,4,3,7,0,0,3,0,2,9,10.0,-1
4,4,2024-10-29,26-028,DAL,@,MIN,W (+6),1,20:44,6,6,1.000,0,0,,2,2,1.000,1,3,4,1,1,1,0,3,14,15.0,+1
5,5,2024-10-31,26-030,DAL,,HOU,L (-6),1,15:05,3,4,.750,0,0,,0,0,,1,2,3,1,0,2,1,4,6,5.2,-15
6,6,2024-11-03,26-033,DAL,,ORL,W (+23),1,20:07,9,13,.692,0,0,,0,1,.000,3,5,8,0,1,0,3,3,18,12.5,+4
7,7,2024-11-04,26-034,DAL,,IND,L (-7),1,15:08,3,3,1.000,0,0,,2,2,1.000,1,3,4,0,0,0,0,3,8,7.5,-12
8,8,2024-11-06,26-036,DAL,,CHI,W (+20),1,23:32,7,9,.778,0,0,,3,4,.750,2,5,7,1,0,3,0,1,17,18.4,+19
9,9,2024-11-08,26-038,DAL,,PHO,L (-1),1,23:09,6,7,.857,0,0,,3,3,1.000,3,4,7,0,0,0,1,6,15,12.4,0
10,10,2024-11-10,26-040,DAL,@,DEN,L (-2),1,33:48,7,9,.778,0,0,,2,4,.500,2,5,7,3,2,2,1,5,16,17.1,-5
11,11,2024-11-12,26-042,DAL,@,GSW,L (-3),1,23:35,7,8,.875,0,0,,1,3,.333,2,4,6,2,0,0,1,5,15,12.4,+2
12,12,2024-11-14,26-044,DAL,@,UTA,L (-2),0,18:59,4,7,.571,0,0,,2,4,.500,4,1,5,0,0,2,0,1,10,10.0,-19
13,13,2024-11-16,26-046,DAL,,SAS,W (+17),0,18:13,9,10,.900,0,0,,4,4,1.000,3,4,7,1,1,3,0,2,22,24.9,+13
14,14,2024-11-17,26-047,DAL,@,OKC,W (+2),0,17:57,4,9,.444,0,0,,3,7,.429,8,4,12,0,0,1,3,2,11,8.4,-12
15,15,2024-11-19,26-049,DAL,,NOP,W (+41),0,20:12,5,7,.714,0,0,,1,1,1.000,3,3,6,0,0,0,2,1,11,8.7,+12
16,16,2024-11-22,26-052,DAL,@,DEN,W (+3),0,27:00,5,7,.714,0,0,,3,4,.750,3,3,6,1,3,1,0,2,13,16.3,+5
17,17,2024-11-24,26-054,DAL,@,MIA,L (-5),0,20:37,5,6,.833,0,0,,0,0,,3,5,8,2,0,3,1,2,10,13.1,-13
18,18,2024-11-25,26-055,DAL,@,ATL,W (+10),0,23:25,5,6,.833,0,0,,0,0,,3,6,9,3,1,2,0,0,10,16.2,-2
19,,2024-11-27,26-057,DAL,,NYK,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,19,2024-11-30,26-060,DAL,@,UTA,W (+12),0,23:56,6,6,1.000,0,0,,2,3,.667,3,8,11,3,1,0,2,3,14,16.2,+11
21,20,2024-12-01,26-061,DAL,@,POR,W (+6),1,27:09,7,11,.636,0,0,,5,7,.714,1,3,4,4,0,0,1,2,19,15.9,+11
22,21,2024-12-03,26-063,DAL,,MEM,W (+5),0,15:33,4,4,1.000,0,0,,3,3,1.000,1,3,4,0,1,1,0,1,11,12.7,-6
23,22,2024-12-05,26-065,DAL,@,WAS,W (+36),0,18:32,6,9,.667,0,0,,4,6,.667,3,4,7,1,0,2,0,3,16,15.5,+24
24,23,2024-12-07,26-067,DAL,@,TOR,W (+7),0,20:37,5,6,.833,0,0,,0,0,,3,3,6,0,1,3,4,2,10,9.1,+4
25,24,2024-12-10,26-070,DAL,@,OKC,L (-14),0,16:05,4,4,1.000,0,0,,1,3,.333,0,2,2,1,0,0,0,0,9,8.3,0
26,25,2024-12-15,26-075,DAL,@,GSW,W (+10),0,16:54,5,7,.714,0,0,,0,0,,4,5,9,1,0,0,3,3,10,7.9,0
27,26,2024-12-19,26-079,DAL,,LAC,L (-23),0,13:51,0,4,.000,0,0,,2,4,.500,2,2,4,2,0,0,1,2,2,0.0,-12
28,27,2024-12-21,26-081,DAL,,LAC,W (+16),0,18:58,4,5,.800,0,0,,5,7,.714,1,5,6,2,0,2,2,5,13,11.3,+3
29,28,2024-12-23,26-083,DAL,,POR,W (+24),0,20:52,7,7,1.000,0,0,,9,14,.643,1,4,5,2,0,1,0,0,23,22.9,+10
30,29,2024-12-25,26-085,DAL,,MIN,L (-6),0,12:57,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-1.5,-9
31,30,2024-12-27,26-087,DAL,@,PHO,W (+9),1,28:57,7,11,.636,0,0,,2,2,1.000,2,3,5,1,0,2,1,4,16,12.9,+8
32,31,2024-12-28,26-088,DAL,@,POR,L (-4),1,28:15,6,8,.750,0,0,,3,4,.750,4,5,9,0,1,5,3,4,15,15.6,-5
33,32,2024-12-30,26-090,DAL,@,SAC,L (-10),1,27:30,3,5,.600,0,0,,2,2,1.000,0,6,6,0,1,5,3,5,8,7.0,-12
34,33,2025-01-01,26-092,DAL,@,HOU,L (-11),0,11:45,2,4,.500,0,0,,0,0,,1,3,4,0,1,1,2,2,4,2.5,-27
35,34,2025-01-03,26-094,DAL,,CLE,L (-12),0,16:50,5,6,.833,0,0,,2,4,.500,5,3,8,2,0,1,1,0,12,14.5,-2
36,35,2025-01-06,26-097,DAL,@,MEM,L (-15),0,7:50,2,3,.667,0,0,,1,3,.333,0,1,1,0,0,1,0,2,5,3.1,+6
