Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,33-096,DAL,,SAS,W (+11),0,1:42,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-2
2,2,2024-10-26,33-098,DAL,@,PHO,L (-12),0,1:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,3,2024-10-28,33-100,DAL,,UTA,W (+8),0,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
4,,2024-10-29,33-101,DAL,@,MIN,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,4,2024-10-31,33-103,DAL,,HOU,L (-6),0,6:20,1,1,1.000,0,0,,2,2,1.000,2,0,2,0,0,0,1,1,4,3.7,+1
6,5,2024-11-03,33-106,DAL,,ORL,W (+23),0,7:48,0,0,,0,0,,0,2,.000,0,2,2,0,0,2,1,3,0,-1.0,-6
7,6,2024-11-04,33-107,DAL,,IND,L (-7),0,7:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+6
8,7,2024-11-06,33-109,DAL,,CHI,W (+20),0,19:36,1,1,1.000,0,0,,3,4,.750,1,4,5,3,2,1,1,3,5,8.8,+9
9,8,2024-11-08,33-111,DAL,,PHO,L (-1),0,24:51,1,1,1.000,0,0,,2,2,1.000,1,5,6,1,0,1,0,5,4,5.3,-1
10,9,2024-11-10,33-113,DAL,@,DEN,L (-2),0,14:12,2,3,.667,0,0,,3,4,.750,2,3,5,1,1,0,0,3,7,8.1,+3
11,,2024-11-12,33-115,DAL,@,GSW,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,10,2024-11-14,33-117,DAL,@,UTA,L (-2),0,12:43,0,1,.000,0,0,,0,0,,2,1,3,3,0,2,1,2,0,2.7,+6
13,11,2024-11-16,33-119,DAL,,SAS,W (+17),0,9:17,0,0,,0,0,,0,0,,0,2,2,1,1,0,0,3,0,1.1,-7
14,12,2024-11-17,33-120,DAL,@,OKC,W (+2),0,3:48,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,+6
