Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-278,LAC,,PHO,L (-3),0,13:00,3,5,.600,0,0,,0,0,,2,2,4,0,0,0,0,2,6,4.9,-5
2,2,2024-10-26,23-281,LAC,@,DEN,W (+5),0,3:44,0,0,,0,0,,0,0,,1,1,2,0,0,1,0,0,0,1.7,-1
3,3,2024-10-27,23-282,LAC,@,GSW,W (+8),0,4:35,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-0.1,-1
4,4,2024-10-30,23-285,LAC,,POR,L (-1),0,16:41,2,2,1.000,0,0,,3,5,.600,3,2,5,1,0,2,0,2,7,9.6,-2
5,5,2024-10-31,23-286,LAC,,PHO,L (-6),0,9:46,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,1,0,0,0.0,+3
6,6,2024-11-02,23-288,LAC,,OKC,L (-13),0,9:50,2,2,1.000,0,0,,0,0,,2,0,2,1,0,1,1,1,4,4.8,+7
7,7,2024-11-04,23-290,LAC,,SAS,W (+9),0,4:14,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-9
8,8,2024-11-06,23-292,LAC,,PHI,W (+12),0,8:50,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,0.3,-8
9,,2024-11-08,23-294,LAC,@,SAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,9,2024-11-09,23-295,LAC,,TOR,W (+2),0,3:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,0
11,,2024-11-11,23-297,LAC,@,OKC,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,2024-11-13,23-299,LAC,@,HOU,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,10,2024-11-15,23-301,LAC,@,HOU,L (-21),0,11:08,2,2,1.000,0,0,,0,0,,1,3,4,0,0,1,1,2,4,3.9,-1
14,,2024-11-17,23-303,LAC,,UTA,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
