Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,34-259,DAL,,SAS,W (+11),1,26:05,7,13,.538,6,10,.600,2,2,1.000,3,4,7,1,3,0,0,1,22,22.3,+16
2,2,2024-10-26,34-261,DAL,@,PHO,L (-12),1,33:20,7,16,.438,5,12,.417,0,0,,0,3,3,1,1,0,1,4,19,10.6,-1
3,3,2024-10-28,34-263,DAL,,UTA,W (+8),1,27:49,7,15,.467,4,11,.364,0,0,,1,3,4,2,0,0,1,0,18,12.3,+7
4,4,2024-10-29,34-264,DAL,@,MIN,W (+6),1,29:42,2,7,.286,2,7,.286,1,1,1.000,0,0,0,1,1,0,0,1,7,4.2,+1
5,5,2024-10-31,34-266,DAL,,HOU,L (-6),1,30:29,5,13,.385,2,9,.222,0,0,,0,1,1,1,1,0,0,1,12,6.5,-9
6,6,2024-11-03,34-269,DAL,,ORL,W (+23),1,28:36,4,10,.400,1,5,.200,0,0,,1,4,5,4,0,2,1,0,9,8.7,+19
7,7,2024-11-04,34-270,DAL,,IND,L (-7),1,33:54,6,12,.500,4,8,.500,0,0,,0,2,2,3,0,0,2,0,16,10.7,-14
8,8,2024-11-06,34-272,DAL,,CHI,W (+20),1,24:49,5,10,.500,3,7,.429,0,0,,1,5,6,1,0,0,1,1,13,9.5,+27
9,9,2024-11-08,34-274,DAL,,PHO,L (-1),1,33:46,4,13,.308,1,7,.143,3,3,1.000,0,4,4,2,0,0,1,3,12,4.9,+5
10,10,2024-11-10,34-276,DAL,@,DEN,L (-2),1,32:31,4,13,.308,1,6,.167,1,1,1.000,0,5,5,4,0,0,1,2,10,5.0,-4
11,11,2024-11-12,34-278,DAL,@,GSW,L (-3),1,33:35,7,17,.412,6,12,.500,2,2,1.000,0,4,4,3,0,0,2,5,22,12.2,-3
12,12,2024-11-14,34-280,DAL,@,UTA,L (-2),1,28:06,6,17,.353,5,13,.385,0,0,,0,3,3,2,0,1,3,0,17,7.5,+4
13,13,2024-11-16,34-282,DAL,,SAS,W (+17),1,18:49,4,7,.571,1,3,.333,0,0,,0,0,0,0,0,0,1,0,9,4.7,+7
14,14,2024-11-17,34-283,DAL,@,OKC,W (+2),1,25:03,1,11,.091,1,8,.125,2,2,1.000,0,3,3,0,2,1,0,0,5,1.3,-5
15,15,2024-11-19,34-285,DAL,,NOP,W (+41),1,23:59,6,15,.400,5,9,.556,2,2,1.000,2,2,4,1,2,0,0,0,19,15.6,+9
16,16,2024-11-22,34-288,DAL,@,DEN,W (+3),1,23:24,0,8,.000,0,4,.000,0,0,,1,3,4,4,0,1,2,2,0,-3.3,+9
17,17,2024-11-24,34-290,DAL,@,MIA,L (-5),1,30:51,5,12,.417,3,5,.600,2,3,.667,3,3,6,1,1,2,0,2,15,13.5,+12
18,,2024-11-25,34-291,DAL,@,ATL,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
