Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,32-215,DAL,,SAS,W (+11),1,27:24,6,17,.353,3,7,.429,0,0,,1,2,3,2,2,1,0,1,15,10.5,+15
2,2,2024-10-26,32-217,DAL,@,PHO,L (-12),1,38:41,9,22,.409,2,5,.400,2,2,1.000,0,2,2,5,3,0,1,4,22,14.7,-13
3,3,2024-10-28,32-219,DAL,,UTA,W (+8),1,35:41,8,14,.571,3,6,.500,4,4,1.000,2,4,6,9,1,1,4,2,23,22.2,+13
4,4,2024-10-29,32-220,DAL,@,MIN,W (+6),1,39:27,13,23,.565,6,8,.750,3,5,.600,2,2,4,5,1,0,1,3,35,27.6,+4
5,5,2024-10-31,32-222,DAL,,HOU,L (-6),1,42:50,10,20,.500,5,6,.833,3,3,1.000,4,4,8,7,0,0,3,2,28,23.1,-3
6,6,2024-11-03,32-225,DAL,,ORL,W (+23),1,28:26,5,11,.455,1,2,.500,6,7,.857,0,2,2,3,2,0,1,2,17,13.8,+17
7,7,2024-11-04,32-226,DAL,,IND,L (-7),1,39:37,11,21,.524,3,7,.429,2,2,1.000,2,3,5,4,0,0,2,3,27,18.6,-11
8,8,2024-11-06,32-228,DAL,,CHI,W (+20),1,27:42,7,11,.636,1,3,.333,2,2,1.000,0,6,6,2,3,0,1,0,17,17.3,+9
9,9,2024-11-08,32-230,DAL,,PHO,L (-1),1,40:46,10,17,.588,2,6,.333,7,9,.778,2,5,7,6,3,0,2,1,29,28.0,+9
10,10,2024-11-10,32-232,DAL,@,DEN,L (-2),1,35:07,17,22,.773,6,8,.750,3,3,1.000,0,5,5,5,1,1,1,1,43,39.7,-6
11,11,2024-11-12,32-234,DAL,@,GSW,L (-3),1,35:59,8,13,.615,1,3,.333,4,5,.800,0,3,3,6,0,0,5,4,21,13.2,-13
12,,2024-11-14,32-236,DAL,@,UTA,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12,2024-11-16,32-238,DAL,,SAS,W (+17),1,28:25,9,15,.600,2,6,.333,2,3,.667,1,7,8,6,2,0,3,2,22,19.9,+22
14,13,2024-11-17,32-239,DAL,@,OKC,W (+2),1,36:04,9,18,.500,3,6,.500,2,2,1.000,1,0,1,6,0,0,1,2,23,17.1,-4
15,14,2024-11-19,32-241,DAL,,NOP,W (+41),1,27:18,6,11,.545,4,5,.800,2,2,1.000,1,0,1,7,0,0,1,1,18,16.9,+28
16,15,2024-11-22,32-244,DAL,@,DEN,W (+3),1,38:06,7,19,.368,1,6,.167,4,4,1.000,1,5,6,6,1,1,3,3,19,12.4,+6
