Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,26-274,DAL,,SAS,W (+11),0,21:14,1,6,.167,0,2,.000,0,0,,0,1,1,3,0,0,0,1,2,0.2,-7
2,2,2024-10-26,26-276,DAL,@,PHO,L (-12),0,15:57,1,5,.200,0,2,.000,0,0,,1,1,2,3,1,0,0,2,2,2.2,0
3,3,2024-10-28,26-278,DAL,,UTA,W (+8),0,14:36,2,4,.500,0,2,.000,0,0,,1,5,6,2,1,0,1,0,4,5.6,+8
4,4,2024-10-29,26-279,DAL,@,MIN,W (+6),0,16:12,0,3,.000,0,0,,4,4,1.000,0,3,3,3,2,0,0,1,4,6.5,+5
5,5,2024-10-31,26-281,DAL,,HOU,L (-6),0,21:38,2,3,.667,0,1,.000,0,0,,0,2,2,3,0,1,1,2,4,4.3,+9
6,6,2024-11-03,26-284,DAL,,ORL,W (+23),0,21:16,2,5,.400,0,2,.000,0,0,,0,5,5,5,2,0,1,1,4,6.9,+9
7,7,2024-11-04,26-285,DAL,,IND,L (-7),0,33:43,8,9,.889,2,2,1.000,2,2,1.000,1,4,5,6,1,0,0,2,20,23.2,+5
8,8,2024-11-06,26-287,DAL,,CHI,W (+20),1,21:23,4,7,.571,0,1,.000,0,0,,1,1,2,2,2,0,2,0,8,7.1,+18
9,9,2024-11-08,26-289,DAL,,PHO,L (-1),1,29:20,7,12,.583,2,6,.333,2,2,1.000,2,3,5,0,0,0,3,2,18,10.9,-7
10,10,2024-11-10,26-291,DAL,@,DEN,L (-2),1,36:22,5,9,.556,0,2,.000,1,1,1.000,3,5,8,0,1,1,0,1,11,11.6,+7
11,11,2024-11-12,26-293,DAL,@,GSW,L (-3),1,22:05,2,6,.333,0,3,.000,2,2,1.000,2,1,3,2,1,0,2,2,6,3.9,-10
12,12,2024-11-14,26-295,DAL,@,UTA,L (-2),0,33:55,9,14,.643,0,2,.000,1,1,1.000,2,0,2,4,3,0,3,2,19,16.2,+6
13,13,2024-11-16,26-297,DAL,,SAS,W (+17),0,18:17,2,9,.222,0,2,.000,2,2,1.000,1,2,3,4,1,0,0,3,6,4.4,+2
14,14,2024-11-17,26-298,DAL,@,OKC,W (+2),0,26:58,4,6,.667,0,1,.000,5,5,1.000,2,2,4,3,0,0,4,1,13,10.1,-8
15,15,2024-11-19,26-300,DAL,,NOP,W (+41),0,20:20,5,8,.625,0,2,.000,5,6,.833,0,0,0,3,3,0,1,4,15,13.5,+27
16,16,2024-11-22,26-303,DAL,@,DEN,W (+3),0,26:23,11,15,.733,3,4,.750,1,2,.500,0,1,1,1,1,0,2,2,26,18.7,+8
17,17,2024-11-24,26-305,DAL,@,MIA,L (-5),0,30:25,8,16,.500,3,5,.600,1,3,.333,2,3,5,1,0,0,2,2,20,11.4,-18
18,18,2024-11-25,26-306,DAL,@,ATL,W (+10),1,28:16,9,12,.750,2,3,.667,2,2,1.000,1,5,6,1,0,0,4,0,22,16.1,+3
19,19,2024-11-27,26-308,DAL,,NYK,W (+15),1,30:11,10,17,.588,2,6,.333,2,2,1.000,3,0,3,1,0,0,2,2,24,16.1,+7
20,20,2024-11-30,26-311,DAL,@,UTA,W (+12),1,13:22,1,5,.200,1,3,.333,0,0,,1,0,1,1,0,0,1,1,3,-0.1,+8
21,,2024-12-01,26-312,DAL,@,POR,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2024-12-03,26-314,DAL,,MEM,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-05,26-316,DAL,@,WAS,W (+36),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-07,26-318,DAL,@,TOR,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,21,2024-12-10,26-321,DAL,@,OKC,L (-14),0,29:01,7,11,.636,2,4,.500,3,4,.750,0,4,4,2,1,0,2,1,19,14.9,-14
26,,2024-12-15,26-326,DAL,@,GSW,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,22,2024-12-19,26-330,DAL,,LAC,L (-23),0,24:03,4,12,.333,1,4,.250,0,0,,1,4,5,1,1,0,1,1,9,4.4,-15
28,23,2024-12-21,26-332,DAL,,LAC,W (+16),0,21:19,4,8,.500,2,3,.667,2,2,1.000,0,3,3,2,1,0,1,0,12,10.3,+6
29,24,2024-12-23,26-334,DAL,,POR,W (+24),0,15:36,2,6,.333,0,1,.000,0,0,,0,1,1,2,0,0,0,1,4,1.9,-5
30,25,2024-12-25,26-336,DAL,,MIN,L (-6),0,13:43,1,3,.333,0,0,,2,2,1.000,0,2,2,0,0,0,1,1,4,1.5,-7
31,26,2024-12-27,26-338,DAL,@,PHO,W (+9),1,18:39,2,3,.667,0,0,,0,0,,0,3,3,2,0,0,1,1,4,3.6,+10
32,,2024-12-28,26-339,DAL,@,POR,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
33,,2024-12-30,26-341,DAL,@,SAC,L (-10),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
34,,2025-01-01,26-343,DAL,@,HOU,L (-11),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
35,,2025-01-03,26-345,DAL,,CLE,L (-12),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
36,27,2025-01-06,26-348,DAL,@,MEM,L (-15),1,32:44,5,15,.333,2,6,.333,4,5,.800,1,5,6,3,2,0,2,2,16,10.6,-8
37,28,2025-01-07,26-349,DAL,,LAL,W (+21),1,28:58,2,11,.182,1,6,.167,2,2,1.000,3,2,5,2,1,0,1,1,7,3.8,-13
38,29,2025-01-09,26-351,DAL,,POR,W (+6),1,26:15,5,9,.556,0,1,.000,1,1,1.000,0,2,2,4,0,0,2,2,11,7.3,-6
39,30,2025-01-12,26-354,DAL,,DEN,L (-11),1,30:38,7,12,.583,2,5,.400,0,0,,0,6,6,2,3,0,1,2,16,14.8,+16
40,31,2025-01-14,26-356,DAL,,DEN,L (-19),1,21:46,5,8,.625,0,2,.000,1,1,1.000,0,2,2,4,0,0,1,1,11,9.4,-7
41,32,2025-01-15,26-357,DAL,@,NOP,L (-3),1,30:16,3,7,.429,1,2,.500,0,0,,0,2,2,10,2,0,2,3,7,9.7,-14
42,33,2025-01-17,26-359,DAL,,OKC,W (+8),0,33:45,5,8,.625,3,5,.600,1,1,1.000,1,9,10,1,3,1,3,1,14,14.8,+6
43,34,2025-01-20,26-362,DAL,@,CHO,L (-5),0,32:03,3,10,.300,1,6,.167,1,2,.500,1,4,5,4,1,0,3,2,8,3.7,-2
44,,2025-01-22,26-364,DAL,,MIN,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2025-01-23,26-365,DAL,@,OKC,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2025-01-25,27-001,DAL,,BOS,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2025-01-27,27-003,DAL,,WAS,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,35,2025-01-29,27-005,DAL,@,NOP,W (+1),0,15:03,2,5,.400,1,3,.333,0,0,,0,0,0,2,0,0,1,0,5,2.7,+5
49,36,2025-01-31,27-007,DAL,@,DET,L (-15),0,22:03,3,9,.333,1,4,.250,0,0,,1,2,3,1,0,1,0,1,7,4.2,-11
50,37,2025-02-02,27-009,DAL,@,CLE,L (-43),0,21:55,5,10,.500,0,1,.000,2,2,1.000,1,5,6,2,0,0,1,1,12,9.2,-19
51,38,2025-02-04,27-011,DAL,@,PHI,L (-2),0,25:33,6,13,.462,0,3,.000,7,9,.778,1,3,4,5,3,0,0,1,19,19.2,-8
52,39,2025-02-06,27-013,DAL,@,BOS,W (+7),0,28:32,9,15,.600,2,6,.333,0,0,,1,1,2,3,1,0,2,3,20,14.0,-4
53,40,2025-02-08,27-015,DAL,,HOU,W (+11),0,25:00,7,10,.700,2,3,.667,0,0,,0,4,4,0,1,1,0,2,16,13.9,+4
54,41,2025-02-10,27-017,DAL,,SAC,L (-1),0,27:06,3,4,.750,1,1,1.000,2,4,.500,0,6,6,5,1,0,1,4,9,10.3,+5
55,42,2025-02-12,27-019,DAL,,GSW,W (+4),0,30:19,5,10,.500,0,4,.000,0,0,,4,4,8,1,1,1,3,4,10,6.8,-12
56,43,2025-02-13,27-020,DAL,,MIA,W (+5),0,32:35,4,7,.571,2,3,.667,2,2,1.000,4,5,9,4,1,0,1,2,12,15.0,0
57,44,2025-02-21,27-028,DAL,,NOP,W (+8),0,24:14,5,8,.625,1,3,.333,4,5,.800,0,10,10,1,0,0,1,0,15,13.7,+6
58,45,2025-02-23,27-030,DAL,@,GSW,L (-24),0,21:04,3,8,.375,1,4,.250,2,2,1.000,1,4,5,2,0,0,2,1,9,5.5,-28
59,46,2025-02-25,27-032,DAL,@,LAL,L (-8),0,24:00,2,7,.286,1,5,.200,4,4,1.000,1,4,5,3,2,1,2,3,9,8.4,+9
60,47,2025-02-27,27-034,DAL,,CHO,W (+7),1,33:04,1,11,.091,0,6,.000,1,2,.500,2,7,9,6,0,0,2,1,3,0.6,+8
61,48,2025-03-01,27-036,DAL,,MIL,L (-15),0,29:30,3,7,.429,0,4,.000,1,1,1.000,1,3,4,4,4,0,3,1,7,8.3,-3
62,49,2025-03-03,27-038,DAL,,SAC,L (-24),0,29:43,7,13,.538,0,3,.000,4,4,1.000,1,4,5,6,2,0,1,1,18,18.4,-3
63,50,2025-03-05,27-040,DAL,@,MIL,L (-30),1,32:17,10,18,.556,2,6,.333,0,1,.000,2,9,11,2,1,0,3,1,22,16.1,-16
64,51,2025-03-07,27-042,DAL,,MEM,L (-11),1,39:51,10,23,.435,1,6,.167,8,9,.889,6,11,17,2,2,0,2,3,29,24.2,-16
65,52,2025-03-09,27-044,DAL,,PHO,L (-9),1,40:37,13,22,.591,3,7,.429,5,6,.833,1,8,9,10,2,0,2,1,34,33.1,+5
