Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,26-062,DAL,,SAS,W (+11),1,26:19,4,11,.364,2,7,.286,1,2,.500,2,3,5,2,1,0,0,1,11,8.8,-6
2,2,2024-10-26,26-064,DAL,@,PHO,L (-12),1,35:17,2,10,.200,1,5,.200,0,0,,2,4,6,0,1,1,1,4,5,0.5,-3
3,3,2024-10-28,26-066,DAL,,UTA,W (+8),1,33:13,6,11,.545,0,4,.000,0,0,,1,10,11,2,4,2,3,2,12,13.4,+1
4,4,2024-10-29,26-067,DAL,@,MIN,W (+6),1,32:10,7,13,.538,3,6,.500,0,0,,4,4,8,3,1,0,0,5,17,15.8,+3
5,5,2024-10-31,26-069,DAL,,HOU,L (-6),1,37:25,3,6,.500,0,2,.000,0,2,.000,1,8,9,1,3,3,1,3,6,8.9,-3
6,6,2024-11-03,26-072,DAL,,ORL,W (+23),1,28:26,3,4,.750,1,2,.500,0,0,,1,3,4,2,1,0,1,1,7,8.0,+16
7,7,2024-11-04,26-073,DAL,,IND,L (-7),1,34:52,3,11,.273,0,5,.000,2,4,.500,1,10,11,0,0,3,2,2,8,3.7,-6
8,,2024-11-06,26-075,DAL,,CHI,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2024-11-08,26-077,DAL,,PHO,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2024-11-10,26-079,DAL,@,DEN,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2024-11-12,26-081,DAL,@,GSW,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
