Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,31-201,DAL,,SAS,W (+11),0,2:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
2,,2024-10-26,31-203,DAL,@,PHO,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2024-10-28,31-205,DAL,,UTA,W (+8),0,23:11,3,5,.600,3,4,.750,2,4,.500,0,0,0,1,0,1,1,3,11,7.1,+7
4,3,2024-10-29,31-206,DAL,@,MIN,W (+6),0,18:05,1,5,.200,1,5,.200,0,0,,0,2,2,2,1,0,1,2,3,1.1,+8
5,4,2024-10-31,31-208,DAL,,HOU,L (-6),0,12:15,0,5,.000,0,3,.000,4,4,1.000,0,1,1,3,0,0,0,0,4,2.9,-13
6,5,2024-11-03,31-211,DAL,,ORL,W (+23),0,15:49,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,1,0,1,0,1.0,+11
7,6,2024-11-04,31-212,DAL,,IND,L (-7),0,23:02,6,8,.750,2,3,.667,0,0,,0,3,3,1,0,0,0,4,14,10.8,-3
8,7,2024-11-06,31-214,DAL,,CHI,W (+20),0,22:18,1,8,.125,0,6,.000,1,2,.500,1,2,3,4,0,0,2,2,3,-1.3,+5
9,8,2024-11-08,31-216,DAL,,PHO,L (-1),0,28:21,1,2,.500,1,1,1.000,0,0,,0,0,0,2,1,0,0,1,3,4.0,-2
10,9,2024-11-10,31-218,DAL,@,DEN,L (-2),0,20:19,2,6,.333,1,4,.250,0,0,,0,0,0,4,0,0,1,1,5,3.0,+3
11,10,2024-11-12,31-220,DAL,@,GSW,L (-3),0,11:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
12,11,2024-11-14,31-222,DAL,@,UTA,L (-2),0,15:50,0,2,.000,0,1,.000,0,0,,0,2,2,1,2,1,2,0,0,0.6,0
13,12,2024-11-16,31-224,DAL,,SAS,W (+17),0,8:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7
14,13,2024-11-17,31-225,DAL,@,OKC,W (+2),0,17:13,3,7,.429,2,3,.667,2,2,1.000,0,3,3,1,1,0,0,2,10,8.1,+1
15,,2024-11-19,31-227,DAL,,NOP,W (+41),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,14,2024-11-22,31-230,DAL,@,DEN,W (+3),0,16:29,3,5,.600,3,5,.600,1,2,.500,0,2,2,4,0,0,0,0,10,10.7,-3
17,15,2024-11-24,31-232,DAL,@,MIA,L (-5),0,27:55,1,12,.083,0,9,.000,5,5,1.000,0,5,5,7,2,1,0,4,7,6.5,-10
18,16,2024-11-25,31-233,DAL,@,ATL,W (+10),0,35:34,6,11,.545,4,7,.571,6,7,.857,0,3,3,4,0,0,2,1,22,17.6,+11
19,17,2024-11-27,31-235,DAL,,NYK,W (+15),0,32:53,8,11,.727,3,5,.600,2,2,1.000,1,2,3,9,1,0,1,4,21,22.5,+9
20,18,2024-11-30,31-238,DAL,@,UTA,W (+12),0,30:37,2,9,.222,1,4,.250,2,2,1.000,1,1,2,10,3,0,1,3,7,10.3,+7
21,19,2024-12-01,31-239,DAL,@,POR,W (+6),0,34:17,5,9,.556,2,4,.500,8,8,1.000,0,1,1,5,2,0,2,3,20,18.3,+14
22,20,2024-12-03,31-241,DAL,,MEM,W (+5),0,24:29,5,10,.500,3,5,.600,3,4,.750,0,1,1,4,0,1,2,2,16,11.6,-1
23,21,2024-12-05,31-243,DAL,@,WAS,W (+36),0,23:08,4,5,.800,4,5,.800,0,0,,0,4,4,2,0,1,0,1,12,13.0,+21
24,22,2024-12-07,31-245,DAL,@,TOR,W (+7),0,24:19,1,6,.167,1,4,.250,8,8,1.000,1,1,2,0,0,0,0,2,11,7.4,+3
25,23,2024-12-10,31-248,DAL,@,OKC,L (-14),0,22:42,3,9,.333,1,4,.250,2,3,.667,0,3,3,4,3,0,3,1,9,6.8,-1
26,24,2024-12-15,31-253,DAL,@,GSW,W (+10),0,21:21,0,2,.000,0,1,.000,0,0,,0,3,3,4,0,0,2,0,0,0.3,-8
27,25,2024-12-19,31-257,DAL,,LAC,L (-23),1,37:20,6,16,.375,0,6,.000,7,9,.778,1,2,3,7,3,1,1,0,19,18.3,-17
28,26,2024-12-21,31-259,DAL,,LAC,W (+16),1,29:00,4,13,.308,1,6,.167,6,6,1.000,0,3,3,6,3,0,1,1,15,14.2,+11
29,27,2024-12-23,31-261,DAL,,POR,W (+24),0,14:06,1,2,.500,1,1,1.000,0,0,,1,0,1,2,1,0,1,1,3,3.7,+6
30,28,2024-12-25,31-263,DAL,,MIN,L (-6),0,14:08,0,7,.000,0,4,.000,2,2,1.000,0,1,1,2,1,0,0,0,2,-0.2,-9
31,29,2024-12-27,31-265,DAL,@,PHO,W (+9),0,22:41,5,12,.417,1,5,.200,4,4,1.000,0,3,3,3,2,1,1,0,15,13.3,+4
32,30,2024-12-28,31-266,DAL,@,POR,L (-4),1,35:19,5,13,.385,2,6,.333,5,5,1.000,0,8,8,4,0,0,1,5,17,12.1,+3
33,31,2024-12-30,31-268,DAL,@,SAC,L (-10),1,35:30,8,18,.444,3,6,.500,11,12,.917,0,3,3,6,1,0,2,1,30,23.9,-9
34,32,2025-01-01,31-270,DAL,@,HOU,L (-11),1,24:23,3,7,.429,2,4,.500,0,2,.000,0,1,1,2,0,0,3,1,8,1.8,+1
35,33,2025-01-03,31-272,DAL,,CLE,L (-12),1,23:23,1,7,.143,0,3,.000,0,0,,1,3,4,5,0,0,3,1,2,-0.8,-16
