Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,35-347,DEN,,OKC,L (-15),0,21:15,2,10,.200,1,6,.167,1,4,.250,1,4,5,5,1,2,2,0,6,4.4,-24
2,2,2024-10-26,35-349,DEN,,LAC,L (-5),0,19:06,0,8,.000,0,3,.000,2,2,1.000,0,1,1,2,2,1,0,4,2,-0.8,-13
3,3,2024-10-28,35-351,DEN,@,TOR,W (+2),0,17:58,3,7,.429,0,1,.000,3,4,.750,1,3,4,3,1,0,2,4,9,6.0,-1
4,4,2024-10-29,35-352,DEN,@,BRK,W (+5),0,20:34,5,12,.417,2,2,1.000,10,10,1.000,0,1,1,5,1,0,1,2,22,18.6,0
5,5,2024-11-01,35-355,DEN,@,MIN,L (-3),0,25:20,1,8,.125,0,3,.000,3,4,.750,3,3,6,5,2,1,4,2,5,3.8,-13
6,6,2024-11-02,35-356,DEN,,UTA,W (+26),1,31:24,2,11,.182,1,4,.250,0,4,.000,1,2,3,7,5,0,4,4,5,2.1,+12
7,7,2024-11-04,35-358,DEN,,TOR,W (+2),1,34:03,6,10,.600,1,5,.200,8,10,.800,1,5,6,6,1,1,4,4,21,18.1,-3
8,8,2024-11-06,35-360,DEN,,OKC,W (+2),1,32:10,10,15,.667,3,4,.750,6,9,.667,1,5,6,6,1,0,4,4,29,23.1,-14
9,9,2024-11-08,35-362,DEN,,MIA,W (+13),0,24:02,2,5,.400,2,3,.667,0,0,,0,4,4,10,0,1,2,2,6,9.4,-5
10,10,2024-11-10,35-364,DEN,,DAL,W (+2),0,19:50,3,10,.300,0,2,.000,0,0,,2,3,5,5,1,0,2,2,6,4.2,-13
11,11,2024-11-15,36-003,DEN,@,NOP,L (-7),0,21:53,2,8,.250,1,3,.333,0,0,,1,3,4,7,0,0,1,3,5,4.5,-1
12,12,2024-11-17,36-005,DEN,@,MEM,L (-15),0,23:10,4,10,.400,2,3,.667,2,4,.500,0,3,3,3,1,1,3,1,12,7.1,-10
