Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,23-028,DET,,IND,L (-6),1,36:32,.546,.478,0.0,19.9,8.5,42.3,1.3,0.0,7.2,31.8,119,117,21.2,6.2
2,2,2024-10-25,23-030,DET,@,CLE,L (-12),1,34:55,.652,.625,6.5,7.0,6.8,44.0,0.0,0.0,26.2,42.7,99,118,17.4,0.7
3,3,2024-10-26,23-031,DET,,BOS,L (-6),1,40:31,.450,.455,0.0,14.8,8.8,36.6,1.2,11.3,23.1,31.9,88,122,13.2,-2.6
4,4,2024-10-28,23-033,DET,@,MIA,L (-8),1,34:52,.621,.611,2.6,21.4,11.2,36.5,2.9,3.4,20.6,29.0,115,106,17.7,9.2
5,5,2024-10-30,23-035,DET,@,PHI,W (+10),1,36:36,.624,.533,3.2,11.7,7.6,32.6,1.4,2.6,22.1,28.4,115,105,16.6,4.7
6,6,2024-11-01,23-037,DET,,NYK,L (-30),1,32:05,.579,.579,0.0,20.4,10.8,34.5,0.0,2.4,5.0,28.2,119,130,18.0,3.1
7,7,2024-11-03,23-039,DET,@,BRK,W (+14),1,35:26,.663,.654,4.2,16.1,11.0,25.9,0.0,0.0,32.8,26.4,95,102,10.2,-4.5
8,8,2024-11-04,23-040,DET,,LAL,W (+12),1,35:48,.443,.441,5.7,26.8,16.0,41.4,0.0,0.0,13.5,25.3,107,106,15.1,3.3
9,9,2024-11-06,23-042,DET,@,CHO,L (-1),1,37:42,.419,.391,2.8,23.9,13.7,36.9,0.0,0.0,7.7,30.2,95,110,13.9,-5.3
10,10,2024-11-08,23-044,DET,,ATL,W (+1),1,36:16,.573,.500,3.3,27.0,16.4,51.5,1.2,2.2,26.7,28.7,110,109,20.0,1.7
11,11,2024-11-10,23-046,DET,,HOU,L (-2),1,36:02,.550,.524,0.0,20.5,10.8,52.9,0.0,2.3,14.5,32.8,108,104,18.7,6.9
12,12,2024-11-12,23-048,DET,,MIA,W (+2),1,37:37,.581,.467,0.0,18.6,10.0,36.7,0.0,5.0,27.9,28.7,102,113,15.3,-0.5
13,13,2024-11-13,23-049,DET,@,MIL,L (-7),1,43:29,.489,.456,5.0,14.2,9.3,44.5,2.3,6.1,14.4,42.2,101,115,23.5,4.6
14,14,2024-11-15,23-051,DET,@,TOR,W (+4),1,36:28,.343,.333,5.3,8.9,7.2,42.3,1.3,0.0,15.5,28.9,82,99,8.1,-3.7
15,15,2024-11-17,23-053,DET,@,WAS,W (+20),1,30:34,.610,.533,6.7,29.2,17.4,44.9,7.8,2.8,10.4,26.4,138,88,27.0,17.8
16,16,2024-11-18,23-054,DET,,CHI,L (-10),1,36:17,.620,.588,0.0,18.9,8.4,42.1,0.0,0.0,12.5,27.5,127,129,20.7,6.1
17,17,2024-11-21,23-057,DET,@,CHO,L (-2),1,36:46,.451,.385,10.9,9.4,10.2,49.7,1.4,0.0,14.3,39.1,107,121,17.5,-0.1
18,,2024-11-23,23-059,DET,@,ORL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2024-11-25,23-061,DET,,TOR,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2024-11-27,23-063,DET,@,MEM,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,18,2024-11-29,23-065,DET,@,IND,W (+24),1,32:58,.632,.632,0.0,19.9,11.5,47.9,2.9,0.0,24.0,33.2,112,105,19.0,2.3
22,,2024-11-30,23-066,DET,,PHI,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,19,2024-12-03,23-069,DET,,MIL,L (-21),1,33:27,.617,.656,3.2,17.9,9.3,31.8,1.4,0.0,17.7,28.3,111,132,16.1,1.5
24,20,2024-12-04,23-070,DET,@,BOS,L (-10),1,33:42,.617,.595,7.7,24.9,16.6,73.0,0.0,3.5,21.5,35.8,124,129,22.7,4.0
25,21,2024-12-07,23-073,DET,@,NYK,W (+9),1,35:29,.722,.676,7.5,28.5,18.3,65.8,1.4,0.0,13.0,28.3,153,110,31.0,16.9
26,22,2024-12-12,23-078,DET,@,BOS,L (-24),1,35:21,.409,.409,2.6,22.6,11.6,36.5,0.0,3.2,12.0,30.7,85,125,11.9,-4.3
27,23,2024-12-16,23-082,DET,,MIA,W (+1),1,42:19,.521,.500,3.0,23.2,14.4,64.0,0.0,2.2,17.2,23.8,122,112,22.3,6.0
28,24,2024-12-19,23-085,DET,,UTA,L (-7),1,38:40,.666,.630,0.0,12.1,4.9,29.1,1.2,11.5,13.9,29.0,120,118,25.6,8.9
29,25,2024-12-21,23-087,DET,@,PHO,W (+8),1,36:01,.610,.553,0.0,4.3,1.9,46.8,2.7,5.4,14.8,32.2,129,124,24.7,5.2
30,26,2024-12-23,23-089,DET,@,LAL,W (+3),1,35:16,.386,.360,6.5,12.4,9.1,39.2,1.4,0.0,16.2,38.5,89,122,10.6,-9.1
31,27,2024-12-26,23-092,DET,@,SAC,W (+1),1,38:11,.564,.458,0.0,12.0,5.7,47.1,0.0,0.0,9.3,36.2,120,120,23.0,4.9
32,28,2024-12-28,23-094,DET,@,DEN,L (-13),1,26:35,.450,.417,3.8,5.3,4.5,43.3,0.0,0.0,13.7,33.7,103,139,9.6,-6.0
33,29,2025-01-01,23-098,DET,,ORL,W (+9),1,34:20,.638,.643,4.2,20.0,13.6,40.3,0.0,2.5,25.2,25.2,114,97,15.6,5.1
34,30,2025-01-03,23-100,DET,,CHO,W (+4),1,28:46,.431,.425,0.0,18.1,8.7,32.5,3.4,3.3,8.7,33.6,94,92,10.5,1.2
35,31,2025-01-04,23-101,DET,,MIN,W (+14),1,38:09,.623,.586,0.0,18.4,9.4,43.3,1.3,0.0,8.6,38.1,132,110,30.2,11.4
36,32,2025-01-06,23-103,DET,,POR,W (+3),1,38:44,.624,.565,0.0,21.2,9.0,39.3,2.5,0.0,13.5,30.9,128,116,25.6,8.1
