Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,31-038,BRK,@,ATL,L (-4),1,34:20,.385,.375,0.0,9.8,4.8,29.6,1.3,0.0,22.9,25.3,80,119,3.6,-11.3
2,2,2024-10-25,31-040,BRK,@,ORL,L (-15),1,32:27,.727,.708,0.0,4.4,1.9,36.0,1.5,0.0,12.7,21.0,135,121,16.3,6.5
3,3,2024-10-27,31-042,BRK,,MIL,W (+13),1,34:31,.783,.700,0.0,13.2,6.2,29.9,1.4,0.0,9.7,25.2,152,107,24.9,13.2
4,4,2024-10-29,31-044,BRK,,DEN,L (-5),1,41:38,.709,.694,0.0,0.0,0.0,49.1,0.0,0.0,13.2,24.8,139,144,23.8,3.1
5,5,2024-10-30,31-045,BRK,@,MEM,W (+13),1,33:56,1.019,1.000,0.0,7.4,3.9,44.5,1.4,0.0,11.0,23.4,182,110,32.4,21.0
6,6,2024-11-01,31-047,BRK,,CHI,W (+8),1,33:10,.375,.375,3.4,18.5,11.3,23.4,4.3,0.0,14.3,18.3,92,107,10.2,-5.1
7,7,2024-11-03,31-049,BRK,,DET,L (-14),1,33:21,.500,.500,0.0,22.5,9.7,20.8,4.6,0.0,22.2,13.1,88,105,7.4,-3.5
8,8,2024-11-04,31-050,BRK,,MEM,W (+2),1,34:08,.581,.533,0.0,7.4,3.5,28.0,1.5,0.0,14.9,26.8,113,115,13.1,-0.9
9,9,2024-11-08,31-054,BRK,@,BOS,L (-4),1,37:28,.435,.435,0.0,9.9,4.7,15.0,5.4,0.0,14.8,31.9,80,96,9.7,-0.1
10,10,2024-11-09,31-055,BRK,@,CLE,L (-5),1,37:25,.698,.643,3.3,4.3,3.7,25.6,0.0,0.0,6.0,20.7,147,118,17.7,5.8
11,11,2024-11-11,31-057,BRK,@,NOP,W (+2),1,31:36,.651,.611,0.0,9.9,5.0,10.2,0.0,0.0,15.7,17.7,117,118,9.2,-4.2
12,12,2024-11-13,31-059,BRK,,BOS,L (-25),1,30:34,.707,.700,0.0,14.6,8.0,15.4,1.6,0.0,8.1,19.4,131,142,13.1,-2.8
