Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,23-154,DET,,IND,L (-6),0,16:59,.500,.500,6.4,25.7,14.7,16.1,2.9,5.4,50.0,9.9,77,109,2.9,-1.6
2,2,2024-10-25,23-156,DET,@,CLE,L (-12),0,11:28,,,10.0,21.5,15.5,11.0,4.2,8.7,100.0,11.4,36,98,-1.3,-11.0
3,3,2024-10-26,23-157,DET,,BOS,L (-6),0,18:52,1.000,1.000,15.4,15.9,15.7,21.6,2.6,0.0,25.0,9.0,165,124,7.9,5.4
4,4,2024-10-28,23-159,DET,@,MIA,L (-8),0,19:13,.258,.000,33.0,44.4,38.2,14.3,0.0,0.0,43.6,14.9,81,108,4.4,-8.2
5,5,2024-10-30,23-161,DET,@,PHI,W (+10),0,34:29,.673,.333,17.0,18.6,17.8,12.1,1.5,8.2,16.1,8.2,159,98,13.2,5.1
6,6,2024-11-01,23-163,DET,,NYK,L (-30),0,16:28,.333,.333,7.5,6.6,7.0,15.3,2.9,9.3,0.0,8.2,109,121,4.3,0.3
7,7,2024-11-03,23-165,DET,@,BRK,W (+14),0,13:42,1.136,,0.0,41.7,23.7,0.0,0.0,17.5,53.2,6.0,108,83,1.5,-4.2
8,8,2024-11-04,23-166,DET,,LAL,W (+12),0,24:42,.508,.429,16.5,21.6,19.0,9.9,0.0,6.5,0.0,13.0,141,101,10.2,4.1
9,9,2024-11-06,23-168,DET,@,CHO,L (-1),0,25:59,.436,.500,4.1,23.1,13.9,27.4,0.0,4.0,12.7,13.4,105,107,7.8,1.7
10,10,2024-11-08,23-170,DET,,ATL,W (+1),1,32:38,.625,.625,14.7,21.0,18.2,12.0,0.0,2.4,11.1,11.0,137,114,12.3,0.3
11,11,2024-11-10,23-172,DET,,HOU,L (-2),1,33:02,.810,.778,15.5,8.4,11.7,5.6,1.5,4.9,9.2,14.1,156,105,17.4,7.4
12,12,2024-11-12,23-174,DET,,MIA,W (+2),0,22:43,.752,.667,25.4,22.0,23.6,6.9,2.2,0.0,0.0,16.3,175,111,15.9,7.7
13,13,2024-11-13,23-175,DET,@,MIL,L (-7),0,14:20,.750,.750,7.5,17.2,12.1,0.0,0.0,6.2,0.0,18.4,147,119,7.6,3.4
14,14,2024-11-15,23-177,DET,@,TOR,W (+4),0,23:39,.615,.500,4.1,20.6,13.0,5.5,0.0,6.2,29.1,5.9,105,92,4.8,-3.1
15,15,2024-11-17,23-179,DET,@,WAS,W (+20),0,25:27,.563,.563,8.0,17.5,12.6,4.9,0.0,6.7,0.0,13.2,132,103,8.5,-3.1
16,16,2024-11-18,23-180,DET,,CHI,L (-10),0,19:13,.875,.875,0.0,23.8,10.6,21.7,2.6,0.0,33.3,13.0,117,121,6.5,3.3
17,17,2024-11-21,23-183,DET,@,CHO,L (-2),0,28:46,.962,1.000,17.4,16.0,16.7,16.9,1.8,7.5,30.7,13.9,139,113,15.7,5.9
18,18,2024-11-23,23-185,DET,@,ORL,L (-11),0,19:42,.875,.875,6.6,23.8,15.6,35.2,2.7,25.4,50.0,19.2,103,108,9.4,12.3
19,19,2024-11-25,23-187,DET,,TOR,W (+2),0,23:03,.615,.500,18.9,15.1,16.6,15.0,2.3,9.1,12.0,16.7,131,101,11.6,6.2
20,20,2024-11-27,23-189,DET,@,MEM,L (-20),0,18:00,.000,.000,0.0,12.4,6.3,0.0,0.0,0.0,0.0,13.8,0,129,-3.6,-19.9
21,21,2024-11-29,23-191,DET,@,IND,W (+24),0,21:40,.500,.500,13.8,5.0,8.7,9.7,0.0,0.0,0.0,4.0,166,114,3.3,-3.1
22,22,2024-11-30,23-192,DET,,PHI,L (-15),0,15:14,.510,.400,19.7,7.2,13.7,0.0,0.0,11.7,0.0,16.0,125,109,6.3,-1.1
23,23,2024-12-03,23-195,DET,,MIL,L (-21),0,20:00,.765,.700,16.0,22.5,18.7,14.6,0.0,0.0,33.8,18.6,115,134,5.7,-6.0
24,24,2024-12-04,23-196,DET,@,BOS,L (-10),0,22:20,.500,.500,0.0,10.7,5.6,5.3,2.1,5.2,0.0,3.9,125,129,3.2,-3.5
25,25,2024-12-07,23-199,DET,@,NYK,W (+9),0,22:48,.600,.600,5.8,22.2,14.2,11.5,2.1,0.0,0.0,9.5,145,109,7.2,2.0
26,26,2024-12-12,23-204,DET,@,BOS,L (-24),1,27:30,.500,.500,6.7,12.5,9.3,0.0,0.0,4.2,0.0,3.2,132,126,4.0,-8.3
27,27,2024-12-16,23-208,DET,,MIA,W (+1),0,7:20,.500,.500,0.0,40.2,22.6,0.0,0.0,0.0,20.0,29.6,71,110,1.9,-10.2
28,,2024-12-19,23-211,DET,,UTA,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2024-12-21,23-213,DET,@,PHO,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2024-12-23,23-215,DET,@,LAL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2024-12-26,23-218,DET,@,SAC,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,28,2024-12-28,23-220,DET,@,DEN,L (-13),0,16:06,.500,.500,0.0,35.1,14.7,20.8,0.0,0.0,0.0,7.6,142,134,3.0,-0.9
33,29,2025-01-01,23-224,DET,,ORL,W (+9),0,21:16,.595,.500,0.0,36.8,22.0,18.6,0.0,4.0,0.0,12.0,148,91,8.3,7.2
34,30,2025-01-03,23-226,DET,,CHO,W (+4),0,18:14,.833,.833,10.5,28.6,19.2,0.0,2.7,10.5,0.0,6.9,177,87,8.6,7.0
35,31,2025-01-04,23-227,DET,,MIN,W (+14),0,25:07,.500,.500,4.9,23.3,14.3,15.3,0.0,4.8,0.0,13.2,129,109,8.2,1.3
36,32,2025-01-06,23-229,DET,,POR,W (+3),0,14:28,.143,.143,34.6,9.5,24.0,0.0,0.0,12.1,0.0,19.6,80,113,1.5,-17.7
37,33,2025-01-08,23-231,DET,@,BRK,W (+15),0,20:09,.600,.600,13.2,10.8,11.9,12.6,4.9,20.3,0.0,11.2,147,85,11.1,8.5
38,34,2025-01-09,23-232,DET,,GSW,L (-3),0,17:04,.400,.400,13.7,17.6,15.8,8.4,0.0,6.5,0.0,13.0,108,112,5.0,-2.5
39,35,2025-01-11,23-234,DET,,TOR,W (+9),0,19:41,.500,.500,13.2,4.5,8.0,33.2,0.0,4.5,14.3,15.5,128,120,7.5,2.5
40,36,2025-01-13,23-236,DET,@,NYK,W (+5),0,28:28,.643,.600,11.8,4.4,8.3,0.0,0.0,7.8,15.5,9.6,130,123,6.7,-3.6
41,37,2025-01-16,23-239,DET,,IND,L (-11),0,20:47,.250,.250,18.1,47.2,31.6,27.4,2.2,3.9,20.0,9.6,99,99,7.4,5.1
42,38,2025-01-18,23-241,DET,,PHO,L (-4),0,15:34,.521,.500,0.0,22.6,9.9,0.0,3.1,0.0,41.0,12.7,59,119,-0.1,-12.6
43,39,2025-01-20,23-243,DET,@,HOU,W (+11),0,17:30,.500,.500,14.8,30.5,24.1,8.1,0.0,5.0,14.3,16.3,107,92,5.4,-1.4
44,40,2025-01-22,23-245,DET,@,ATL,W (+10),0,19:34,.333,.333,12.6,41.6,30.0,18.6,0.0,11.3,0.0,6.5,130,84,8.9,8.5
45,41,2025-01-25,23-248,DET,@,ORL,L (-8),0,16:04,.667,.667,6.9,7.9,7.4,0.0,0.0,17.9,25.0,10.5,104,113,2.8,-6.0
46,42,2025-01-27,23-250,DET,@,CLE,L (-19),0,16:08,.872,1.000,0.0,26.4,12.1,10.6,0.0,0.0,46.6,17.3,74,115,2.8,-5.9
47,43,2025-01-29,23-252,DET,@,IND,L (-14),0,7:46,.568,,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.7,150,135,0.5,-6.2
48,,2025-01-31,23-254,DET,,DAL,W (+15),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
49,44,2025-02-02,23-256,DET,,CHI,W (+8),0,18:05,.667,.667,0.0,23.6,12.3,10.9,0.0,0.0,0.0,6.9,147,119,4.9,-2.8
50,45,2025-02-03,23-257,DET,,ATL,L (-2),0,19:21,.683,.667,17.7,13.8,15.9,7.5,0.0,0.0,0.0,16.0,155,132,10.4,1.0
51,46,2025-02-05,23-259,DET,,CLE,L (-3),0,18:07,.820,.750,5.1,34.0,17.5,8.5,0.0,11.3,17.0,12.7,144,111,9.7,6.5
52,47,2025-02-07,23-261,DET,,PHI,W (+13),0,21:32,.571,.500,21.4,15.9,19.0,11.9,0.0,4.3,10.2,17.6,137,116,10.2,-0.1
53,48,2025-02-09,23-263,DET,,CHO,W (+10),0,16:32,.333,.333,6.9,14.2,10.5,7.1,0.0,0.0,0.0,8.1,108,119,1.1,-11.8
54,49,2025-02-11,23-265,DET,@,CHI,W (+40),0,15:21,.875,.875,24.7,15.4,19.0,29.1,0.0,0.0,27.3,29.5,134,92,12.1,10.3
55,50,2025-02-12,23-266,DET,@,CHI,W (+18),0,18:04,.676,.625,13.6,5.9,9.5,8.4,0.0,11.8,25.3,26.2,107,107,7.2,-5.2
56,51,2025-02-21,23-275,DET,@,SAS,W (+15),0,18:37,.644,.667,17.6,31.4,24.3,6.2,0.0,14.1,0.0,8.4,163,103,9.7,6.0
57,52,2025-02-23,23-277,DET,@,ATL,W (+5),0,21:25,.600,.600,12.8,16.0,14.6,9.3,0.0,8.8,44.4,16.4,86,126,3.6,-9.6
58,53,2025-02-24,23-278,DET,,LAC,W (+9),0,16:43,.521,.500,0.0,21.7,12.2,8.7,2.9,11.3,0.0,7.5,119,88,5.5,4.9
59,54,2025-02-26,23-280,DET,,BOS,W (+20),0,19:39,.532,.500,6.3,22.2,14.7,5.5,0.0,15.8,0.0,8.3,135,100,5.4,-0.9
60,55,2025-02-28,23-282,DET,,DEN,L (-15),0,19:30,.931,1.250,4.6,25.9,13.4,0.0,0.0,9.3,0.0,7.7,177,126,6.9,-2.5
61,56,2025-03-01,23-283,DET,,BRK,W (+21),0,13:58,.307,.250,11.5,18.7,16.2,9.7,0.0,24.5,38.1,24.2,55,82,0.3,-13.0
62,,2025-03-03,23-285,DET,@,UTA,W (+28),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
63,57,2025-03-05,23-287,DET,@,LAC,L (-8),0,22:23,.727,.667,0.0,36.8,19.2,17.7,2.2,3.8,12.7,15.7,136,120,11.6,7.6
64,58,2025-03-08,23-290,DET,@,GSW,L (-5),0,17:08,.810,.667,0.0,20.0,9.3,8.4,0.0,0.0,31.6,14.7,114,113,3.7,-2.7
65,59,2025-03-09,23-291,DET,@,POR,W (+7),0,19:25,.322,.333,17.2,14.3,15.6,13.0,0.0,28.7,0.0,16.7,101,98,8.3,3.3
