Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,27-332,DET,,IND,L (-6),0,27:50,.489,.462,0.0,15.7,6.7,5.9,0.0,0.0,6.5,23.1,99,120,6.3,-6.0
2,2,2024-10-25,27-334,DET,@,CLE,L (-12),0,29:18,.591,.591,0.0,16.8,8.1,5.5,0.0,3.4,8.3,17.8,105,114,8.5,1.3
3,3,2024-10-26,27-335,DET,,BOS,L (-6),0,20:19,.781,.750,0.0,14.8,8.8,0.0,0.0,0.0,8.4,24.9,137,131,11.9,7.2
4,4,2024-10-28,27-337,DET,@,MIA,L (-8),0,18:39,.125,.125,0.0,0.0,0.0,7.9,2.7,0.0,7.7,29.0,36,115,-4.7,-20.8
5,5,2024-10-30,27-339,DET,@,PHI,W (+10),0,25:30,.481,.500,9.2,4.2,6.6,19.8,0.0,0.0,8.0,22.4,110,112,6.9,-1.3
6,6,2024-11-01,27-341,DET,,NYK,L (-30),0,25:21,.444,.444,0.0,0.0,0.0,5.4,1.9,0.0,25.0,21.4,67,133,1.6,-11.8
7,7,2024-11-03,27-343,DET,@,BRK,W (+14),0,29:19,.551,.533,0.0,3.9,2.2,6.0,3.5,0.0,0.0,24.4,118,95,11.3,3.7
8,8,2024-11-04,27-344,DET,,LAL,W (+12),0,28:29,.322,.250,3.6,11.2,7.3,4.0,0.0,0.0,8.4,17.0,81,109,0.9,-10.2
9,9,2024-11-06,27-346,DET,@,CHO,L (-1),0,24:20,.227,.227,0.0,4.1,2.1,23.5,3.9,0.0,0.0,19.9,69,105,3.5,-6.5
10,10,2024-11-08,27-348,DET,,ATL,W (+1),0,33:32,.679,.679,7.2,0.0,3.2,4.4,0.0,0.0,11.0,21.6,125,123,13.9,-1.8
11,11,2024-11-10,27-350,DET,,HOU,L (-2),0,27:28,.582,.583,3.7,3.4,3.5,19.2,1.8,0.0,18.9,24.8,101,109,8.5,3.0
12,12,2024-11-12,27-352,DET,,MIA,W (+2),0,35:18,.573,.559,3.3,11.3,7.6,4.6,1.4,0.0,17.9,27.2,96,116,10.3,-4.0
13,13,2024-11-13,27-353,DET,@,MIL,L (-7),1,44:24,.765,.765,4.9,22.2,13.0,13.5,0.0,0.0,10.5,18.8,137,123,21.5,5.3
14,14,2024-11-15,27-355,DET,@,TOR,W (+4),1,30:25,.667,.667,0.0,8.0,4.3,0.0,1.6,0.0,0.0,20.1,132,99,13.8,5.5
15,15,2024-11-17,27-357,DET,@,WAS,W (+20),1,29:16,.813,.813,3.5,7.6,5.5,5.5,1.6,0.0,0.0,22.9,161,107,21.8,12.0
16,16,2024-11-18,27-358,DET,,CHI,L (-10),0,30:21,.553,.553,9.1,3.8,6.7,10.8,1.6,0.0,0.0,26.0,126,129,14.9,4.9
17,17,2024-11-21,27-361,DET,@,CHO,L (-2),0,34:22,.504,.467,2.9,16.8,9.3,4.5,0.0,0.0,5.9,20.2,114,122,8.6,-5.5
18,18,2024-11-23,27-363,DET,@,ORL,L (-11),1,31:29,.750,.750,4.1,0.0,2.0,25.1,1.7,0.0,7.7,19.5,151,131,15.5,8.0
19,19,2024-11-25,27-365,DET,,TOR,W (+2),1,32:48,.394,.344,0.0,5.3,3.3,26.0,1.6,0.0,14.5,29.3,80,114,4.9,-8.3
20,20,2024-11-27,28-001,DET,@,MEM,L (-20),1,20:28,.833,.833,0.0,10.9,5.6,23.0,2.2,0.0,0.0,12.1,173,124,11.1,8.9
21,21,2024-11-29,28-003,DET,@,IND,W (+24),0,28:45,.866,.893,0.0,3.8,2.2,5.3,3.3,0.0,0.0,22.0,158,107,21.4,11.7
22,22,2024-11-30,28-004,DET,,PHI,L (-15),1,26:49,.921,.889,0.0,24.4,11.7,29.5,0.0,0.0,8.8,17.5,166,112,18.3,13.7
23,23,2024-12-03,28-007,DET,,MIL,L (-21),0,17:52,.200,.200,0.0,25.2,10.5,0.0,0.0,0.0,0.0,23.4,48,135,-1.3,-21.0
24,24,2024-12-04,28-008,DET,@,BOS,L (-10),0,32:38,.700,.688,4.0,11.0,7.6,4.7,2.9,0.0,0.0,21.8,141,129,18.9,5.9
25,25,2024-12-07,28-011,DET,@,NYK,W (+9),0,26:13,.829,.808,0.0,19.3,9.9,6.1,1.8,0.0,12.6,26.3,134,110,17.2,11.0
26,26,2024-12-12,28-016,DET,@,BOS,L (-24),0,16:11,.317,.286,0.0,28.2,12.6,24.7,0.0,0.0,0.0,21.2,81,126,3.8,-7.5
27,27,2024-12-16,28-020,DET,,MIA,W (+1),1,40:44,.725,.694,0.0,7.2,4.1,16.1,0.0,2.3,9.4,22.7,128,115,20.6,6.1
28,28,2024-12-19,28-023,DET,,UTA,L (-7),0,34:30,.476,.481,0.0,6.8,2.8,16.6,1.3,0.0,0.0,30.9,102,124,15.0,1.7
29,29,2024-12-21,28-025,DET,@,PHO,W (+8),0,26:33,.567,.567,0.0,11.7,5.2,0.0,5.4,0.0,11.2,28.9,98,121,11.1,-3.4
30,30,2024-12-23,28-027,DET,@,LAL,W (+3),0,25:47,.700,.700,0.0,28.2,12.4,0.0,3.8,0.0,0.0,25.6,137,114,16.8,10.1
31,31,2024-12-26,28-030,DET,@,SAC,W (+1),0,27:13,.652,.625,3.8,4.2,4.0,13.7,0.0,0.0,0.0,26.6,134,122,14.8,6.8
32,32,2024-12-28,28-032,DET,@,DEN,L (-13),0,18:31,.589,.591,5.5,7.6,6.4,7.8,0.0,0.0,0.0,26.3,129,138,8.8,0.6
33,33,2025-01-01,28-036,DET,,ORL,W (+9),0,22:04,.127,.000,6.6,22.2,15.9,5.3,0.0,0.0,33.7,23.4,31,98,-4.4,-22.2
34,34,2025-01-03,28-038,DET,,CHO,W (+4),0,31:11,.365,.344,0.0,6.7,3.2,14.8,1.6,0.0,5.7,23.6,85,102,4.7,-7.3
35,35,2025-01-04,28-039,DET,,MIN,W (+14),0,33:23,.643,.647,0.0,7.0,3.6,4.3,4.4,0.0,5.3,23.4,129,105,16.8,7.8
36,36,2025-01-06,28-041,DET,,POR,W (+3),1,28:53,.213,.150,3.5,9.5,6.0,4.1,3.4,0.0,7.8,17.9,60,116,-0.2,-13.8
