Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,24-032,DET,,IND,L (-6),0,3:07,1.000,1.000,0.0,46.7,20.0,68.1,0.0,0.0,0.0,13.5,205,116,2.7,17.4
2,2,2024-10-25,24-034,DET,@,CLE,L (-12),0,1:27,,,78.8,0.0,40.9,87.1,0.0,0.0,,0.0,231,119,1.4,32.1
3,,2024-10-26,24-035,DET,,BOS,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2024-10-28,24-037,DET,@,MIA,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2024-10-30,24-039,DET,@,PHI,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,3,2024-11-01,24-041,DET,,NYK,L (-30),0,19:55,.500,.500,0.0,0.0,0.0,6.2,2.4,0.0,33.3,6.8,77,131,1.3,-9.9
7,4,2024-11-03,24-043,DET,@,BRK,W (+14),0,0:54,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,104,0.0,-7.1
8,,2024-11-04,24-044,DET,,LAL,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2024-11-06,24-046,DET,@,CHO,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2024-11-08,24-048,DET,,ATL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
