Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,28-319,DET,,IND,L (-6),0,14:51,.000,.000,7.3,0.0,4.2,0.0,0.0,0.0,20.0,14.1,16,123,-4.3,-22.8
2,2,2024-10-25,28-321,DET,@,CLE,L (-12),0,19:51,.512,.375,0.0,12.4,6.0,0.0,0.0,0.0,17.0,12.9,88,117,2.2,-4.6
3,3,2024-10-26,28-322,DET,,BOS,L (-6),0,18:11,.799,.750,0.0,11.0,6.5,0.0,0.0,0.0,0.0,16.1,163,133,7.8,3.4
4,4,2024-10-28,28-324,DET,@,MIA,L (-8),0,21:45,.304,.278,12.5,4.9,9.0,0.0,0.0,5.4,0.0,18.9,89,117,3.2,-5.7
5,5,2024-10-30,28-326,DET,@,PHI,W (+10),0,17:27,.532,.000,6.7,18.3,12.8,15.3,0.0,0.0,34.7,7.6,117,108,2.9,-1.7
6,6,2024-11-01,28-328,DET,,NYK,L (-30),0,19:56,.806,.857,0.0,21.9,11.6,0.0,0.0,0.0,21.2,21.4,107,131,7.9,-0.8
7,7,2024-11-03,28-330,DET,@,BRK,W (+14),0,23:55,.427,.250,12.5,28.7,21.7,5.7,0.0,0.0,0.0,15.0,117,101,6.3,-1.6
8,8,2024-11-04,28-331,DET,,LAL,W (+12),0,12:56,.000,.000,0.0,16.5,8.1,8.2,3.8,0.0,0.0,9.5,25,99,-1.4,-10.3
9,9,2024-11-06,28-333,DET,@,CHO,L (-1),0,20:01,.875,.875,5.3,20.0,12.9,6.2,0.0,0.0,0.0,8.8,171,111,8.0,2.9
10,10,2024-11-08,28-335,DET,,ATL,W (+1),0,19:34,.671,.583,6.1,20.0,13.8,6.7,2.3,0.0,10.9,18.7,132,110,9.8,2.3
11,11,2024-11-10,28-337,DET,,HOU,L (-2),0,16:46,.512,.375,0.0,22.0,11.6,17.3,0.0,0.0,0.0,12.5,127,104,5.2,4.3
12,12,2024-11-12,28-339,DET,,MIA,W (+2),0,23:19,.625,.625,0.0,8.6,4.6,20.1,0.0,0.0,20.0,18.4,107,120,5.9,-1.5
13,,2024-11-13,28-340,DET,@,MIL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2024-11-15,28-342,DET,@,TOR,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,13,2024-11-17,28-344,DET,@,WAS,W (+20),0,21:58,.500,.500,0.0,5.1,2.4,5.2,2.2,0.0,0.0,11.5,114,106,3.4,-5.6
16,14,2024-11-18,28-345,DET,,CHI,L (-10),0,14:49,.750,.750,0.0,15.4,6.9,0.0,0.0,7.2,33.3,16.8,85,125,2.9,-3.5
17,15,2024-11-21,28-348,DET,@,CHO,L (-2),0,21:09,.571,.571,0.0,10.9,5.1,7.3,2.4,0.0,12.5,15.5,110,118,5.6,-0.8
18,16,2024-11-23,28-350,DET,@,ORL,L (-11),0,16:00,.515,.500,0.0,14.6,7.7,0.0,0.0,6.3,0.0,11.4,113,125,2.4,-4.5
19,17,2024-11-25,28-352,DET,,TOR,W (+2),0,8:57,.174,.000,16.3,0.0,6.1,0.0,0.0,0.0,0.0,14.9,63,121,-0.9,-18.3
20,18,2024-11-27,28-354,DET,@,MEM,L (-20),0,21:56,.953,.944,0.0,10.2,5.2,8.9,0.0,4.7,17.5,21.6,140,126,14.1,9.9
21,19,2024-11-29,28-356,DET,@,IND,W (+24),0,17:06,1.250,1.250,0.0,0.0,0.0,6.6,2.8,0.0,0.0,5.1,247,109,5.3,5.0
22,20,2024-11-30,28-357,DET,,PHI,L (-15),0,23:17,.272,.208,0.0,51.5,24.6,13.4,0.0,0.0,13.4,26.5,58,104,0.5,-14.1
