Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,32-221,DET,,IND,L (-6),1,28:56,.709,.667,0.0,5.0,2.2,5.3,1.7,0.0,0.0,14.3,149,118,10.5,4.6
2,2,2024-10-25,32-223,DET,@,CLE,L (-12),1,23:10,.750,.750,0.0,15.9,7.7,6.5,0.0,0.0,14.3,13.1,119,117,6.2,2.6
3,3,2024-10-26,32-224,DET,,BOS,L (-6),1,36:48,.514,.357,0.0,5.4,3.2,6.5,0.0,0.0,0.0,10.1,127,135,5.7,-6.6
4,4,2024-10-28,32-226,DET,@,MIA,L (-8),1,33:29,.765,.650,0.0,0.0,0.0,5.2,0.0,0.0,7.1,17.5,159,121,14.3,5.1
5,5,2024-10-30,32-228,DET,@,PHI,W (+10),1,30:33,.810,.833,0.0,0.0,0.0,16.7,0.0,0.0,9.2,16.3,148,113,11.6,6.7
6,6,2024-11-01,32-230,DET,,NYK,L (-30),1,24:34,.444,.444,5.0,0.0,2.4,16.7,0.0,0.0,10.0,18.4,97,137,4.3,-7.0
7,7,2024-11-03,32-232,DET,@,BRK,W (+14),1,22:31,.742,.722,0.0,0.0,0.0,16.2,0.0,0.0,0.0,18.4,155,103,9.5,6.1
8,8,2024-11-04,32-233,DET,,LAL,W (+12),1,32:11,.764,.750,0.0,0.0,0.0,4.3,0.0,0.0,0.0,15.8,165,111,14.1,8.0
9,9,2024-11-06,32-235,DET,@,CHO,L (-1),1,31:04,.650,.650,0.0,9.7,5.0,12.1,0.0,0.0,9.1,15.6,114,113,10.0,-0.5
10,10,2024-11-08,32-237,DET,,ATL,W (+1),1,29:13,.608,.625,0.0,16.8,9.2,16.1,4.6,0.0,34.2,11.9,96,106,7.3,-0.3
11,11,2024-11-10,32-239,DET,,HOU,L (-2),1,29:47,.460,.400,0.0,12.4,6.5,10.3,1.7,0.0,0.0,15.6,107,105,7.8,1.4
12,12,2024-11-12,32-241,DET,,MIA,W (+2),1,18:51,.709,.583,0.0,5.3,2.8,8.1,0.0,0.0,0.0,17.7,159,121,8.2,1.1
