Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dyson Daniels,9:13,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,2,0,4,1.3,-2,daniedy01
Trae Young,7:54,3,4,.750,1,1,1.000,3,3,1.000,0,0,0,2,1,0,0,0,10,10.8,0,youngtr01
Zaccharie Risacher,9:13,1,5,.200,1,3,.333,2,2,1.000,0,3,3,0,1,1,0,0,5,4.5,-2,risacza01
Onyeka Okongwu,9:13,1,4,.250,0,0,,0,2,.000,3,2,5,2,0,0,0,1,2,2.5,-2,okongon01
Mouhamed Gueye,5:07,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,0,0,-1.4,+1,gueyemo02
Georges Niang,6:53,2,6,.333,1,3,.333,0,0,,1,0,1,0,0,0,0,1,5,1.9,-4,niangge01
Caris LeVert,6:53,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,0,1,3,1.9,-4,leverca01
Clint Capela,2:47,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-1,capelca01
Terance Mann,2:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1,mannte01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,60,10,27,.370,4,10,.400,6,9,.667,5,10,15,5,2,1,3,3,30,,,-9999
