Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,21-241,GSW,@,POR,W (+36),0,24:56,0,5,.000,0,4,.000,0,0,,4,3,7,4,1,0,3,3,0,-0.2,+35
2,2,2024-10-25,21-243,GSW,@,UTA,W (+41),0,24:38,7,14,.500,1,5,.200,0,0,,1,4,5,1,1,1,0,2,15,11.5,+24
3,3,2024-10-27,21-245,GSW,,LAC,L (-8),0,24:42,2,8,.250,0,5,.000,0,0,,1,4,5,4,0,0,2,2,4,1.1,-2
4,4,2024-10-29,21-247,GSW,,NOP,W (+18),1,33:32,8,18,.444,3,8,.375,0,0,,1,2,3,5,1,2,0,2,19,16.0,+17
5,5,2024-10-30,21-248,GSW,,NOP,W (+15),1,38:06,5,15,.333,2,7,.286,1,2,.500,2,6,8,7,1,0,4,2,13,8.4,+13
6,6,2024-11-02,21-251,GSW,@,HOU,W (+6),1,37:44,5,11,.455,0,3,.000,2,4,.500,0,5,5,6,0,1,3,6,12,6.5,+7
7,7,2024-11-04,21-253,GSW,@,WAS,W (+13),0,13:06,1,3,.333,0,1,.000,0,0,,0,4,4,1,1,0,1,2,2,1.4,+6
8,,2024-11-06,21-255,GSW,@,BOS,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8,2024-11-08,21-257,GSW,@,CLE,L (-19),0,26:30,6,12,.500,1,6,.167,1,2,.500,2,5,7,4,4,0,1,1,14,15.9,+7
10,9,2024-11-10,21-259,GSW,@,OKC,W (+11),0,15:05,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,4,0,-3.0,-10
11,10,2024-11-12,21-261,GSW,,DAL,W (+3),0,16:41,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,2,3,2.2,-19
12,11,2024-11-15,21-264,GSW,,MEM,W (+5),0,27:45,3,6,.500,1,4,.250,4,4,1.000,0,7,7,5,1,0,0,2,11,13.8,-2
13,12,2024-11-18,21-267,GSW,@,LAC,L (-3),0,15:37,0,4,.000,0,2,.000,1,3,.333,2,3,5,2,1,0,1,1,1,0.7,+2
14,13,2024-11-20,21-269,GSW,,ATL,W (+23),0,15:17,1,6,.167,1,1,1.000,0,0,,1,1,2,2,1,0,1,1,3,1.2,-1
15,14,2024-11-22,21-271,GSW,@,NOP,W (+4),0,20:52,5,11,.455,0,5,.000,1,1,1.000,2,3,5,3,0,0,1,0,11,8.7,-3
16,15,2024-11-23,21-272,GSW,@,SAS,L (-10),0,15:34,0,3,.000,0,1,.000,0,0,,0,3,3,2,0,0,1,0,0,-0.8,-14
17,16,2024-11-25,21-274,GSW,,BRK,L (-8),0,22:38,2,5,.400,1,3,.333,2,2,1.000,1,0,1,6,0,1,0,2,7,9.1,-10
18,17,2024-11-27,21-276,GSW,,OKC,L (-4),1,29:36,4,10,.400,1,4,.250,3,3,1.000,2,6,8,5,0,1,2,0,12,12.0,-6
19,18,2024-11-30,21-279,GSW,@,PHO,L (-8),1,33:01,4,8,.500,2,4,.500,2,2,1.000,0,7,7,4,1,1,1,1,12,13.2,+5
20,19,2024-12-03,21-282,GSW,@,DEN,L (-4),1,24:32,6,11,.545,0,3,.000,1,1,1.000,1,3,4,4,2,0,2,5,13,10.1,-13
21,20,2024-12-05,21-284,GSW,,HOU,W (+6),1,36:43,2,9,.222,1,3,.333,3,4,.750,1,10,11,3,0,0,2,0,8,5.9,+13
22,21,2024-12-06,21-285,GSW,,MIN,L (-17),1,24:49,3,7,.429,2,5,.400,0,0,,0,6,6,2,2,0,2,0,8,7.5,-16
23,22,2024-12-08,21-287,GSW,,MIN,W (+8),0,20:08,2,5,.400,2,4,.500,0,0,,2,1,3,3,0,0,0,2,6,6.3,-2
24,23,2024-12-11,21-290,GSW,@,HOU,L (-1),0,30:30,3,9,.333,2,5,.400,0,0,,1,1,2,4,2,0,1,0,8,7.7,+4
