Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,28-260,GSW,@,POR,W (+36),0,14:05,0,2,.000,0,0,,2,2,1.000,3,3,6,2,1,1,1,3,2,4.5,+14
2,2,2024-10-25,28-262,GSW,@,UTA,W (+41),0,13:25,4,6,.667,0,0,,1,2,.500,7,3,10,1,0,1,1,2,9,11.4,+12
3,3,2024-10-27,28-264,GSW,,LAC,L (-8),0,20:04,4,9,.444,0,0,,2,4,.500,5,6,11,3,3,0,1,4,10,12.3,-6
4,4,2024-10-29,28-266,GSW,,NOP,W (+18),0,19:57,2,5,.400,0,0,,0,0,,5,4,9,2,2,1,1,4,4,7.5,+11
5,5,2024-10-30,28-267,GSW,,NOP,W (+15),0,8:33,1,1,1.000,0,0,,0,0,,1,3,4,1,0,0,1,2,2,2.2,+3
6,6,2024-11-02,28-270,GSW,@,HOU,W (+6),0,20:31,1,3,.333,0,0,,5,8,.625,2,5,7,2,1,1,0,3,7,8.9,+12
7,7,2024-11-04,28-272,GSW,@,WAS,W (+13),0,17:58,2,6,.333,0,0,,0,0,,5,5,10,2,0,0,0,3,4,5.8,0
8,8,2024-11-06,28-274,GSW,@,BOS,W (+6),0,15:52,3,5,.600,0,0,,0,0,,6,4,10,0,0,0,0,4,6,7.5,+4
9,9,2024-11-08,28-276,GSW,@,CLE,L (-19),0,15:40,4,6,.667,0,0,,1,1,1.000,1,6,7,1,2,0,0,2,9,10.8,+2
10,,2024-11-10,28-278,GSW,@,OKC,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,10,2024-11-12,28-280,GSW,,DAL,W (+3),0,14:49,2,5,.400,0,0,,1,2,.500,9,2,11,2,1,0,2,2,5,8.4,-9
