Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,36-223,GSW,@,POR,W (+36),1,25:04,4,10,.400,3,7,.429,6,6,1.000,0,9,9,10,2,0,2,0,17,21.3,+23
2,2,2024-10-25,36-225,GSW,@,UTA,W (+41),1,27:25,7,20,.350,4,13,.308,2,2,1.000,0,3,3,4,2,0,3,3,20,10.3,+22
3,3,2024-10-27,36-227,GSW,,LAC,L (-8),1,26:42,6,11,.545,4,7,.571,2,2,1.000,0,4,4,6,2,1,6,1,18,14.4,+2
4,,2024-10-29,36-229,GSW,,NOP,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-10-30,36-230,GSW,,NOP,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2024-11-02,36-233,GSW,@,HOU,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,4,2024-11-04,36-235,GSW,@,WAS,W (+13),1,24:05,7,15,.467,4,9,.444,6,6,1.000,1,2,3,6,0,0,2,1,24,19.4,+9
8,5,2024-11-06,36-237,GSW,@,BOS,W (+6),1,34:23,8,17,.471,4,9,.444,7,7,1.000,0,7,7,9,4,1,3,2,27,27.6,+7
9,6,2024-11-08,36-239,GSW,@,CLE,L (-19),1,23:46,5,10,.500,1,4,.250,1,1,1.000,0,1,1,2,2,0,6,0,12,4.7,-25
10,7,2024-11-10,36-241,GSW,@,OKC,W (+11),1,36:30,13,23,.565,7,13,.538,3,4,.750,1,4,5,7,1,1,3,2,36,29.4,+21
11,8,2024-11-12,36-243,GSW,,DAL,W (+3),1,34:52,14,27,.519,5,12,.417,4,5,.800,0,6,6,9,1,2,4,2,37,29.0,+24
12,9,2024-11-15,36-246,GSW,,MEM,W (+5),1,26:01,4,9,.444,3,7,.429,2,2,1.000,1,7,8,5,4,0,3,2,13,14.8,+9
13,10,2024-11-18,36-249,GSW,@,LAC,L (-3),1,32:23,10,21,.476,6,15,.400,0,0,,1,6,7,6,0,1,3,1,26,19.3,-5
14,11,2024-11-20,36-251,GSW,,ATL,W (+23),1,30:12,7,10,.700,4,6,.667,5,5,1.000,0,4,4,8,2,1,5,0,23,23.3,+27
15,12,2024-11-22,36-253,GSW,@,NOP,W (+4),1,33:08,6,13,.462,4,7,.571,3,3,1.000,0,7,7,7,1,1,4,3,19,15.8,+4
16,13,2024-11-23,36-254,GSW,@,SAS,L (-10),1,32:00,5,16,.313,3,10,.300,1,1,1.000,2,5,7,5,0,0,3,1,14,7.8,+4
17,14,2024-11-25,36-256,GSW,,BRK,L (-8),1,29:28,8,17,.471,8,16,.500,4,4,1.000,0,4,4,7,1,0,3,0,28,23.4,-4
18,,2024-11-27,36-258,GSW,,OKC,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
