Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,21-163,HOU,,CHO,L (-5),1,33:08,2,7,.286,2,5,.400,2,3,.667,1,4,5,1,0,1,0,2,8,6.0,+2
2,2,2024-10-25,21-165,HOU,,MEM,W (+20),1,35:02,5,13,.385,0,3,.000,4,4,1.000,6,10,16,4,0,2,3,5,14,13.3,+18
3,3,2024-10-26,21-166,HOU,@,SAS,L (-3),1,31:58,3,10,.300,1,4,.250,0,0,,2,5,7,1,1,0,1,5,7,2.8,-3
4,4,2024-10-28,21-168,HOU,@,SAS,W (+5),1,28:55,5,8,.625,2,4,.500,5,6,.833,2,6,8,1,0,0,2,4,17,13.3,-1
5,5,2024-10-31,21-171,HOU,@,DAL,W (+6),1,29:18,5,10,.500,1,5,.200,3,4,.750,3,3,6,0,1,0,0,3,14,11.4,-6
6,6,2024-11-02,21-173,HOU,,GSW,L (-6),1,37:19,7,18,.389,5,13,.385,2,2,1.000,2,5,7,0,1,0,0,2,21,14.3,-4
7,7,2024-11-04,21-175,HOU,,NYK,W (+12),1,22:14,3,8,.375,1,5,.200,0,0,,0,6,6,1,0,0,1,2,7,3.3,-1
8,8,2024-11-06,21-177,HOU,,SAS,W (+27),1,24:02,6,8,.750,0,1,.000,0,0,,2,2,4,0,0,0,0,1,12,10.4,+15
9,9,2024-11-08,21-179,HOU,@,OKC,L (-19),1,16:42,2,7,.286,0,1,.000,0,1,.000,1,0,1,0,0,1,0,0,4,0.9,-12
10,10,2024-11-10,21-181,HOU,@,DET,W (+2),1,26:26,2,8,.250,0,4,.000,2,2,1.000,4,3,7,0,1,1,2,2,6,3.8,-12
11,11,2024-11-11,21-182,HOU,,WAS,W (+15),1,32:07,2,10,.200,1,7,.143,6,6,1.000,2,7,9,0,0,1,0,1,11,8.6,+2
12,12,2024-11-13,21-184,HOU,,LAC,W (+8),1,20:35,1,6,.167,1,4,.250,2,2,1.000,3,1,4,1,0,0,1,0,5,3.3,-3
13,13,2024-11-15,21-186,HOU,,LAC,W (+21),1,35:01,11,17,.647,5,8,.625,1,1,1.000,3,8,11,1,2,0,0,3,28,26.5,+31
14,14,2024-11-17,21-188,HOU,@,CHI,W (+36),1,23:45,4,8,.500,1,2,.500,1,2,.500,2,6,8,1,0,0,0,2,10,8.7,+35
15,15,2024-11-18,21-189,HOU,@,MIL,L (-1),1,24:38,1,4,.250,0,2,.000,2,2,1.000,0,2,2,1,0,1,0,1,4,3.2,-2
16,16,2024-11-20,21-191,HOU,,IND,W (+17),1,30:25,8,13,.615,3,5,.600,4,4,1.000,2,6,8,1,0,0,0,0,23,21.0,+19
17,17,2024-11-22,21-193,HOU,,POR,W (+28),1,20:15,2,7,.286,1,3,.333,0,0,,0,2,2,0,0,0,0,3,5,0.3,-8
18,18,2024-11-23,21-194,HOU,,POR,L (-6),1,37:05,3,10,.300,3,7,.429,5,6,.833,2,6,8,1,0,3,1,3,14,11.6,-2
19,19,2024-11-26,21-197,HOU,@,MIN,W (+6),1,38:27,8,9,.889,3,4,.750,0,0,,0,7,7,3,0,2,0,1,19,21.1,+30
20,20,2024-11-27,21-198,HOU,@,PHI,W (+7),1,25:11,3,4,.750,2,2,1.000,0,0,,0,3,3,0,0,2,1,5,8,5.7,-11
21,21,2024-12-01,21-202,HOU,,OKC,W (+3),1,40:02,6,15,.400,3,9,.333,0,0,,2,12,14,0,0,3,1,2,15,12.2,+10
22,22,2024-12-03,21-204,HOU,@,SAC,L (-9),1,36:20,2,8,.250,2,7,.286,0,0,,2,5,7,1,0,1,0,5,6,3.5,-18
23,23,2024-12-05,21-206,HOU,@,GSW,L (-6),1,36:39,2,8,.250,1,4,.250,0,0,,0,7,7,1,1,3,1,5,5,3.1,-15
24,24,2024-12-08,21-209,HOU,@,LAC,W (+11),1,34:02,4,9,.444,2,5,.400,3,4,.750,2,10,12,2,0,1,1,4,13,11.8,+5
25,25,2024-12-11,21-212,HOU,,GSW,W (+1),1,37:56,6,11,.545,3,8,.375,0,0,,0,1,1,1,0,2,1,1,15,10.7,-1
26,26,2024-12-14,21-215,HOU,@,OKC,L (-15),1,39:34,3,8,.375,2,4,.500,6,7,.857,3,3,6,3,1,1,3,2,14,12.2,-15
27,27,2024-12-19,21-220,HOU,,NOP,W (+20),1,31:58,6,11,.545,3,6,.500,0,0,,1,1,2,5,1,0,0,1,15,14.8,+19
28,28,2024-12-22,21-223,HOU,@,TOR,W (+4),1,37:03,4,9,.444,1,3,.333,6,6,1.000,3,6,9,0,1,4,3,2,15,14.2,+10
29,29,2024-12-23,21-224,HOU,@,CHO,W (+13),1,34:35,7,14,.500,2,5,.400,5,6,.833,3,8,11,2,0,0,1,1,21,18.1,+25
30,30,2024-12-26,21-227,HOU,@,NOP,W (+17),1,28:19,1,7,.143,0,3,.000,4,4,1.000,2,4,6,0,0,1,2,3,6,1.6,+6
31,31,2024-12-27,21-228,HOU,,MIN,L (-1),1,42:32,5,12,.417,2,8,.250,0,0,,2,4,6,1,0,1,1,1,12,8.2,+4
32,32,2024-12-29,21-230,HOU,,MIA,L (-4),1,26:17,2,8,.250,2,5,.400,1,1,1.000,1,2,3,0,0,0,2,2,7,0.7,-4
33,33,2025-01-01,21-233,HOU,,DAL,W (+11),1,22:50,5,8,.625,1,2,.500,1,2,.500,1,1,2,0,2,1,2,1,12,9.3,-4
34,,2025-01-03,21-235,HOU,,BOS,L (-23),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
35,,2025-01-05,21-237,HOU,,LAL,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
36,,2025-01-07,21-239,HOU,@,WAS,W (+23),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
37,,2025-01-09,21-241,HOU,@,MEM,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
38,,2025-01-13,21-245,HOU,,MEM,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
39,,2025-01-15,21-247,HOU,@,DEN,W (+20),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
40,,2025-01-16,21-248,HOU,@,SAC,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
41,,2025-01-18,21-250,HOU,@,POR,W (+22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
42,,2025-01-20,21-252,HOU,,DET,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
43,,2025-01-22,21-254,HOU,,CLE,W (+1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
44,,2025-01-25,21-257,HOU,@,CLE,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
45,,2025-01-27,21-259,HOU,@,BOS,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
46,,2025-01-28,21-260,HOU,@,ATL,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
47,,2025-01-30,21-262,HOU,@,MEM,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,,2025-02-01,21-264,HOU,,BRK,L (-12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
