Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,20-121,HOU,,CHO,L (-5),0,15:33,2,5,.400,0,1,.000,0,0,,1,1,2,3,0,1,3,3,4,0.9,-6
2,2,2024-10-25,20-123,HOU,,MEM,W (+20),0,12:38,2,5,.400,2,4,.500,0,0,,0,0,0,2,1,0,0,1,6,5.3,+3
3,3,2024-10-26,20-124,HOU,@,SAS,L (-3),0,6:24,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,0,0,-1.4,-7
4,4,2024-10-28,20-126,HOU,@,SAS,W (+5),0,3:15,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1
5,5,2024-10-31,20-129,HOU,@,DAL,W (+6),0,5:15,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+5
6,6,2024-11-02,20-131,HOU,,GSW,L (-6),0,7:11,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,3,1.9,+10
7,7,2024-11-04,20-133,HOU,,NYK,W (+12),0,14:27,3,8,.375,1,4,.250,0,0,,0,2,2,0,0,0,0,0,7,3.2,-2
8,8,2024-11-06,20-135,HOU,,SAS,W (+27),0,20:09,2,5,.400,1,3,.333,0,0,,1,1,2,3,0,0,2,1,5,3.0,+8
9,9,2024-11-08,20-137,HOU,@,OKC,L (-19),0,18:33,2,2,1.000,0,0,,0,0,,0,2,2,4,0,0,1,1,4,5.4,-7
10,10,2024-11-10,20-139,HOU,@,DET,W (+2),0,11:21,1,3,.333,1,3,.333,0,0,,3,0,3,2,1,0,1,1,3,4.4,-6
11,11,2024-11-11,20-140,HOU,,WAS,W (+15),0,16:48,3,5,.600,1,1,1.000,0,0,,0,1,1,0,1,0,0,1,7,5.6,+1
12,12,2024-11-13,20-142,HOU,,LAC,W (+8),0,11:22,1,4,.250,0,3,.000,0,0,,0,2,2,2,1,0,0,1,2,2.2,+13
