Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-23,31-095,HOU,,CHO,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2024-10-25,31-097,HOU,,MEM,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-26,31-098,HOU,@,SAS,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,1,2024-10-28,31-100,HOU,@,SAS,W (+5),0,13:52,3,3,1.000,0,0,,0,1,.000,1,2,3,0,0,0,1,3,6,3.8,+11
5,2,2024-10-31,31-103,HOU,@,DAL,W (+6),0,9:58,0,0,,0,0,,0,0,,1,0,1,3,1,0,0,2,0,3.0,-4
6,,2024-11-02,31-105,HOU,,GSW,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,3,2024-11-04,31-107,HOU,,NYK,W (+12),0,13:39,1,4,.250,0,0,,2,4,.500,3,2,5,3,0,0,1,1,4,4.2,-6
8,,2024-11-06,31-109,HOU,,SAS,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,4,2024-11-08,31-111,HOU,@,OKC,L (-19),0,15:31,2,2,1.000,0,0,,1,3,.333,1,1,2,1,1,0,3,1,5,2.9,-11
10,,2024-11-10,31-113,HOU,@,DET,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
