Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-166,HOU,,CHO,L (-5),0,12:53,1,3,.333,0,1,.000,0,0,,1,1,2,2,2,0,0,1,2,4.3,-13
2,2,2024-10-25,23-168,HOU,,MEM,W (+20),0,16:02,5,7,.714,3,4,.750,0,0,,2,3,5,0,2,1,0,2,13,14.3,+8
3,3,2024-10-26,23-169,HOU,@,SAS,L (-3),0,18:19,3,6,.500,0,2,.000,0,0,,0,2,2,2,3,1,1,3,6,6.5,-1
4,4,2024-10-28,23-171,HOU,@,SAS,W (+5),0,21:44,2,5,.400,0,2,.000,2,2,1.000,2,3,5,2,2,0,0,4,6,7.4,+3
5,5,2024-10-31,23-174,HOU,@,DAL,W (+6),0,18:42,6,10,.600,1,2,.500,2,3,.667,2,2,4,2,0,1,0,1,15,13.7,+12
6,6,2024-11-02,23-176,HOU,,GSW,L (-6),0,35:20,11,19,.579,3,5,.600,2,4,.500,6,3,9,1,4,3,3,5,27,24.2,+11
7,7,2024-11-04,23-178,HOU,,NYK,W (+12),0,24:42,3,7,.429,0,2,.000,1,2,.500,2,3,5,1,0,1,0,3,7,5.4,+9
8,8,2024-11-06,23-180,HOU,,SAS,W (+27),0,21:49,5,7,.714,1,2,.500,1,2,.500,3,1,4,1,1,1,0,1,12,13.1,+23
9,9,2024-11-08,23-182,HOU,@,OKC,L (-19),0,25:15,5,11,.455,2,5,.400,0,0,,1,5,6,0,3,1,3,1,12,8.8,-11
10,10,2024-11-10,23-184,HOU,@,DET,W (+2),0,27:21,7,12,.583,2,4,.500,2,3,.667,4,5,9,1,1,1,2,3,18,15.5,+7
11,11,2024-11-11,23-185,HOU,,WAS,W (+15),0,26:24,5,10,.500,0,2,.000,0,0,,0,6,6,2,3,2,2,2,10,9.8,+14
12,12,2024-11-13,23-187,HOU,,LAC,W (+8),0,25:59,8,14,.571,0,2,.000,2,2,1.000,2,8,10,1,1,2,1,1,18,16.9,+19
13,13,2024-11-15,23-189,HOU,,LAC,W (+21),0,22:17,7,12,.583,2,4,.500,1,2,.500,3,3,6,1,2,1,1,4,17,14.8,+2
