Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dyson Daniels,36:41,4,12,.333,1,5,.200,3,3,1.000,2,8,10,6,4,1,1,3,12,15.7,+3,daniedy01
Vit Krejci,36:09,5,14,.357,2,10,.200,1,2,.500,0,5,5,2,2,1,1,1,13,9.0,+1,krejcvi01
Trae Young,34:26,7,16,.438,2,9,.222,5,5,1.000,1,2,3,9,0,0,8,2,21,11.4,+4,youngtr01
Onyeka Okongwu,28:12,3,4,.750,1,2,.500,0,0,,2,4,6,1,2,1,1,4,7,8.8,+11,okongon01
Mouhamed Gueye,22:09,5,11,.455,1,4,.250,0,0,,2,5,7,0,0,1,0,1,11,8.5,-7,gueyemo02
De'Andre Hunter,28:39,6,15,.400,1,7,.143,3,4,.750,0,5,5,0,0,0,2,2,16,6.2,+2,huntede01
Keaton Wallace,21:55,3,4,.750,1,2,.500,0,0,,1,0,1,0,1,0,3,2,7,3.3,-14,wallake01
Larry Nance Jr.,19:48,2,7,.286,1,4,.250,1,2,.500,0,2,2,1,2,1,0,2,6,4.7,-15,nancela02
Garrison Mathews,12:01,1,6,.167,1,4,.250,0,0,,1,0,1,0,0,0,0,1,3,-0.5,-5,mathega01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Clint Capela,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,capelca01
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Team Totals,240,36,89,.404,11,47,.234,13,16,.813,9,31,40,19,11,5,18,18,96,,,-9999
