Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,24-281,IND,@,DET,W (+6),1,34:49,3,8,.375,0,2,.000,2,2,1.000,0,2,2,7,1,0,2,3,8,6.9,+6
2,2,2024-10-25,24-283,IND,@,NYK,L (-25),1,21:25,1,3,.333,0,2,.000,0,0,,0,2,2,2,2,0,3,0,2,1.3,-20
3,3,2024-10-27,24-285,IND,,PHI,L (-4),1,31:25,3,11,.273,1,4,.250,3,4,.750,0,2,2,8,0,0,1,6,10,5.9,+6
4,4,2024-10-28,24-286,IND,@,ORL,L (-4),1,33:43,6,12,.500,0,1,.000,1,2,.500,0,3,3,7,1,0,2,0,13,11.4,-3
5,5,2024-10-30,24-288,IND,,BOS,W (+3),1,5:03,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,+3
6,,2024-11-01,24-290,IND,@,NOP,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6,2024-11-04,24-293,IND,@,DAL,W (+7),1,28:48,4,9,.444,1,2,.500,2,2,1.000,1,2,3,3,0,0,0,3,11,8.5,+7
8,7,2024-11-06,24-295,IND,,ORL,W (+7),1,31:21,2,8,.250,1,2,.500,0,0,,0,2,2,5,1,0,1,3,5,3.1,+5
9,,2024-11-08,24-297,IND,@,CHO,L (-20),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2024-11-10,24-299,IND,,NYK,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
11,,2024-11-13,24-302,IND,@,ORL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2024-11-15,24-304,IND,,MIA,L (-13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
13,,2024-11-17,24-306,IND,,MIA,W (+9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
14,,2024-11-18,24-307,IND,@,TOR,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2024-11-20,24-309,IND,@,HOU,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2024-11-22,24-311,IND,@,MIL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2024-11-24,24-313,IND,,WAS,W (+12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
18,,2024-11-25,24-314,IND,,NOP,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
19,,2024-11-27,24-316,IND,,POR,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
20,,2024-11-29,24-318,IND,,DET,L (-24),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,8,2024-12-01,24-320,IND,@,MEM,L (-15),1,14:45,6,11,.545,2,5,.400,0,0,,0,2,2,4,2,0,0,2,14,13.3,+5
22,9,2024-12-03,24-322,IND,@,TOR,L (-11),1,18:51,1,5,.200,0,1,.000,4,4,1.000,0,0,0,4,1,0,2,2,6,3.9,-18
23,,2024-12-04,24-323,IND,@,BRK,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
24,10,2024-12-06,24-325,IND,@,CHI,W (+9),1,21:37,4,5,.800,0,1,.000,0,0,,0,6,6,4,2,0,1,1,8,11.3,+4
25,11,2024-12-08,24-327,IND,,CHO,L (-4),1,30:40,3,5,.600,2,3,.667,2,2,1.000,1,3,4,3,1,0,4,1,10,8.0,-5
26,12,2024-12-13,24-332,IND,@,PHI,W (+14),1,33:16,2,6,.333,0,2,.000,1,2,.500,0,4,4,7,0,0,1,2,5,5.5,+24
27,13,2024-12-15,24-334,IND,,NOP,W (+15),1,27:36,5,8,.625,0,2,.000,7,7,1.000,1,1,2,7,0,0,5,1,17,13.9,+18
28,14,2024-12-19,24-338,IND,@,PHO,W (+9),1,33:02,6,12,.500,2,2,1.000,5,6,.833,0,1,1,4,1,0,0,0,19,16.7,+11
29,15,2024-12-22,24-341,IND,@,SAC,W (+27),1,18:50,5,6,.833,2,2,1.000,0,0,,0,1,1,4,1,1,2,1,12,12.2,+10
30,16,2024-12-23,24-342,IND,@,GSW,W (+6),1,33:19,6,13,.462,1,4,.250,2,2,1.000,1,3,4,3,0,0,4,2,15,7.2,+4
31,17,2024-12-26,24-345,IND,,OKC,L (-6),1,28:36,9,17,.529,1,5,.200,4,4,1.000,2,7,9,7,0,1,2,2,23,21.0,-3
32,,2024-12-27,24-346,IND,@,BOS,L (-37),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,18,2024-12-29,24-348,IND,@,BOS,W (+9),1,33:17,6,12,.500,1,1,1.000,4,5,.800,1,7,8,8,0,1,2,3,17,16.5,+23
34,19,2024-12-31,24-350,IND,,MIL,L (-8),1,31:40,4,14,.286,2,5,.400,0,0,,0,2,2,3,0,0,2,4,10,0.9,+2
35,20,2025-01-02,24-352,IND,@,MIA,W (+13),1,29:07,3,7,.429,0,2,.000,0,0,,3,3,6,6,1,0,0,1,6,10.1,+10
36,21,2025-01-04,24-354,IND,,PHO,W (+18),1,30:07,3,3,1.000,2,2,1.000,1,2,.500,1,2,3,7,1,0,2,4,9,11.3,+20
37,22,2025-01-06,24-356,IND,@,BRK,W (+14),1,31:16,3,8,.375,1,4,.250,1,2,.500,0,5,5,3,2,0,1,2,8,7.0,+12
38,23,2025-01-08,24-358,IND,,CHI,W (+16),1,31:05,5,11,.455,0,3,.000,4,5,.800,0,6,6,5,2,0,2,3,14,12.0,+20
39,24,2025-01-10,24-360,IND,,GSW,W (+12),1,29:11,2,6,.333,0,0,,0,2,.000,2,2,4,5,1,0,1,1,4,4.9,+12
40,25,2025-01-12,24-362,IND,@,CLE,W (+15),1,28:10,7,11,.636,2,4,.500,3,4,.750,0,2,2,4,2,0,3,2,19,15.3,-4
41,26,2025-01-14,24-364,IND,,CLE,L (-10),1,32:58,4,12,.333,0,1,.000,2,5,.400,1,3,4,9,3,0,2,1,10,10.5,-18
42,27,2025-01-16,25-000,IND,@,DET,W (+11),1,41:00,4,11,.364,0,3,.000,4,6,.667,0,4,4,6,3,0,3,2,12,9.7,+9
43,28,2025-01-18,25-002,IND,,PHI,W (+13),1,28:27,3,6,.500,1,2,.500,0,2,.000,0,1,1,3,0,0,1,5,7,2.6,+3
44,29,2025-01-23,25-007,IND,,SAS,L (-30),1,26:30,3,8,.375,0,3,.000,2,2,1.000,2,2,4,8,3,0,1,1,8,12.8,-11
45,30,2025-01-25,25-009,IND,@,SAS,W (+38),1,31:32,6,9,.667,2,2,1.000,1,2,.500,1,7,8,9,3,0,0,3,15,21.6,+25
46,,2025-01-29,25-013,IND,,DET,W (+14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
47,31,2025-02-01,25-016,IND,,ATL,W (+5),1,30:09,7,11,.636,1,3,.333,4,4,1.000,0,1,1,5,2,0,3,5,19,14.9,-2
48,32,2025-02-03,25-018,IND,@,UTA,W (+1),1,29:40,4,5,.800,2,3,.667,0,0,,0,3,3,8,2,0,1,4,10,14.0,-7
49,33,2025-02-04,25-019,IND,@,POR,L (-23),1,27:13,6,10,.600,0,1,.000,5,6,.833,0,6,6,2,2,1,4,4,17,12.3,-24
