Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-099,IND,@,DET,W (+6),0,6:18,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,2,0,0.5,+1
2,2,2024-10-25,23-101,IND,@,NYK,L (-25),0,11:33,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,6,4,-0.4,-13
3,3,2024-10-27,23-103,IND,,PHI,L (-4),0,15:01,2,3,.667,2,2,1.000,0,0,,0,2,2,2,0,0,0,0,6,6.7,+14
4,4,2024-10-28,23-104,IND,@,ORL,L (-4),0,22:38,3,6,.500,2,5,.400,0,0,,1,0,1,0,0,0,0,2,8,4.9,+1
5,5,2024-10-30,23-106,IND,,BOS,W (+3),0,20:52,3,6,.500,1,3,.333,0,0,,2,4,6,2,1,1,1,0,7,8.7,-3
6,6,2024-11-01,23-108,IND,@,NOP,L (-7),0,32:57,7,12,.583,6,11,.545,0,0,,0,3,3,1,0,0,0,1,20,15.6,+7
7,7,2024-11-04,23-111,IND,@,DAL,W (+7),0,16:42,1,3,.333,1,3,.333,0,0,,1,0,1,2,0,0,2,2,3,0.6,-6
8,8,2024-11-06,23-113,IND,,ORL,W (+7),0,11:20,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,3,6,3.5,+1
9,9,2024-11-08,23-115,IND,@,CHO,L (-20),1,30:58,1,7,.143,0,4,.000,0,0,,0,3,3,3,1,0,0,5,2,-0.5,-9
10,10,2024-11-10,23-117,IND,,NYK,W (+11),1,22:38,1,4,.250,1,4,.250,0,0,,0,1,1,1,0,0,1,4,3,-1.0,+5
11,11,2024-11-13,23-120,IND,@,ORL,L (-4),1,25:45,2,6,.333,1,2,.500,0,0,,1,2,3,1,1,1,0,2,5,4.5,-11
12,12,2024-11-15,23-122,IND,,MIA,L (-13),1,29:14,3,7,.429,2,6,.333,0,0,,0,4,4,4,2,0,0,3,8,9.1,-22
13,13,2024-11-17,23-124,IND,,MIA,W (+9),1,25:38,1,5,.200,1,3,.333,0,0,,0,3,3,1,0,1,1,3,3,0.0,+6
14,,2024-11-18,23-125,IND,@,TOR,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
