Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,22-126,IND,@,DET,W (+6),0,27:41,5,8,.625,2,3,.667,7,9,.778,1,5,6,1,0,0,3,3,19,13.3,+8
2,2,2024-10-25,22-128,IND,@,NYK,L (-25),0,23:36,8,13,.615,2,5,.400,2,4,.500,0,2,2,1,1,0,1,1,20,14.2,-10
3,3,2024-10-27,22-130,IND,,PHI,L (-4),0,21:09,2,6,.333,0,4,.000,1,2,.500,1,1,2,2,0,0,1,2,5,1.8,-14
4,4,2024-10-28,22-131,IND,@,ORL,L (-4),0,13:42,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,0,0,0,1,3,5,3.1,+4
5,5,2024-10-30,22-133,IND,,BOS,W (+3),0,42:38,9,17,.529,2,5,.400,10,11,.909,3,8,11,4,0,0,4,2,30,23.8,+3
6,6,2024-11-01,22-135,IND,@,NOP,L (-7),1,32:16,7,15,.467,1,2,.500,4,5,.800,2,4,6,3,0,0,1,3,19,13.4,-13
7,7,2024-11-04,22-138,IND,@,DAL,W (+7),1,31:48,7,13,.538,1,4,.250,1,3,.333,0,7,7,3,1,0,0,3,16,12.9,+13
8,8,2024-11-06,22-140,IND,,ORL,W (+7),1,33:55,3,7,.429,1,3,.333,13,14,.929,1,10,11,1,1,0,2,4,20,17.7,+1
9,9,2024-11-08,22-142,IND,@,CHO,L (-20),1,36:03,8,16,.500,2,2,1.000,4,5,.800,1,5,6,2,2,0,1,2,22,17.4,-11
10,10,2024-11-10,22-144,IND,,NYK,W (+11),1,41:25,13,18,.722,7,9,.778,5,6,.833,2,6,8,2,0,1,1,4,38,32.9,+16
11,11,2024-11-13,22-147,IND,@,ORL,L (-4),1,34:50,7,17,.412,1,5,.200,8,9,.889,1,11,12,0,1,0,4,2,23,13.7,-4
12,12,2024-11-15,22-149,IND,,MIA,L (-13),1,28:39,4,11,.364,0,3,.000,0,0,,1,3,4,1,0,0,2,2,8,1.4,-25
13,13,2024-11-17,22-151,IND,,MIA,W (+9),1,37:12,6,10,.600,1,2,.500,8,8,1.000,2,10,12,2,2,0,1,0,21,23.2,+18
14,14,2024-11-18,22-152,IND,@,TOR,L (-11),1,32:08,10,16,.625,4,6,.667,4,6,.667,3,2,5,2,1,1,4,3,28,20.6,-14
15,15,2024-11-20,22-154,IND,@,HOU,L (-17),1,25:02,3,8,.375,2,3,.667,0,0,,0,5,5,0,0,1,4,2,8,1.0,-12
16,16,2024-11-22,22-156,IND,@,MIL,L (-12),1,33:09,6,18,.333,1,5,.200,7,7,1.000,3,6,9,1,3,1,3,4,20,13.5,-14
17,17,2024-11-24,22-158,IND,,WAS,W (+12),1,39:15,4,12,.333,1,6,.167,7,8,.875,1,5,6,4,0,0,2,3,16,10.6,+20
18,18,2024-11-25,22-159,IND,,NOP,W (+4),1,37:36,4,12,.333,0,4,.000,4,4,1.000,0,9,9,3,2,0,2,2,12,9.2,-8
19,19,2024-11-27,22-161,IND,,POR,W (+7),1,39:40,8,16,.500,3,5,.600,5,6,.833,3,7,10,3,0,1,0,2,24,21.8,+22
20,20,2024-11-29,22-163,IND,,DET,L (-24),1,35:33,6,11,.545,3,5,.600,1,2,.500,0,0,0,1,0,0,4,2,16,6.2,-10
21,21,2024-12-01,22-165,IND,@,MEM,L (-15),1,34:06,5,13,.385,2,4,.500,7,8,.875,1,8,9,3,0,0,2,1,19,14.3,-11
22,22,2024-12-03,22-167,IND,@,TOR,L (-11),1,36:40,7,16,.438,0,3,.000,3,3,1.000,1,2,3,1,2,1,2,4,17,9.7,-6
23,23,2024-12-04,22-168,IND,@,BRK,L (-9),1,32:12,3,12,.250,0,3,.000,2,2,1.000,2,2,4,2,0,1,4,4,8,-0.7,-7
24,24,2024-12-06,22-170,IND,@,CHI,W (+9),1,34:05,7,15,.467,1,1,1.000,4,5,.800,1,5,6,1,0,1,3,1,19,11.1,+9
25,25,2024-12-08,22-172,IND,,CHO,L (-4),1,33:53,4,11,.364,1,7,.143,2,2,1.000,1,2,3,0,1,0,1,3,11,5.0,-7
26,26,2024-12-13,22-177,IND,@,PHI,W (+14),1,37:20,5,14,.357,1,5,.200,2,2,1.000,1,6,7,4,2,0,2,1,13,10.1,+21
27,27,2024-12-15,22-179,IND,,NOP,W (+15),1,27:56,3,6,.500,0,1,.000,2,2,1.000,1,5,6,0,0,1,3,4,8,3.3,+10
28,28,2024-12-19,22-183,IND,@,PHO,W (+9),1,37:06,6,14,.429,2,7,.286,2,2,1.000,1,1,2,2,3,1,2,3,16,11.5,-3
29,29,2024-12-22,22-186,IND,@,SAC,W (+27),1,29:57,2,9,.222,0,3,.000,0,0,,1,7,8,4,0,1,1,1,4,3.4,+27
