Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,26-233,IND,@,DET,W (+6),0,16:02,1,2,.500,0,1,.000,0,0,,0,1,1,2,1,0,0,3,2,2.5,-9
2,2,2024-10-25,26-235,IND,@,NYK,L (-25),0,19:48,4,6,.667,0,1,.000,0,0,,0,1,1,4,0,1,0,0,8,9.2,-7
3,3,2024-10-27,26-237,IND,,PHI,L (-4),0,22:51,4,8,.500,1,3,.333,6,7,.857,2,2,4,1,2,0,2,1,15,12.9,-13
4,4,2024-10-28,26-238,IND,@,ORL,L (-4),0,14:12,5,6,.833,3,4,.750,1,2,.500,1,1,2,0,0,0,1,1,14,11.0,+5
5,5,2024-10-30,26-240,IND,,BOS,W (+3),0,33:25,6,15,.400,2,7,.286,4,4,1.000,3,4,7,3,1,1,2,2,18,14.2,-12
6,6,2024-11-01,26-242,IND,@,NOP,L (-7),0,18:47,3,6,.500,1,3,.333,0,0,,1,4,5,0,0,0,2,2,7,3.1,-3
7,7,2024-11-04,26-245,IND,@,DAL,W (+7),0,24:16,5,8,.625,1,3,.333,0,0,,1,5,6,2,0,0,0,2,11,10.2,-8
8,8,2024-11-06,26-247,IND,,ORL,W (+7),0,16:56,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,0,1,4,3.0,+5
9,9,2024-11-08,26-249,IND,@,CHO,L (-20),0,20:37,1,4,.250,0,2,.000,0,0,,1,1,2,1,1,0,1,0,2,1.3,-22
10,,2024-11-10,26-251,IND,,NYK,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
