Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-23,26-038,IND,@,DET,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2024-10-25,26-040,IND,@,NYK,L (-25),0,4:24,0,1,.000,0,1,.000,2,2,1.000,1,0,1,2,1,0,0,1,2,4.0,+3
3,,2024-10-27,26-042,IND,,PHI,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2024-10-28,26-043,IND,@,ORL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2024-10-30,26-045,IND,,BOS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2024-11-01,26-047,IND,@,NOP,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2024-11-04,26-050,IND,@,DAL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2024-11-06,26-052,IND,,ORL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2,2024-11-08,26-054,IND,@,CHO,L (-20),0,19:47,3,7,.429,1,3,.333,0,0,,0,2,2,2,0,0,2,2,7,2.5,-8
10,3,2024-11-10,26-056,IND,,NYK,W (+11),0,11:18,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,4,4.0,0
11,,2024-11-13,26-059,IND,@,ORL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,4,2024-11-15,26-061,IND,,MIA,L (-13),0,10:22,3,5,.600,0,0,,0,0,,2,0,2,1,1,1,2,0,6,5.5,+14
13,5,2024-11-17,26-063,IND,,MIA,W (+9),0,6:40,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-9
14,6,2024-11-18,26-064,IND,@,TOR,L (-11),0,19:28,4,7,.571,1,3,.333,0,0,,0,1,1,3,1,1,0,3,9,8.6,+5
15,7,2024-11-20,26-066,IND,@,HOU,L (-17),1,26:34,10,12,.833,1,3,.333,3,4,.750,0,2,2,3,2,1,1,1,24,23.2,-17
16,8,2024-11-22,26-068,IND,@,MIL,L (-12),1,22:11,3,6,.500,0,2,.000,3,3,1.000,1,1,2,3,0,0,2,2,9,6.3,-25
17,9,2024-11-24,26-070,IND,,WAS,W (+12),1,21:32,0,5,.000,0,0,,0,0,,1,3,4,3,0,0,0,0,0,0.2,+9
18,10,2024-11-25,26-071,IND,,NOP,W (+4),1,31:57,4,8,.500,4,6,.667,0,2,.000,0,2,2,4,1,0,0,3,12,10.4,+19
19,11,2024-11-27,26-073,IND,,POR,W (+7),1,32:30,4,10,.400,0,1,.000,1,2,.500,4,1,5,4,2,1,2,4,9,8.2,+13
20,12,2024-11-29,26-075,IND,,DET,L (-24),1,15:50,3,6,.500,2,3,.667,2,2,1.000,1,1,2,2,0,1,0,3,10,8.9,-14
21,13,2024-12-01,26-077,IND,@,MEM,L (-15),0,9:29,2,3,.667,0,1,.000,1,2,.500,0,0,0,0,1,0,1,5,5,1.3,-14
