Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,32-212,IND,@,DET,W (+6),0,15:48,7,8,.875,0,0,,0,0,,0,2,2,4,1,0,1,0,14,14.6,-11
2,2,2024-10-25,32-214,IND,@,NYK,L (-25),0,16:12,3,4,.750,0,0,,1,2,.500,0,2,2,5,0,0,2,0,7,7.1,-7
3,3,2024-10-27,32-216,IND,,PHI,L (-4),0,21:26,5,10,.500,0,0,,0,0,,2,3,5,4,1,0,2,1,10,8.7,-8
4,4,2024-10-28,32-217,IND,@,ORL,L (-4),0,5:36,0,3,.000,0,0,,0,0,,0,0,0,1,1,0,2,0,0,-2.4,-7
5,5,2024-10-30,32-219,IND,,BOS,W (+3),0,21:35,5,11,.455,0,1,.000,0,0,,0,2,2,3,1,0,1,1,10,6.6,-7
6,6,2024-11-01,32-221,IND,@,NOP,L (-7),0,21:49,5,9,.556,0,1,.000,0,0,,0,3,3,9,1,0,2,1,10,11.5,+5
7,7,2024-11-04,32-224,IND,@,DAL,W (+7),0,20:06,6,10,.600,0,0,,0,0,,1,2,3,2,1,1,1,0,12,10.8,-5
8,8,2024-11-06,32-226,IND,,ORL,W (+7),0,16:39,7,7,1.000,1,1,1.000,0,0,,0,0,0,5,1,0,4,2,15,12.6,+2
9,,2024-11-08,32-228,IND,@,CHO,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9,2024-11-10,32-230,IND,,NYK,W (+11),0,15:53,3,6,.500,0,1,.000,0,0,,0,0,0,3,1,0,0,1,6,5.7,+3
11,10,2024-11-13,32-233,IND,@,ORL,L (-4),0,14:54,2,9,.222,0,0,,0,0,,1,5,6,3,1,1,2,2,4,1.7,+1
12,11,2024-11-15,32-235,IND,,MIA,L (-13),0,17:01,6,10,.600,0,0,,2,3,.667,0,3,3,4,1,0,3,1,14,10.3,+5
13,12,2024-11-17,32-237,IND,,MIA,W (+9),0,23:22,4,8,.500,0,0,,0,0,,2,1,3,5,1,0,1,1,8,8.8,-2
14,13,2024-11-18,32-238,IND,@,TOR,L (-11),0,26:30,4,11,.364,0,1,.000,2,2,1.000,0,3,3,7,5,0,0,2,10,13.9,+23
15,14,2024-11-20,32-240,IND,@,HOU,L (-17),0,19:24,8,12,.667,0,0,,1,2,.500,0,1,1,4,2,0,1,1,17,15.1,-6
16,15,2024-11-22,32-242,IND,@,MIL,L (-12),0,20:31,6,8,.750,0,0,,0,0,,0,2,2,8,3,1,2,0,12,16.7,+15
17,16,2024-11-24,32-244,IND,,WAS,W (+12),0,22:11,6,10,.600,0,0,,0,0,,1,3,4,3,0,0,1,2,12,9.3,-13
18,17,2024-11-25,32-245,IND,,NOP,W (+4),0,20:30,2,5,.400,0,0,,3,4,.750,1,4,5,0,2,1,0,0,7,8.5,-7
19,18,2024-11-27,32-247,IND,,POR,W (+7),0,14:53,3,7,.429,0,0,,0,0,,2,2,4,3,2,1,3,2,6,5.3,-8
20,19,2024-11-29,32-249,IND,,DET,L (-24),0,23:38,6,11,.545,0,0,,0,0,,1,1,2,3,1,0,2,2,12,8.0,-4
21,20,2024-12-01,32-251,IND,@,MEM,L (-15),0,22:03,6,9,.667,1,1,1.000,2,2,1.000,1,3,4,4,1,0,2,3,15,13.3,+1
22,21,2024-12-03,32-253,IND,@,TOR,L (-11),0,23:56,5,10,.500,0,1,.000,4,6,.667,0,2,2,4,1,0,3,1,14,9.2,-3
23,22,2024-12-04,32-254,IND,@,BRK,L (-9),0,27:45,6,9,.667,0,1,.000,2,2,1.000,0,2,2,2,1,0,1,1,14,11.7,-6
24,23,2024-12-06,32-256,IND,@,CHI,W (+9),0,22:51,8,14,.571,1,1,1.000,0,1,.000,1,1,2,5,2,0,3,0,17,13.5,+6
25,24,2024-12-08,32-258,IND,,CHO,L (-4),0,25:49,14,19,.737,0,3,.000,2,2,1.000,0,1,1,6,2,2,0,1,30,29.8,+1
26,25,2024-12-13,32-263,IND,@,PHI,W (+14),0,18:21,5,10,.500,0,1,.000,1,1,1.000,1,1,2,4,1,1,1,1,11,10.1,-6
27,26,2024-12-15,32-265,IND,,NOP,W (+15),0,20:06,3,6,.500,0,1,.000,0,0,,2,1,3,8,0,0,2,3,6,7.1,0
28,27,2024-12-19,32-269,IND,@,PHO,W (+9),0,15:35,3,8,.375,0,0,,5,6,.833,0,2,2,5,1,0,1,1,11,9.9,-2
29,28,2024-12-22,32-272,IND,@,SAC,W (+27),0,22:36,6,11,.545,0,1,.000,0,0,,2,5,7,10,1,0,1,0,12,16.6,+9
30,29,2024-12-23,32-273,IND,@,GSW,W (+6),0,20:22,5,10,.500,3,3,1.000,0,0,,0,0,0,5,0,1,2,1,13,9.8,-18
31,30,2024-12-26,32-276,IND,,OKC,L (-6),0,19:18,6,9,.667,1,2,.500,0,0,,0,3,3,3,0,0,1,0,13,11.1,-5
32,31,2024-12-27,32-277,IND,@,BOS,L (-37),0,19:38,4,11,.364,0,2,.000,0,0,,0,0,0,4,0,0,2,0,8,2.7,-13
33,32,2024-12-29,32-279,IND,@,BOS,W (+9),0,13:35,1,6,.167,0,1,.000,1,2,.500,3,2,5,1,1,0,2,1,3,0.8,-10
34,33,2024-12-31,32-281,IND,,MIL,L (-8),0,16:20,3,5,.600,0,1,.000,0,2,.000,0,3,3,5,2,0,3,0,6,6.3,-10
35,34,2025-01-02,32-283,IND,@,MIA,W (+13),0,18:53,4,7,.571,0,0,,0,0,,0,1,1,4,1,0,2,2,8,6.0,+3
36,35,2025-01-04,32-285,IND,,PHO,W (+18),0,17:53,4,9,.444,0,0,,0,0,,0,3,3,4,0,0,1,4,8,4.4,-2
37,36,2025-01-06,32-287,IND,@,BRK,W (+14),0,17:08,3,4,.750,0,0,,2,2,1.000,0,1,1,2,2,0,0,2,8,9.3,+1
38,37,2025-01-08,32-289,IND,,CHI,W (+16),0,16:22,2,7,.286,0,0,,2,3,.667,1,1,2,5,3,0,1,0,6,8.0,-2
39,38,2025-01-10,32-291,IND,,GSW,W (+12),0,16:58,4,8,.500,0,0,,2,2,1.000,0,2,2,6,0,1,2,1,10,9.1,+5
40,39,2025-01-12,32-293,IND,@,CLE,W (+15),0,17:07,2,6,.333,0,1,.000,2,2,1.000,0,4,4,8,0,0,2,2,6,6.6,+18
41,40,2025-01-14,32-295,IND,,CLE,L (-10),0,21:16,5,11,.455,0,0,,0,0,,1,0,1,8,1,0,0,2,10,10.8,+3
42,41,2025-01-16,32-297,IND,@,DET,W (+11),0,14:03,1,7,.143,0,0,,0,0,,0,5,5,5,1,1,0,0,2,4.2,+1
43,42,2025-01-18,32-299,IND,,PHI,W (+13),0,16:23,5,7,.714,0,0,,0,0,,1,1,2,3,2,1,1,0,10,11.9,+12
44,43,2025-01-23,32-304,IND,,SAS,L (-30),0,15:53,2,9,.222,0,1,.000,0,0,,0,1,1,4,2,0,1,0,4,2.6,-13
45,44,2025-01-25,32-306,IND,@,SAS,W (+38),0,15:33,6,9,.667,0,0,,0,0,,1,4,5,5,1,1,2,1,12,12.8,+17
46,45,2025-01-29,32-310,IND,,DET,W (+14),0,20:47,7,13,.538,0,1,.000,0,0,,1,5,6,3,3,0,4,1,14,10.6,+6
47,46,2025-02-01,32-313,IND,,ATL,W (+5),0,10:56,1,3,.333,0,0,,0,0,,0,1,1,6,0,0,0,4,2,3.2,0
48,47,2025-02-03,32-315,IND,@,UTA,W (+1),0,13:41,2,7,.286,0,0,,0,0,,0,2,2,6,2,1,2,0,4,5.4,+7
49,48,2025-02-04,32-316,IND,@,POR,L (-23),0,18:25,7,11,.636,0,1,.000,0,0,,1,3,4,4,2,0,2,0,14,13.5,+2
50,49,2025-02-06,32-318,IND,@,LAC,W (+7),0,14:54,2,8,.250,1,2,.500,0,0,,1,2,3,6,1,0,3,1,5,3.3,0
51,50,2025-02-08,32-320,IND,@,LAL,L (-7),0,13:05,3,6,.500,0,1,.000,6,6,1.000,0,1,1,1,0,0,1,0,12,9.0,0
52,51,2025-02-11,32-323,IND,,NYK,L (-13),0,16:57,3,5,.600,0,1,.000,1,4,.250,0,1,1,6,0,0,1,0,7,7.0,-11
53,52,2025-02-12,32-324,IND,@,WAS,W (+4),0,22:17,5,12,.417,0,0,,0,0,,0,1,1,9,1,0,0,0,10,11.2,+11
54,53,2025-02-20,32-332,IND,,MEM,W (+14),0,15:44,2,3,.667,1,1,1.000,2,2,1.000,0,2,2,7,0,1,2,3,7,8.7,+9
55,54,2025-02-23,32-335,IND,,LAC,W (+18),0,14:30,5,5,1.000,1,1,1.000,2,2,1.000,1,1,2,1,0,1,1,2,13,12.1,+4
56,,2025-02-24,32-336,IND,,DEN,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2025-02-26,32-338,IND,,TOR,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,55,2025-02-28,32-340,IND,@,MIA,L (-5),0,13:13,3,8,.375,1,1,1.000,0,0,,0,0,0,5,1,0,2,0,7,5.1,-8
59,56,2025-03-02,32-342,IND,,CHI,W (+15),0,16:17,4,5,.800,1,1,1.000,2,3,.667,0,1,1,6,1,0,2,0,11,12.2,-1
60,57,2025-03-04,32-344,IND,,HOU,W (+13),0,13:24,1,4,.250,0,1,.000,0,0,,1,0,1,3,2,0,0,1,2,4.0,-7
61,58,2025-03-06,32-346,IND,@,ATL,L (-6),0,26:15,4,10,.400,1,4,.250,0,0,,1,3,4,6,2,0,0,0,9,11.4,+11
62,59,2025-03-08,32-348,IND,@,ATL,L (-2),0,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
