Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,24-237,IND,@,DET,W (+6),1,34:58,6,18,.333,1,9,.111,2,2,1.000,1,4,5,4,3,2,3,2,15,10.1,+15
2,2,2024-10-25,24-239,IND,@,NYK,L (-25),1,25:51,0,8,.000,0,7,.000,0,0,,0,1,1,5,1,0,1,2,0,-2.6,-23
3,3,2024-10-27,24-241,IND,,PHI,L (-4),1,37:18,8,18,.444,4,9,.444,2,5,.400,1,3,4,2,0,1,3,2,22,11.3,-9
4,4,2024-10-28,24-242,IND,@,ORL,L (-4),1,35:04,6,15,.400,4,9,.444,3,4,.750,3,6,9,10,1,0,1,1,19,21.0,+3
5,5,2024-10-30,24-244,IND,,BOS,W (+3),1,39:49,7,19,.368,2,10,.200,1,1,1.000,0,6,6,12,2,0,1,5,17,15.7,+9
6,6,2024-11-01,24-246,IND,@,NOP,L (-7),1,33:24,2,8,.250,1,6,.167,6,6,1.000,1,1,2,11,0,0,2,2,11,12.1,-19
7,7,2024-11-04,24-249,IND,@,DAL,W (+7),1,35:32,10,16,.625,2,8,.250,3,6,.500,0,4,4,12,2,1,2,1,25,26.5,+9
8,8,2024-11-06,24-251,IND,,ORL,W (+7),1,36:39,6,11,.545,3,5,.600,2,2,1.000,0,3,3,4,1,0,1,4,17,13.8,+6
9,9,2024-11-08,24-253,IND,@,CHO,L (-20),1,34:14,2,11,.182,0,4,.000,2,2,1.000,1,6,7,9,1,1,2,1,6,7.2,-21
10,10,2024-11-10,24-255,IND,,NYK,W (+11),1,35:11,11,18,.611,4,10,.400,9,11,.818,0,2,2,14,2,0,2,1,35,36.0,+12
11,11,2024-11-13,24-258,IND,@,ORL,L (-4),1,39:34,3,14,.214,2,8,.250,1,1,1.000,0,1,1,11,0,0,4,1,9,4.0,+5
12,12,2024-11-15,24-260,IND,,MIA,L (-13),1,28:39,7,14,.500,4,9,.444,0,0,,1,1,2,8,1,0,1,1,18,17.2,-25
13,13,2024-11-17,24-262,IND,,MIA,W (+9),1,37:40,4,13,.308,3,8,.375,5,5,1.000,1,2,3,13,0,2,0,2,16,19.5,+19
14,14,2024-11-18,24-263,IND,@,TOR,L (-11),1,38:49,5,18,.278,2,9,.222,4,4,1.000,2,1,3,4,5,2,1,4,16,13.7,-15
15,15,2024-11-20,24-265,IND,@,HOU,L (-17),1,30:01,1,7,.143,1,5,.200,1,1,1.000,0,1,1,8,0,1,2,1,4,3.7,-28
16,16,2024-11-22,24-267,IND,@,MIL,L (-12),1,33:54,6,14,.429,4,10,.400,2,2,1.000,0,1,1,9,0,0,1,0,18,16.2,-18
17,17,2024-11-24,24-269,IND,,WAS,W (+12),1,34:17,7,18,.389,5,11,.455,2,2,1.000,3,1,4,9,2,0,3,3,21,17.7,+12
18,18,2024-11-25,24-270,IND,,NOP,W (+4),1,35:34,12,23,.522,9,18,.500,1,1,1.000,0,3,3,13,3,0,2,1,34,33.3,+16
19,19,2024-11-27,24-272,IND,,POR,W (+7),1,38:51,8,15,.533,5,10,.500,7,7,1.000,2,5,7,10,2,0,3,2,28,28.8,+17
20,20,2024-11-29,24-274,IND,,DET,L (-24),1,29:52,8,13,.615,3,8,.375,0,0,,0,1,1,5,0,0,2,0,19,14.9,-23
21,21,2024-12-01,24-276,IND,@,MEM,L (-15),1,36:53,3,10,.300,2,9,.222,0,0,,1,1,2,7,1,0,2,0,8,7.1,-6
22,22,2024-12-03,24-278,IND,@,TOR,L (-11),1,39:54,10,16,.625,4,9,.444,6,7,.857,1,3,4,6,1,0,3,2,30,25.4,-3
23,23,2024-12-04,24-279,IND,@,BRK,L (-9),1,36:58,5,13,.385,1,7,.143,6,7,.857,0,3,3,8,2,2,3,1,17,16.0,+2
24,24,2024-12-06,24-281,IND,@,CHI,W (+9),1,38:09,9,17,.529,5,9,.556,0,0,,0,4,4,8,2,0,2,1,23,21.1,+5
25,25,2024-12-08,24-283,IND,,CHO,L (-4),1,36:52,4,10,.400,0,4,.000,1,2,.500,0,2,2,8,0,3,2,1,9,9.1,-3
26,26,2024-12-13,24-288,IND,@,PHI,W (+14),1,34:32,12,23,.522,7,15,.467,1,1,1.000,1,2,3,11,1,1,2,1,32,29.0,+21
27,27,2024-12-15,24-290,IND,,NOP,W (+15),1,34:42,6,14,.429,4,8,.500,5,6,.833,0,4,4,10,3,1,4,1,21,20.7,+9
28,28,2024-12-19,24-294,IND,@,PHO,W (+9),1,37:09,4,9,.444,4,9,.444,1,2,.500,1,3,4,12,0,1,2,1,13,16.2,+14
29,29,2024-12-22,24-297,IND,@,SAC,W (+27),1,30:48,5,10,.500,4,9,.444,0,0,,1,4,5,8,0,0,1,0,14,15.5,+15
30,30,2024-12-23,24-298,IND,@,GSW,W (+6),1,38:21,6,11,.545,2,7,.286,2,2,1.000,0,6,6,12,2,0,1,0,16,21.9,+28
31,31,2024-12-26,24-301,IND,,OKC,L (-6),1,35:17,2,6,.333,0,2,.000,0,0,,1,1,2,8,0,0,1,1,4,5.8,-13
32,32,2024-12-27,24-302,IND,@,BOS,L (-37),1,29:38,6,13,.462,3,8,.375,4,4,1.000,0,4,4,9,0,0,2,0,19,17.8,-27
33,33,2024-12-29,24-304,IND,@,BOS,W (+9),1,36:08,11,19,.579,1,6,.167,8,9,.889,0,6,6,7,1,0,0,0,31,29.4,+13
34,34,2024-12-31,24-306,IND,,MIL,L (-8),1,38:38,3,13,.231,1,6,.167,5,6,.833,2,5,7,7,1,2,1,2,12,12.1,-6
35,35,2025-01-02,24-308,IND,@,MIA,W (+13),1,34:41,13,21,.619,6,13,.462,1,3,.333,1,4,5,15,2,1,0,1,33,37.4,+26
36,36,2025-01-04,24-310,IND,,PHO,W (+18),1,32:50,8,19,.421,5,12,.417,6,7,.857,1,4,5,8,2,1,0,0,27,26.7,+13
37,37,2025-01-06,24-312,IND,@,BRK,W (+14),1,31:55,5,12,.417,4,7,.571,9,9,1.000,0,2,2,8,1,1,3,2,23,20.7,+10
38,38,2025-01-08,24-314,IND,,CHI,W (+16),1,30:12,7,13,.538,2,3,.667,0,0,,0,3,3,13,2,0,1,1,16,20.3,+25
39,39,2025-01-10,24-316,IND,,GSW,W (+12),1,34:55,8,10,.800,2,4,.500,7,7,1.000,0,2,2,10,3,0,5,1,25,26.4,+18
40,40,2025-01-12,24-318,IND,@,CLE,W (+15),1,18:30,1,5,.200,0,2,.000,0,0,,0,1,1,5,1,1,1,0,2,3.4,-14
41,,2025-01-14,24-320,IND,,CLE,L (-10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
42,41,2025-01-16,24-322,IND,@,DET,W (+11),1,33:57,7,15,.467,2,6,.333,1,1,1.000,0,4,4,8,1,1,0,2,17,17.0,+10
43,42,2025-01-18,24-324,IND,,PHI,W (+13),1,32:29,4,11,.364,1,7,.143,0,0,,1,4,5,9,0,0,5,2,9,5.3,-3
44,43,2025-01-23,24-329,IND,,SAS,L (-30),1,30:29,5,11,.455,3,7,.429,0,0,,0,2,2,7,0,0,0,0,13,12.8,-20
45,44,2025-01-25,24-331,IND,@,SAS,W (+38),1,28:27,11,17,.647,6,9,.667,0,0,,1,2,3,4,2,2,1,1,28,26.6,+15
46,45,2025-01-29,24-335,IND,,DET,W (+14),1,32:17,10,17,.588,4,9,.444,6,9,.667,1,6,7,8,1,0,1,0,30,29.0,+15
47,46,2025-02-01,24-338,IND,,ATL,W (+5),1,34:59,5,12,.417,3,6,.500,4,5,.800,0,4,4,9,2,1,1,2,17,18.6,+5
48,47,2025-02-03,24-340,IND,@,UTA,W (+1),1,34:14,6,15,.400,3,10,.300,3,4,.750,1,2,3,6,3,2,3,1,18,16.0,-4
49,48,2025-02-04,24-341,IND,@,POR,L (-23),1,24:44,0,3,.000,0,1,.000,0,0,,0,2,2,6,1,2,2,3,0,1.9,-23
50,49,2025-02-06,24-343,IND,@,LAC,W (+7),1,34:07,5,13,.385,2,7,.286,2,2,1.000,0,3,3,8,4,1,1,1,14,16.7,+7
51,50,2025-02-08,24-345,IND,@,LAL,L (-7),1,35:55,7,15,.467,4,9,.444,1,1,1.000,0,2,2,9,2,1,1,3,19,18.7,-9
52,51,2025-02-11,24-348,IND,,NYK,L (-13),1,32:35,7,15,.467,2,6,.333,0,0,,1,4,5,8,0,0,4,2,16,11.0,-11
53,52,2025-02-12,24-349,IND,@,WAS,W (+4),1,31:47,8,18,.444,4,8,.500,0,0,,0,2,2,7,1,0,2,1,20,14.7,-7
54,53,2025-02-20,24-357,IND,,MEM,W (+14),1,32:21,9,17,.529,4,11,.364,0,0,,1,4,5,9,1,1,1,3,22,21.4,+8
55,54,2025-02-23,24-360,IND,,LAC,W (+18),1,30:17,9,14,.643,4,8,.500,7,7,1.000,0,1,1,12,3,0,1,0,29,33.5,+15
56,55,2025-02-24,24-361,IND,,DEN,L (-9),1,40:22,6,11,.545,5,10,.500,2,2,1.000,0,1,1,15,3,0,1,2,19,25.7,+1
57,56,2025-02-26,24-363,IND,,TOR,W (+20),1,33:11,12,15,.800,7,9,.778,2,2,1.000,0,3,3,11,3,2,1,0,33,39.3,+24
58,57,2025-02-28,24-365,IND,@,MIA,L (-5),1,36:00,8,15,.533,3,5,.600,0,0,,0,2,2,10,4,0,1,1,19,21.9,+3
59,58,2025-03-02,25-001,IND,,CHI,W (+15),1,30:41,7,12,.583,2,4,.500,1,1,1.000,1,4,5,12,3,0,1,1,17,23.3,+16
60,59,2025-03-04,25-003,IND,,HOU,W (+13),1,36:04,9,16,.563,5,8,.625,5,5,1.000,0,3,3,15,1,0,2,1,28,30.4,+20
61,,2025-03-06,25-005,IND,@,ATL,L (-6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
62,,2025-03-08,25-007,IND,@,ATL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
