Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,36:56,11,26,.423,5,15,.333,7,7,1.000,0,3,3,17,2,0,5,2,34,29.2,+2,youngtr01
Dyson Daniels,35:36,8,15,.533,2,3,.667,5,6,.833,1,3,4,4,1,1,3,5,23,16.4,+1,daniedy01
Onyeka Okongwu,29:13,6,7,.857,0,0,,0,2,.000,1,10,11,3,1,0,0,3,12,14.3,+5,okongon01
Zaccharie Risacher,29:01,6,11,.545,3,5,.600,2,4,.500,4,1,5,2,0,0,0,0,17,15.4,+2,risacza01
Dominick Barlow,13:11,5,9,.556,0,2,.000,0,1,.000,1,2,3,0,0,2,0,0,10,8.0,+4,barlodo01
De'Andre Hunter,29:29,1,5,.200,0,3,.000,2,4,.500,4,4,8,2,1,1,1,2,4,5.4,-15,huntede01
Garrison Mathews,19:01,3,5,.600,3,5,.600,5,6,.833,0,3,3,0,0,0,2,4,14,8.6,+9,mathega01
Larry Nance Jr.,18:47,2,5,.400,0,0,,0,0,,0,5,5,1,0,0,1,1,4,2.1,-10,nancela02
Vit Krejci,15:09,1,3,.333,1,3,.333,2,2,1.000,0,0,0,0,0,0,0,4,5,1.7,-10,krejcvi01
Keaton Wallace,13:37,2,4,.500,0,1,.000,0,0,,0,2,2,2,1,0,0,2,4,4.2,-13,wallake01
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Team Totals,240,45,90,.500,14,37,.378,23,32,.719,11,33,44,31,6,4,13,23,127,,,-9999
