Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,7:36,2,5,.400,0,1,.000,2,2,1.000,0,0,0,4,0,0,1,1,6,4.7,-5,youngtr01
Dyson Daniels,9:40,1,3,.333,0,0,,0,0,,0,1,1,1,1,0,0,1,2,1.9,-9,daniedy01
Onyeka Okongwu,6:15,1,2,.500,0,1,.000,0,0,,1,1,2,1,0,0,0,0,2,2.7,-4,okongon01
Zaccharie Risacher,7:44,1,3,.333,1,1,1.000,0,0,,2,0,2,1,0,0,1,0,3,2.4,-9,risacza01
Mouhamed Gueye,6:15,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,0,1,2,2.6,-4,gueyemo02
Caris LeVert,6:44,0,3,.000,0,2,.000,0,2,.000,0,0,0,1,0,0,0,1,0,-2.6,-6,leverca01
Georges Niang,5:45,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,3.0,-6,niangge01
Terance Mann,4:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,mannte01
Clint Capela,5:45,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,0,0,2,2.3,-6,capelca01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,60,9,24,.375,1,7,.143,2,4,.500,5,7,12,8,1,1,2,4,21,,,-9999
