Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,27-128,LAC,,PHO,L (-3),0,25:49,1.127,1.250,0.0,14.7,6.6,6.1,1.9,0.0,0.0,7.9,216,105,11.2,8.8
2,2,2024-10-26,27-131,LAC,@,DEN,W (+5),0,23:41,.000,.000,5.3,4.7,5.0,15.2,2.2,0.0,0.0,9.4,57,113,0.2,-7.2
3,3,2024-10-27,27-132,LAC,@,GSW,W (+8),0,19:43,.680,.700,5.2,10.1,7.7,0.0,0.0,0.0,0.0,12.1,142,109,6.2,0.4
4,4,2024-10-30,27-135,LAC,,POR,L (-1),0,26:56,.643,.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,128,121,4.9,-6.2
5,5,2024-10-31,27-136,LAC,,PHO,L (-6),0,10:28,.810,.833,0.0,11.2,5.3,0.0,0.0,0.0,0.0,17.0,165,135,4.4,-2.0
6,6,2024-11-02,27-138,LAC,,OKC,L (-13),0,20:08,.694,.500,0.0,5.5,2.6,0.0,4.7,0.0,58.1,14.6,54,102,0.9,-8.0
7,7,2024-11-04,27-140,LAC,,SAS,W (+9),0,25:32,1.050,1.050,3.8,23.5,12.7,7.2,2.1,0.0,0.0,17.3,205,111,20.3,19.5
8,8,2024-11-06,27-142,LAC,,PHI,W (+12),0,24:33,.652,.625,13.0,6.3,9.6,0.0,0.0,0.0,0.0,16.6,142,118,8.7,-1.5
9,9,2024-11-08,27-144,LAC,@,SAC,W (+9),0,28:39,.589,.545,0.0,4.1,2.0,6.1,1.7,0.0,0.0,17.8,130,103,9.5,2.6
10,10,2024-11-09,27-145,LAC,,TOR,W (+2),0,23:05,.436,.417,0.0,4.0,2.3,0.0,0.0,0.0,0.0,13.7,90,114,2.1,-8.1
11,11,2024-11-11,27-147,LAC,@,OKC,L (-6),0,27:09,.732,.688,0.0,12.9,7.0,19.2,1.8,0.0,18.4,16.5,141,134,10.5,2.8
12,12,2024-11-13,27-149,LAC,@,HOU,L (-8),0,25:47,.394,.313,3.7,3.7,3.7,5.4,0.0,0.0,0.0,14.4,94,123,3.5,-8.1
13,13,2024-11-15,27-151,LAC,@,HOU,L (-21),0,26:30,.601,.500,3.5,11.6,7.3,19.0,1.7,0.0,10.7,14.1,127,122,10.0,3.5
14,14,2024-11-17,27-153,LAC,,UTA,W (+11),0,17:30,.478,.333,6.0,7.6,6.7,13.5,2.9,0.0,0.0,18.2,126,113,6.6,-2.5
15,15,2024-11-18,27-154,LAC,,GSW,W (+3),0,29:07,.651,.500,8.0,10.3,9.3,5.5,0.0,4.1,14.8,20.3,118,101,10.3,-1.6
16,16,2024-11-20,27-156,LAC,,ORL,W (+11),1,33:22,.827,.800,0.0,16.0,7.9,4.9,0.0,0.0,15.5,16.7,143,103,12.5,4.5
17,17,2024-11-22,27-158,LAC,,SAC,W (+16),1,24:23,.611,.611,3.9,3.9,3.9,13.5,0.0,0.0,0.0,15.7,129,99,8.7,2.0
18,18,2024-11-24,27-160,LAC,@,PHI,W (+26),1,25:11,.595,.600,0.0,12.2,7.4,8.8,0.0,0.0,0.0,10.3,141,111,6.2,-1.4
19,19,2024-11-25,27-161,LAC,@,BOS,L (-32),1,24:37,.250,.250,0.0,18.6,8.6,0.0,2.0,0.0,0.0,14.2,54,128,0.6,-12.5
20,20,2024-11-27,27-163,LAC,@,WAS,W (+25),1,20:37,.338,.250,5.5,0.0,2.7,11.5,4.6,0.0,0.0,17.8,99,99,5.3,-6.2
21,21,2024-11-29,27-165,LAC,@,MIN,L (-1),1,24:19,.600,.600,0.0,0.0,0.0,7.6,2.1,0.0,9.1,20.7,106,109,6.9,0.0
22,22,2024-12-01,27-167,LAC,,DEN,W (+4),0,18:24,.591,.591,17.8,14.1,16.1,8.7,0.0,0.0,8.3,27.0,122,125,8.9,-0.6
23,23,2024-12-03,27-169,LAC,,POR,W (+22),0,22:55,.950,.950,0.0,12.0,6.5,19.4,0.0,0.0,9.1,21.6,175,122,16.5,13.7
24,24,2024-12-04,27-170,LAC,,MIN,L (-28),1,27:40,.711,.688,0.0,16.1,7.2,17.1,1.7,0.0,26.2,17.8,105,108,8.6,2.3
