Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,27-251,LAC,,PHO,L (-3),1,29:00,1.000,1.000,7.2,8.7,7.9,5.6,3.3,0.0,25.0,11.5,136,102,10.9,6.0
2,2,2024-10-26,27-254,LAC,@,DEN,W (+5),1,26:46,.563,.563,0.0,4.2,2.2,5.5,1.9,3.4,27.3,18.2,79,112,3.9,-4.4
3,3,2024-10-27,27-255,LAC,@,GSW,W (+8),1,35:25,.827,.850,11.5,0.0,5.7,0.0,2.7,0.0,15.5,14.8,136,107,15.4,5.9
4,4,2024-10-30,27-258,LAC,,POR,L (-1),1,32:41,.409,.409,6.1,18.4,12.2,8.4,1.5,2.5,0.0,14.4,104,110,8.8,-2.5
5,5,2024-10-31,27-259,LAC,,PHO,L (-6),1,24:19,.506,.450,4.3,9.6,6.8,10.6,6.1,0.0,0.0,18.5,125,121,9.3,-0.8
6,6,2024-11-02,27-261,LAC,,OKC,L (-13),1,22:05,.111,.111,4.5,10.1,7.2,0.0,0.0,0.0,18.2,21.3,25,113,-6.2,-23.4
7,7,2024-11-04,27-263,LAC,,SAS,W (+9),1,21:47,.479,.500,4.5,5.5,5.0,13.7,0.0,4.9,8.7,23.2,104,119,4.7,-5.9
8,8,2024-11-06,27-265,LAC,,PHI,W (+12),1,23:51,.956,.917,6.7,19.5,13.2,13.0,0.0,0.0,0.0,14.8,201,114,14.0,8.0
9,9,2024-11-08,27-267,LAC,@,SAC,W (+9),1,30:38,.875,.875,0.0,15.3,7.6,0.0,3.2,0.0,20.0,14.0,125,98,10.8,7.2
10,10,2024-11-09,27-268,LAC,,TOR,W (+2),1,18:56,.340,.200,6.5,0.0,2.8,0.0,0.0,4.4,0.0,14.3,86,111,0.3,-12.0
11,11,2024-11-11,27-270,LAC,@,OKC,L (-6),1,33:09,.744,.769,16.5,3.5,9.5,13.4,1.4,0.0,18.2,20.4,134,137,16.1,3.9
12,12,2024-11-13,27-272,LAC,@,HOU,L (-8),1,22:20,.854,.833,4.2,4.3,4.3,7.3,2.2,0.0,13.4,13.9,140,117,10.1,5.7
13,13,2024-11-15,27-274,LAC,@,HOU,L (-21),1,23:08,.127,.000,12.0,17.7,14.7,0.0,4.0,0.0,11.3,15.4,47,115,1.4,-9.1
14,14,2024-11-17,27-276,LAC,,UTA,W (+11),1,20:35,.583,.583,0.0,6.5,2.8,0.0,7.4,0.0,14.3,14.8,97,103,6.3,-0.5
15,15,2024-11-18,27-277,LAC,,GSW,W (+3),1,22:39,.717,.625,5.2,8.8,7.1,0.0,0.0,0.0,0.0,9.4,145,106,6.3,-1.3
16,16,2024-11-20,27-279,LAC,,ORL,W (+11),1,26:20,.735,.700,0.0,30.4,15.0,5.6,5.8,0.0,0.0,8.9,168,90,10.0,8.2
17,17,2024-11-22,27-281,LAC,,SAC,W (+16),1,30:16,.559,.462,6.2,6.2,6.2,5.4,1.6,0.0,0.0,21.3,124,94,12.8,0.9
18,18,2024-11-24,27-283,LAC,@,PHI,W (+26),1,24:38,.765,.750,6.5,8.3,7.6,11.7,6.1,0.0,0.0,21.0,165,98,18.3,11.6
19,19,2024-11-25,27-284,LAC,@,BOS,L (-32),1,24:37,.799,.750,0.0,9.3,4.3,6.2,0.0,0.0,12.7,14.0,140,134,7.9,-1.3
20,20,2024-11-27,27-286,LAC,@,WAS,W (+25),1,18:04,.600,.600,19.0,17.7,18.3,7.2,2.6,0.0,37.5,18.3,92,98,3.4,-10.9
21,21,2024-11-29,27-288,LAC,@,MIN,L (-1),1,23:58,.375,.375,4.4,0.0,2.3,0.0,4.3,0.0,20.0,19.1,64,104,1.5,-9.7
22,22,2024-12-01,27-290,LAC,,DEN,W (+4),1,24:53,.400,.400,0.0,20.9,9.5,0.0,1.9,0.0,16.7,10.0,68,122,2.5,-8.7
23,23,2024-12-03,27-292,LAC,,POR,W (+22),1,24:56,.689,.650,6.6,16.5,12.0,5.4,4.2,0.0,0.0,19.7,158,111,14.7,4.6
24,24,2024-12-04,27-293,LAC,,MIN,L (-28),1,28:16,.563,.542,0.0,7.9,3.5,16.6,1.7,4.1,13.9,21.9,101,107,8.5,4.6
25,25,2024-12-08,27-297,LAC,,HOU,L (-11),1,12:00,1.000,1.000,0.0,0.0,0.0,0.0,0.0,9.8,0.0,3.7,200,129,2.0,-3.1
26,,2024-12-13,27-302,LAC,@,DEN,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2024-12-16,27-305,LAC,,UTA,W (+37),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,26,2024-12-19,27-308,LAC,@,DAL,W (+23),1,20:11,1.000,1.000,0.0,5.1,2.7,6.5,2.4,4.2,0.0,8.9,189,95,8.3,8.8
29,27,2024-12-21,27-310,LAC,@,DAL,L (-16),1,17:26,.333,.333,0.0,25.6,13.3,9.7,2.8,10.4,14.3,17.9,65,106,3.5,-2.3
30,28,2024-12-23,27-312,LAC,@,MEM,W (+4),1,21:48,.528,.455,8.5,0.0,4.0,0.0,4.1,3.9,0.0,21.8,121,106,10.2,3.8
31,29,2024-12-27,27-316,LAC,,GSW,W (+10),1,29:31,.583,.583,9.6,12.5,11.3,11.4,3.4,0.0,7.7,20.2,119,94,13.0,4.6
32,30,2024-12-30,27-319,LAC,@,NOP,W (+3),1,31:31,.500,.500,3.5,9.5,6.1,9.1,3.1,3.4,8.3,15.9,109,115,8.9,-1.9
33,31,2024-12-31,27-320,LAC,@,SAS,L (-36),1,21:08,.510,.500,4.3,4.9,4.6,0.0,0.0,0.0,14.5,14.3,91,133,2.5,-8.8
34,32,2025-01-02,27-322,LAC,@,OKC,L (-18),1,23:28,.429,.429,15.0,15.7,15.3,6.4,0.0,0.0,12.5,15.1,97,122,4.2,-6.5
35,33,2025-01-04,27-324,LAC,,ATL,W (+26),0,21:57,.545,.545,5.2,8.9,7.2,0.0,5.9,0.0,0.0,20.0,109,90,10.6,0.7
36,34,2025-01-06,27-326,LAC,@,MIN,L (-2),0,25:28,.740,.700,0.0,7.2,3.6,6.0,2.0,0.0,0.0,11.3,156,117,9.2,2.2
37,35,2025-01-08,27-328,LAC,@,DEN,L (-23),1,14:35,.667,.667,0.0,17.3,7.7,0.0,0.0,0.0,0.0,9.0,131,131,1.7,-10.9
38,36,2025-01-13,27-333,LAC,,MIA,W (+11),0,15:41,.541,.571,0.0,0.0,0.0,9.3,3.1,0.0,10.7,26.1,95,104,5.2,-3.5
39,37,2025-01-15,27-335,LAC,,BRK,W (+59),1,18:46,.661,.571,0.0,14.0,9.0,0.0,2.6,0.0,0.0,19.7,136,70,9.6,3.4
40,38,2025-01-16,27-336,LAC,@,POR,W (+29),1,22:15,.742,.786,13.9,7.7,9.9,0.0,0.0,3.8,18.6,21.5,122,98,9.6,1.4
41,39,2025-01-19,27-339,LAC,,LAL,W (+14),1,25:11,.500,.500,4.9,17.9,10.7,0.0,4.0,0.0,10.0,17.6,97,106,6.1,-4.3
42,40,2025-01-20,27-340,LAC,,CHI,L (-13),1,24:47,.505,.455,16.5,8.2,12.4,0.0,0.0,0.0,0.0,20.6,117,123,8.9,-3.9
43,41,2025-01-22,27-342,LAC,,BOS,L (-4),1,43:36,.694,.700,11.1,12.5,11.8,11.3,3.4,3.0,12.6,24.5,128,109,23.5,7.7
44,42,2025-01-23,27-343,LAC,,WAS,W (+17),1,25:29,.873,.850,8.2,19.5,14.5,0.0,3.7,3.9,0.0,18.0,171,85,19.9,15.8
45,43,2025-01-25,27-345,LAC,,MIL,W (+10),1,28:21,.667,.667,6.9,12.7,9.5,0.0,0.0,0.0,40.0,7.3,95,122,0.6,-10.2
46,44,2025-01-27,27-347,LAC,@,PHO,L (-2),1,31:14,.685,.643,12.1,7.1,9.5,4.4,3.3,4.0,0.0,12.6,156,118,14.4,5.7
47,45,2025-01-29,27-349,LAC,@,SAS,W (+12),1,32:30,.389,.389,14.8,9.4,11.9,3.4,3.0,0.0,0.0,11.3,124,116,7.5,-3.0
48,46,2025-01-31,27-351,LAC,@,CHO,W (+8),1,33:15,.607,.667,7.6,17.7,13.3,12.3,0.0,4.4,9.2,14.6,124,108,13.0,2.0
49,47,2025-02-02,27-353,LAC,@,TOR,L (-7),1,31:20,.508,.429,3.3,8.1,5.5,4.2,1.6,5.1,20.2,14.1,93,122,5.5,-6.4
50,48,2025-02-04,27-355,LAC,,LAL,L (-25),1,22:22,.781,.750,4.3,6.0,5.0,20.3,0.0,0.0,0.0,21.7,152,136,14.0,7.7
51,49,2025-02-06,27-357,LAC,,IND,L (-7),1,27:25,.600,.600,7.8,7.1,7.5,5.4,1.7,0.0,23.1,19.8,97,121,6.9,-3.2
52,50,2025-02-08,27-359,LAC,,UTA,W (+20),1,26:40,.564,.625,5.3,8.8,7.2,4.3,0.0,0.0,0.0,15.7,119,118,7.4,-6.1
53,51,2025-02-12,27-363,LAC,,MEM,W (+14),0,21:23,.643,.643,10.2,0.0,5.2,0.0,2.1,0.0,0.0,13.1,142,113,6.5,-3.0
54,52,2025-02-13,27-364,LAC,@,UTA,W (+4),1,23:00,.405,.389,0.0,11.8,5.1,0.0,2.2,0.0,9.2,20.6,77,115,1.5,-13.1
55,53,2025-02-20,28-005,LAC,@,MIL,L (-6),0,20:08,.500,.500,5.4,6.0,5.7,0.0,0.0,0.0,20.0,10.8,87,128,0.8,-14.3
56,54,2025-02-23,28-008,LAC,@,IND,L (-18),1,19:19,.333,.333,0.0,0.0,0.0,0.0,2.5,0.0,10.0,22.5,58,130,0.5,-15.4
57,55,2025-02-24,28-009,LAC,@,DET,L (-9),0,23:03,.568,.545,3.9,10.2,6.6,8.5,4.2,0.0,7.0,25.2,112,104,11.1,4.1
58,56,2025-02-26,28-011,LAC,@,CHI,W (+5),1,23:12,.810,.778,0.0,17.2,9.7,6.6,2.1,4.0,0.0,19.0,164,118,14.9,5.4
59,57,2025-02-28,28-013,LAC,@,LAL,L (-4),1,28:30,.571,.571,7.7,8.6,8.1,5.0,1.8,0.0,22.2,13.3,100,116,5.6,-2.2
60,,2025-03-02,28-015,LAC,@,LAL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,2025-03-04,28-017,LAC,@,PHO,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,,2025-03-05,28-018,LAC,,DET,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,58,2025-03-07,28-020,LAC,,NYK,W (+10),0,17:39,.765,.800,0.0,15.7,8.2,0.0,0.0,4.8,0.0,14.8,142,100,7.5,6.1
64,59,2025-03-09,28-022,LAC,,SAC,W (+1),0,27:37,.824,.889,8.9,4.5,6.7,0.0,2.0,0.0,0.0,19.4,159,115,14.2,7.6
