Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2024-10-23,27-265,UTA,,MEM,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2024-10-25,27-267,UTA,,GSW,L (-41),0,5:30,1.064,1.500,31.7,0.0,16.6,86.1,0.0,0.0,0.0,13.1,220,133,6.1,32.1
3,,2024-10-28,27-270,UTA,@,DAL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2,2024-10-29,27-271,UTA,,SAC,L (-17),0,4:30,.000,.000,0.0,27.4,11.7,30.5,0.0,0.0,0.0,9.5,55,117,0.3,-4.7
5,3,2024-10-31,27-273,UTA,,SAS,L (-18),0,20:26,.773,.667,15.3,9.6,12.4,8.6,0.0,9.6,43.6,13.9,98,108,4.9,-3.6
6,4,2024-11-02,27-275,UTA,@,DEN,L (-26),0,19:32,.563,.500,6.0,24.6,16.2,9.1,2.3,7.3,31.1,13.8,87,113,5.9,-2.1
7,5,2024-11-04,27-277,UTA,@,CHI,W (+9),0,16:20,.500,.500,0.0,25.0,13.8,7.0,0.0,0.0,0.0,10.2,118,125,3.9,-6.4
8,6,2024-11-07,27-280,UTA,@,MIL,L (-23),0,18:10,.515,.333,20.9,25.2,23.1,17.4,0.0,0.0,20.5,12.1,126,129,5.2,-4.1
9,,2024-11-09,27-282,UTA,@,SAS,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,7,2024-11-12,27-285,UTA,,PHO,L (-8),0,3:26,1.000,1.000,31.8,37.8,34.5,82.1,0.0,0.0,0.0,25.7,212,128,5.1,34.6
11,8,2024-11-14,27-287,UTA,,DAL,W (+2),0,17:03,.644,.667,8.0,32.2,20.1,7.5,3.0,6.1,0.0,9.6,155,111,7.2,4.2
12,9,2024-11-16,27-289,UTA,@,SAC,L (-4),0,15:54,.410,.500,24.5,9.7,17.8,0.0,3.2,7.2,0.0,13.5,115,124,4.1,-7.7
13,10,2024-11-17,27-290,UTA,@,LAC,L (-11),0,17:17,.820,.750,0.0,6.0,3.4,0.0,0.0,0.0,17.0,15.4,131,129,5.7,-2.9
14,11,2024-11-19,27-292,UTA,@,LAL,L (-6),0,19:26,.820,1.000,19.0,33.4,26.0,14.1,0.0,0.0,17.0,12.7,144,127,9.6,3.4
15,12,2024-11-21,27-294,UTA,@,SAS,L (-8),0,21:36,.667,.667,0.0,27.8,13.3,12.2,0.0,7.9,25.0,7.2,110,113,4.7,-2.4
16,13,2024-11-23,27-296,UTA,,NYK,W (+15),0,12:47,.145,.167,19.8,27.8,24.5,9.3,0.0,0.0,12.7,26.1,55,104,-0.7,-19.4
17,14,2024-11-26,27-299,UTA,,SAS,L (-13),0,13:55,.765,.800,9.6,15.7,12.9,23.6,0.0,7.7,40.5,29.9,94,128,5.3,-3.6
18,15,2024-11-27,27-300,UTA,,DEN,L (-19),0,1:30,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,138,-0.4,-24.2
19,16,2024-11-30,27-303,UTA,,DAL,L (-12),0,13:42,.167,.167,6.4,30.5,17.3,23.0,3.6,0.0,14.3,20.6,54,103,1.1,-8.1
20,17,2024-12-01,27-304,UTA,,LAL,L (-1),0,10:32,1.000,1.000,0.0,9.9,5.3,0.0,0.0,0.0,50.0,9.0,73,119,0.6,-9.6
21,18,2024-12-03,27-306,UTA,@,OKC,L (-27),0,12:15,1.136,,13.1,29.4,22.4,30.9,0.0,14.2,0.0,3.2,240,130,7.1,19.0
22,19,2024-12-06,27-309,UTA,@,POR,W (+42),0,17:26,.773,.667,14.1,34.4,26.1,13.1,2.6,11.5,0.0,17.8,176,81,15.9,13.8
23,20,2024-12-08,27-311,UTA,@,SAC,L (-44),0,9:46,.868,1.000,0.0,12.9,6.1,0.0,0.0,8.8,0.0,13.0,167,141,5.0,2.8
24,,2024-12-13,27-316,UTA,,PHO,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
