Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,35-058,LAC,,PHO,L (-3),1,39:52,.454,.393,7.8,28.5,17.2,37.0,1.2,0.0,20.0,41.8,87,105,14.8,-2.6
2,2,2024-10-26,35-061,LAC,@,DEN,W (+5),1,37:45,.688,.500,0.0,17.7,9.4,60.5,1.4,2.4,29.5,27.9,124,109,22.6,8.5
3,3,2024-10-27,35-062,LAC,@,GSW,W (+8),1,35:39,.501,.368,2.9,16.8,9.9,43.7,0.0,0.0,17.9,31.9,107,107,16.9,1.5
4,4,2024-10-30,35-065,LAC,,POR,L (-1),1,31:43,.481,.472,0.0,15.8,7.9,47.4,4.7,0.0,20.2,33.5,96,105,13.7,4.5
5,5,2024-10-31,35-066,LAC,,PHO,L (-6),1,35:41,.566,.500,0.0,32.8,15.5,51.1,2.8,6.3,21.4,32.5,112,121,23.2,7.4
6,6,2024-11-02,35-068,LAC,,OKC,L (-13),1,32:26,.432,.385,0.0,44.7,21.1,39.7,4.4,9.9,12.6,20.9,95,90,15.6,9.8
7,7,2024-11-04,35-070,LAC,,SAS,W (+9),1,33:20,.723,.750,5.9,21.6,12.9,17.8,1.6,9.6,14.5,18.3,136,108,17.5,8.8
8,8,2024-11-06,35-072,LAC,,PHI,W (+12),1,33:57,.475,.367,0.0,18.2,9.3,25.0,4.7,2.9,24.0,35.5,90,103,11.4,-6.8
9,9,2024-11-08,35-074,LAC,@,SAC,W (+9),1,34:32,.551,.406,0.0,13.6,6.7,38.3,2.9,0.0,26.0,33.4,101,99,13.8,1.6
10,10,2024-11-09,35-075,LAC,,TOR,W (+2),1,34:09,.528,.353,3.6,29.7,18.5,35.2,1.4,0.0,15.0,36.1,107,102,18.8,1.8
11,11,2024-11-11,35-077,LAC,@,OKC,L (-6),1,37:13,.494,.433,11.1,25.2,18.7,30.9,0.0,0.0,22.5,24.5,117,136,11.9,-6.4
12,12,2024-11-13,35-079,LAC,@,HOU,L (-8),1,31:25,.552,.500,0.0,18.3,9.1,37.1,4.6,0.0,5.5,24.2,118,104,18.8,10.4
13,13,2024-11-15,35-081,LAC,@,HOU,L (-21),1,30:35,.666,.607,0.0,20.0,9.5,13.6,0.0,3.1,24.1,27.3,105,122,11.7,0.0
14,14,2024-11-17,35-083,LAC,,UTA,W (+11),1,34:21,.617,.571,3.0,19.4,10.2,42.4,3.0,7.2,0.0,20.5,153,107,25.5,15.0
15,15,2024-11-18,35-084,LAC,,GSW,W (+3),1,40:41,.378,.333,0.0,14.7,8.0,62.3,2.3,5.9,15.9,20.3,101,95,15.7,3.6
16,16,2024-11-20,35-086,LAC,,ORL,W (+11),1,33:51,.622,.464,0.0,27.6,13.6,22.9,0.0,0.0,20.6,31.0,120,103,15.2,0.2
17,17,2024-11-22,35-088,LAC,,SAC,W (+16),1,36:15,.491,.333,0.0,15.6,7.8,36.8,4.0,2.8,15.2,30.9,101,85,19.2,7.7
18,18,2024-11-24,35-090,LAC,@,PHI,W (+26),1,27:06,.753,.550,0.0,7.5,4.6,35.5,1.9,0.0,20.7,31.3,142,108,20.4,8.4
19,19,2024-11-25,35-091,LAC,@,BOS,L (-32),1,29:51,.559,.559,0.0,30.6,14.1,55.4,0.0,0.0,22.7,32.2,99,131,13.6,2.4
