Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2024-10-23,24-274,LAC,,PHO,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2024-10-26,24-277,LAC,@,DEN,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,2024-10-27,24-278,LAC,@,GSW,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2024-10-30,24-281,LAC,,POR,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2024-10-31,24-282,LAC,,PHO,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1,2024-11-02,24-284,LAC,,OKC,L (-13),0,4:13,.568,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,19.0,53,114,-0.4,-15.4
7,,2024-11-04,24-286,LAC,,SAS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2,2024-11-06,24-288,LAC,,PHI,W (+12),0,3:22,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,28.7,0,119,-1.7,-38.6
9,,2024-11-08,24-290,LAC,@,SAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2024-11-09,24-291,LAC,,TOR,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2024-11-11,24-293,LAC,@,OKC,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,3,2024-11-13,24-295,LAC,@,HOU,L (-8),0,12:00,.474,.438,15.7,8.0,11.9,15.4,0.0,0.0,10.6,32.8,96,120,4.6,-3.3
13,4,2024-11-15,24-297,LAC,@,HOU,L (-21),0,10:23,.743,.333,8.9,9.8,9.3,15.7,0.0,0.0,0.0,28.6,171,127,10.6,16.9
14,,2024-11-17,24-299,LAC,,UTA,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,2024-11-18,24-300,LAC,,GSW,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,5,2024-11-20,24-302,LAC,,ORL,W (+11),0,15:46,.508,.429,8.2,16.9,12.5,10.5,6.4,0.0,0.0,21.6,132,89,7.5,5.2
17,6,2024-11-22,24-304,LAC,,SAC,W (+16),0,13:07,.625,.625,7.2,0.0,3.6,11.6,3.7,0.0,20.0,16.2,105,91,4.0,2.8
18,7,2024-11-24,24-306,LAC,@,PHI,W (+26),0,22:48,.583,.583,7.0,13.4,10.9,15.5,2.2,4.5,25.0,15.5,109,103,5.8,-1.5
19,8,2024-11-25,24-307,LAC,@,BOS,L (-32),0,20:02,.460,.400,4.9,0.0,2.6,0.0,2.4,0.0,15.5,28.1,82,130,3.9,-9.4
20,9,2024-11-27,24-309,LAC,@,WAS,W (+25),0,20:06,.689,.750,5.7,5.3,5.5,16.9,0.0,0.0,21.6,28.6,106,108,9.0,-4.1
21,10,2024-11-29,24-311,LAC,@,MIN,L (-1),0,11:15,.255,.200,0.0,30.5,14.5,13.4,0.0,0.0,0.0,24.0,64,103,0.7,-12.5
22,11,2024-12-01,24-313,LAC,,DEN,W (+4),0,14:40,.667,.667,7.4,8.8,8.1,21.9,0.0,0.0,14.3,19.8,127,127,6.8,0.2
23,12,2024-12-03,24-315,LAC,,POR,W (+22),0,23:42,.742,.722,14.0,11.6,12.7,17.4,0.0,4.0,9.6,19.9,155,120,13.5,4.8
24,13,2024-12-04,24-316,LAC,,MIN,L (-28),0,24:24,.364,.364,11.1,4.6,8.2,9.3,0.0,0.0,0.0,19.4,89,114,3.8,-5.0
25,14,2024-12-08,24-320,LAC,,HOU,L (-11),0,31:59,.500,.500,10.0,11.8,10.8,9.0,0.0,0.0,7.7,18.2,107,130,8.6,-3.8
26,15,2024-12-13,24-325,LAC,@,DEN,L (-22),0,15:02,.000,.000,0.0,0.0,0.0,17.3,0.0,0.0,33.3,8.7,38,124,-1.4,-13.0
27,16,2024-12-16,24-328,LAC,,UTA,W (+37),0,19:57,.167,.167,0.0,0.0,0.0,0.0,0.0,5.9,0.0,12.9,38,111,-1.5,-16.4
28,17,2024-12-19,24-331,LAC,@,DAL,W (+23),0,2:56,,,0.0,0.0,0.0,0.0,16.5,0.0,,0.0,0,70,1.0,13.9
29,18,2024-12-21,24-333,LAC,@,DAL,L (-16),0,1:20,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,0.0,-8.0
30,,2024-12-23,24-335,LAC,@,MEM,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,19,2024-12-27,24-339,LAC,,GSW,W (+10),0,3:34,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,38.6,0,109,-2.8,-48.9
32,,2024-12-30,24-342,LAC,@,NOP,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,20,2024-12-31,24-343,LAC,@,SAS,L (-36),0,14:09,.532,.000,12.8,29.5,20.6,33.9,7.0,0.0,34.7,9.0,121,109,7.0,9.0
34,21,2025-01-02,24-345,LAC,@,OKC,L (-18),0,23:05,.563,.563,5.1,16.0,10.4,35.0,6.4,0.0,10.1,18.9,123,107,12.3,11.9
