Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,31-151,LAC,,PHO,L (-3),1,39:36,.456,.344,2.6,9.6,5.8,15.2,0.0,3.3,13.9,22.8,94,108,9.9,-3.4
2,2,2024-10-26,31-154,LAC,@,DEN,W (+5),1,33:11,.829,.833,3.8,6.7,5.4,0.0,1.5,0.0,0.0,29.8,159,114,29.4,20.5
3,3,2024-10-27,31-155,LAC,@,GSW,W (+8),1,28:05,.613,.600,0.0,3.6,1.8,0.0,0.0,3.8,5.8,25.1,115,109,10.7,-0.3
4,4,2024-10-30,31-158,LAC,,POR,L (-1),1,35:03,.643,.614,0.0,14.3,7.1,10.6,1.4,0.0,4.1,29.8,127,113,21.5,7.6
5,5,2024-10-31,31-159,LAC,,PHO,L (-6),1,30:38,.526,.524,0.0,7.6,3.6,10.1,1.6,0.0,8.4,32.2,104,132,12.1,-3.9
6,6,2024-11-02,31-161,LAC,,OKC,L (-13),1,31:53,.783,.750,0.0,7.0,3.3,16.3,3.0,0.0,20.7,25.9,114,106,17.4,8.4
7,7,2024-11-04,31-163,LAC,,SAS,W (+9),1,34:03,.669,.633,0.0,3.5,1.6,13.6,4.6,0.0,5.5,23.7,139,112,18.9,9.3
8,8,2024-11-06,31-165,LAC,,PHI,W (+12),1,34:43,1.105,1.100,0.0,4.5,2.3,27.7,1.5,0.0,20.3,20.5,168,114,23.1,13.8
9,9,2024-11-08,31-167,LAC,@,SAC,W (+9),1,39:18,.594,.543,5.8,29.8,17.7,10.3,1.3,0.0,10.3,31.7,117,101,21.5,5.9
10,10,2024-11-09,31-168,LAC,,TOR,W (+2),1,35:03,.668,.607,0.0,7.9,4.5,16.2,1.4,2.4,14.3,27.6,119,108,17.1,4.0
11,11,2024-11-11,31-170,LAC,@,OKC,L (-6),1,36:41,.837,.833,0.0,6.4,3.4,16.9,3.9,0.0,13.9,24.1,151,130,24.7,8.8
12,12,2024-11-13,31-172,LAC,@,HOU,L (-8),1,33:25,.352,.333,0.0,14.4,7.1,14.0,1.4,0.0,14.0,26.8,68,113,2.4,-12.0
13,13,2024-11-15,31-174,LAC,@,HOU,L (-21),1,29:11,.337,.318,0.0,7.0,3.3,5.7,0.0,0.0,0.0,16.3,80,127,2.4,-8.8
14,14,2024-11-17,31-176,LAC,,UTA,W (+11),1,34:50,.506,.471,0.0,7.7,3.4,11.0,1.5,0.0,5.1,24.6,110,117,11.4,-3.9
15,15,2024-11-18,31-177,LAC,,GSW,W (+3),1,25:43,.767,.767,0.0,3.9,2.1,0.0,1.8,0.0,21.1,32.3,95,103,13.4,4.8
