Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,31-130,SAC,,MIN,L (-2),0,5:40,1,1,1.000,0,0,,1,2,.500,0,2,2,0,0,1,1,1,3,2.2,0
2,2,2024-10-26,31-132,SAC,@,LAL,L (-4),0,9:17,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,1,2,1,0,-1.8,-9
3,3,2024-10-28,31-134,SAC,,POR,W (+13),0,7:06,0,1,.000,0,0,,0,0,,0,1,1,4,1,0,0,2,0,2.6,-5
4,4,2024-10-29,31-135,SAC,@,UTA,W (+17),0,5:16,1,1,1.000,0,0,,0,0,,0,4,4,0,0,0,0,0,2,2.9,-7
5,,2024-11-01,31-138,SAC,@,ATL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2024-11-02,31-139,SAC,@,TOR,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,5,2024-11-04,31-141,SAC,@,MIA,W (+1),0,10:03,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,1,1,1,0,0.6,-7
8,6,2024-11-06,31-143,SAC,,TOR,W (+15),0,14:25,1,1,1.000,0,0,,1,2,.500,0,6,6,0,0,4,1,1,3,5.5,-1
9,7,2024-11-08,31-145,SAC,,LAC,L (-9),0,8:49,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,1,0,0.5,-9
10,,2024-11-10,31-147,SAC,@,PHO,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,8,2024-11-11,31-148,SAC,@,SAS,L (-20),0,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
12,9,2024-11-13,31-150,SAC,,PHO,W (+23),0,4:46,2,2,1.000,0,0,,0,0,,1,1,2,1,0,0,0,1,4,4.7,+5
13,10,2024-11-15,31-152,SAC,,MIN,L (-4),1,8:33,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,2,2,0.5,-14
14,11,2024-11-16,31-153,SAC,,UTA,W (+4),0,12:54,4,5,.800,0,0,,0,0,,4,1,5,2,0,1,0,2,8,10.5,+4
15,12,2024-11-18,31-155,SAC,,ATL,L (-1),1,17:10,1,2,.500,0,1,.000,0,0,,1,2,3,1,0,3,1,2,2,3.3,-5
16,,2024-11-22,31-159,SAC,@,LAC,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,13,2024-11-24,31-161,SAC,,BRK,L (-5),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
18,14,2024-11-25,31-162,SAC,,OKC,L (-21),0,3:04,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
19,15,2024-11-27,31-164,SAC,@,MIN,W (+11),0,6:20,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,2.0,+2
20,,2024-11-29,31-166,SAC,@,POR,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,,2024-12-01,31-168,SAC,,SAS,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,16,2024-12-03,31-170,SAC,,HOU,W (+9),0,1:52,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-6
23,,2024-12-05,31-172,SAC,@,MEM,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,17,2024-12-06,31-173,SAC,@,SAS,W (+27),0,3:55,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7,0
25,18,2024-12-08,31-175,SAC,,UTA,W (+44),0,8:22,0,0,,0,0,,0,0,,1,0,1,3,0,0,0,1,0,2.4,+9
26,19,2024-12-12,31-179,SAC,@,NOP,W (+2),0,6:26,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,1,0,1.0,+4
27,20,2024-12-16,31-183,SAC,,DEN,L (-1),0,2:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1
28,21,2024-12-19,31-186,SAC,,LAL,L (-13),0,4:52,1,2,.500,0,0,,1,3,.333,1,0,1,1,0,1,0,0,3,3.3,+2
29,22,2024-12-21,31-188,SAC,,LAL,L (-4),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
30,,2024-12-22,31-189,SAC,,IND,L (-27),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,23,2024-12-26,31-193,SAC,,DET,L (-1),1,22:42,1,1,1.000,0,0,,2,2,1.000,1,5,6,4,0,2,1,3,4,7.9,-1
32,24,2024-12-28,31-195,SAC,@,LAL,L (-10),0,11:03,1,1,1.000,0,0,,1,2,.500,0,0,0,1,0,0,0,2,3,2.2,-8
33,25,2024-12-30,31-197,SAC,,DAL,W (+10),0,7:14,2,7,.286,0,0,,0,0,,5,3,8,0,0,0,0,1,4,3.9,0
34,26,2025-01-01,31-199,SAC,,PHI,W (+6),0,5:37,0,1,.000,0,0,,0,0,,1,0,1,2,1,0,0,1,0,2.0,-12
35,27,2025-01-03,31-201,SAC,,MEM,W (+5),0,9:54,2,2,1.000,0,0,,0,0,,1,0,1,0,1,1,0,1,4,5.4,-1
36,28,2025-01-05,31-203,SAC,@,GSW,W (+30),0,9:36,1,1,1.000,0,0,,0,0,,1,1,2,1,0,1,0,0,2,4.1,-11
37,29,2025-01-06,31-204,SAC,,MIA,W (+5),0,2:24,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-0.4,+2
38,,2025-01-10,31-208,SAC,@,BOS,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,,2025-01-12,31-210,SAC,@,CHI,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,30,2025-01-14,31-212,SAC,@,MIL,L (-15),0,9:16,1,2,.500,0,0,,0,0,,1,1,2,1,1,2,1,2,2,3.3,+2
41,,2025-01-16,31-214,SAC,,HOU,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,31,2025-01-19,31-217,SAC,,WAS,W (+23),0,16:23,1,1,1.000,1,1,1.000,1,2,.500,3,1,4,2,2,0,0,2,4,8.3,+4
43,32,2025-01-22,31-220,SAC,,GSW,W (+6),0,6:26,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,2,0,0.2,+2
44,,2025-01-23,31-221,SAC,@,DEN,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,33,2025-01-25,31-223,SAC,@,NYK,L (-23),0,3:13,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-2
46,34,2025-01-27,31-225,SAC,@,BRK,W (+14),0,4:38,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-0.7,-14
47,35,2025-01-29,31-227,SAC,@,PHI,L (-13),0,4:19,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-8
48,,2025-02-01,31-230,SAC,@,OKC,L (-34),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,,2025-02-03,31-232,SAC,@,MIN,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,36,2025-02-05,31-234,SAC,,ORL,L (-19),0,2:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
51,,2025-02-06,31-235,SAC,@,POR,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2025-02-07,31-236,WAS,,CLE,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2025-02-08,31-237,WAS,,ATL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,37,2025-02-12,31-241,LAL,@,UTA,L (-12),0,21:52,2,5,.400,0,0,,0,0,,2,5,7,2,0,1,0,3,4,5.1,-9
55,38,2025-02-19,31-248,LAL,,CHO,L (-3),0,10:05,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+8
