Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-22,25-051,LAL,,MIN,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2024-10-25,25-054,LAL,,PHO,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-26,25-055,LAL,,SAC,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2024-10-28,25-057,LAL,@,PHO,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,1,2024-10-30,25-059,LAL,@,CLE,L (-24),0,9:13,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,+1
6,,2024-11-01,25-061,LAL,@,TOR,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2,2024-11-04,25-064,LAL,@,DET,L (-12),0,14:01,0,0,,0,0,,0,0,,0,5,5,0,1,0,0,2,0,1.7,+10
8,3,2024-11-06,25-066,LAL,@,MEM,L (-17),0,25:56,5,7,.714,2,2,1.000,3,4,.750,2,4,6,2,2,0,0,3,15,16.5,0
9,4,2024-11-08,25-068,LAL,,PHI,W (+10),1,27:49,1,1,1.000,1,1,1.000,0,0,,0,5,5,2,1,1,1,1,3,5.9,-6
10,5,2024-11-10,25-070,LAL,,TOR,W (+20),1,28:40,5,7,.714,1,3,.333,0,0,,1,1,2,1,1,0,0,2,11,10.0,+7
11,6,2024-11-13,25-073,LAL,,MEM,W (+5),1,22:32,1,1,1.000,1,1,1.000,1,4,.250,1,1,2,0,2,1,1,1,4,4.8,-12
12,7,2024-11-15,25-075,LAL,@,SAS,W (+5),1,18:58,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,3,0,-3.3,-16
13,,2024-11-16,25-076,LAL,@,NOP,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
14,8,2024-11-19,25-079,LAL,,UTA,W (+6),1,25:13,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,2,2,0,1,4,7.3,-2
15,9,2024-11-21,25-081,LAL,,ORL,L (-1),1,20:49,3,4,.750,2,2,1.000,0,0,,2,6,8,0,0,0,0,2,8,8.8,+1
16,10,2024-11-23,25-083,LAL,,DEN,L (-25),1,19:53,2,3,.667,2,3,.667,0,0,,0,0,0,0,2,0,1,2,6,4.9,-23
