Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-22,24-124,LAL,,MIN,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2024-10-25,24-127,LAL,,PHO,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-26,24-128,LAL,,SAC,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2024-10-28,24-130,LAL,@,PHO,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-10-30,24-132,LAL,@,CLE,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2024-11-01,24-134,LAL,@,TOR,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2024-11-04,24-137,LAL,@,DET,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,1,2024-11-06,24-139,LAL,@,MEM,L (-17),0,13:20,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,0,1,2,2.3,-4
9,2,2024-11-08,24-141,LAL,,PHI,W (+10),0,1:28,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-4
10,,2024-11-10,24-143,LAL,,TOR,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,3,2024-11-13,24-146,LAL,,MEM,W (+5),0,12:43,2,2,1.000,0,0,,0,0,,0,1,1,0,1,0,2,1,4,2.3,+6
12,4,2024-11-15,24-148,LAL,@,SAS,W (+5),0,9:51,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.2,-6
13,5,2024-11-16,24-149,LAL,@,NOP,W (+5),0,10:46,3,4,.750,0,1,.000,0,0,,4,2,6,1,1,1,0,1,6,9.8,+3
14,6,2024-11-19,24-152,LAL,,UTA,W (+6),0,14:08,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,1,1,2,1.6,+2
15,7,2024-11-21,24-154,LAL,,ORL,L (-1),0,10:14,0,0,,0,0,,2,2,1.000,0,1,1,1,0,1,1,1,2,2.3,-1
16,8,2024-11-23,24-156,LAL,,DEN,L (-25),0,10:20,0,0,,0,0,,0,0,,0,3,3,0,1,1,0,1,0,2.2,+8
17,9,2024-11-26,24-159,LAL,@,PHO,L (-27),0,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
18,10,2024-11-27,24-160,LAL,@,SAS,W (+18),0,7:52,2,3,.667,0,0,,0,0,,1,0,1,0,1,0,0,2,4,3.6,+4
19,,2024-11-29,24-162,LAL,,OKC,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,11,2024-12-01,24-164,LAL,@,UTA,W (+1),0,9:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5
21,12,2024-12-02,24-165,LAL,@,MIN,L (-29),0,7:41,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,0.2,-4
22,13,2024-12-04,24-167,LAL,@,MIA,L (-41),0,13:20,2,3,.667,0,0,,0,0,,3,1,4,0,0,0,0,2,4,4.3,-12
23,,2024-12-06,24-169,LAL,@,ATL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,14,2024-12-08,24-171,LAL,,POR,W (+9),0,15:51,1,3,.333,0,0,,0,0,,3,3,6,1,0,0,0,3,2,2.8,+5
25,15,2024-12-13,24-176,LAL,@,MIN,L (-10),0,11:46,0,0,,0,0,,0,0,,0,6,6,0,1,2,0,2,0,3.4,+12
26,16,2024-12-15,24-178,LAL,,MEM,W (+6),0,11:55,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,-0.2,-11
