Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,28-130,LAL,,MIN,W (+7),0,17:13,1,2,.500,0,0,,0,0,,0,2,2,2,0,0,2,1,2,0.6,-2
2,2,2024-10-25,28-133,LAL,,PHO,W (+7),0,20:35,2,5,.400,1,3,.333,0,0,,1,1,2,0,3,0,0,4,5,4.7,+9
3,3,2024-10-26,28-134,LAL,,SAC,W (+4),0,12:37,1,6,.167,0,4,.000,0,0,,0,0,0,0,1,0,0,1,2,-1.2,-5
4,4,2024-10-28,28-136,LAL,@,PHO,L (-4),0,19:17,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,-5
5,5,2024-10-30,28-138,LAL,@,CLE,L (-24),0,16:09,2,5,.400,1,3,.333,0,0,,0,0,0,0,0,0,1,0,5,1.3,-10
6,6,2024-11-01,28-140,LAL,@,TOR,W (+6),0,20:32,1,6,.167,0,4,.000,0,0,,1,2,3,2,0,0,0,4,2,-0.7,-4
7,7,2024-11-04,28-143,LAL,@,DET,L (-12),0,17:46,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,-5
8,8,2024-11-06,28-145,LAL,@,MEM,L (-17),0,23:21,2,8,.250,1,6,.167,1,2,.500,0,1,1,1,0,0,2,1,6,-0.6,-15
9,9,2024-11-08,28-147,LAL,,PHI,W (+10),0,15:40,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,3,2,-0.2,+4
10,10,2024-11-10,28-149,LAL,,TOR,W (+20),0,18:29,2,5,.400,1,3,.333,0,0,,0,1,1,0,1,0,1,1,5,2.2,+13
11,11,2024-11-13,28-152,LAL,,MEM,W (+5),0,12:37,0,6,.000,0,4,.000,0,0,,0,0,0,0,0,0,0,2,0,-5.0,+6
12,12,2024-11-15,28-154,LAL,@,SAS,W (+5),0,19:34,2,4,.500,1,2,.500,1,2,.500,1,1,2,0,3,0,0,1,6,7.2,+13
13,13,2024-11-16,28-155,LAL,@,NOP,W (+5),0,21:38,0,2,.000,0,2,.000,0,0,,1,1,2,2,0,0,0,1,0,0.6,-9
14,14,2024-11-19,28-158,LAL,,UTA,W (+6),0,18:43,1,3,.333,1,2,.500,0,0,,0,2,2,1,1,0,0,3,3,2.4,+8
15,15,2024-11-21,28-160,LAL,,ORL,L (-1),0,14:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,+6
16,16,2024-11-23,28-162,LAL,,DEN,L (-25),0,13:46,3,5,.600,1,3,.333,0,0,,0,0,0,1,0,0,1,3,7,3.2,+3
17,17,2024-11-26,28-165,LAL,@,PHO,L (-27),0,14:06,1,4,.250,1,4,.250,0,0,,0,2,2,1,0,1,0,0,3,2.6,+4
18,18,2024-11-27,28-166,LAL,@,SAS,W (+18),0,5:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1
19,19,2024-11-29,28-168,LAL,,OKC,L (-8),0,14:34,1,1,1.000,0,0,,0,2,.000,1,0,1,0,0,0,0,2,2,0.8,-7
20,20,2024-12-01,28-170,LAL,@,UTA,W (+1),1,31:30,4,5,.800,2,3,.667,0,0,,0,3,3,2,1,0,0,3,10,10.2,-8
21,21,2024-12-02,28-171,LAL,@,MIN,L (-29),0,22:28,2,5,.400,1,4,.250,0,0,,0,1,1,0,2,0,0,2,5,3.8,-20
22,22,2024-12-04,28-173,LAL,@,MIA,L (-41),0,24:18,3,11,.273,1,5,.200,2,2,1.000,1,1,2,3,3,0,1,1,9,7.2,-11
23,23,2024-12-06,28-175,LAL,@,ATL,L (-2),1,34:22,5,11,.455,2,4,.500,0,0,,0,1,1,5,2,1,0,5,12,10.8,+4
24,24,2024-12-08,28-177,LAL,,POR,W (+9),1,24:51,1,4,.250,1,2,.500,0,0,,1,0,1,0,3,0,2,4,3,0.7,+16
25,25,2024-12-13,28-182,LAL,@,MIN,L (-10),1,24:39,2,7,.286,2,4,.500,0,0,,1,1,2,2,1,1,3,4,6,1.4,-5
26,26,2024-12-15,28-184,LAL,,MEM,W (+6),0,13:57,1,3,.333,1,3,.333,0,0,,0,2,2,0,1,2,1,1,3,2.9,-3
27,27,2024-12-19,28-188,LAL,@,SAC,W (+13),0,22:26,4,5,.800,4,5,.800,0,0,,2,3,5,3,0,0,0,4,12,12.9,+4
28,28,2024-12-21,28-190,LAL,@,SAC,W (+4),0,15:55,2,3,.667,2,3,.667,0,0,,0,0,0,0,1,0,0,2,6,4.9,-4
29,29,2024-12-23,28-192,LAL,,DET,L (-3),0,18:48,3,5,.600,3,5,.600,0,0,,0,2,2,1,0,0,2,1,9,5.6,-22
