Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2025-02-08,26-108,LAL,,IND,W (+7),0,24:48,4,7,.571,1,2,.500,1,1,1.000,2,2,4,1,0,0,2,3,10,6.2,+1
2,2,2025-02-10,26-110,LAL,,UTA,W (+19),0,21:40,8,11,.727,1,2,.500,0,0,,3,5,8,1,2,0,0,1,17,18.4,0
3,3,2025-02-12,26-112,LAL,@,UTA,L (-12),0,17:20,1,4,.250,1,3,.333,0,0,,1,3,4,2,1,0,0,3,3,3.4,-3
4,,2025-02-19,26-119,LAL,,CHO,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4,2025-02-20,26-120,LAL,@,POR,W (+8),0,20:07,0,1,.000,0,1,.000,0,0,,1,4,5,1,0,0,1,2,0,0.1,-8
6,5,2025-02-22,26-122,LAL,@,DEN,W (+23),0,11:25,2,3,.667,1,2,.500,0,0,,1,0,1,0,2,1,0,0,5,7.1,+6
7,6,2025-02-25,26-125,LAL,,DAL,W (+8),0,5:57,0,2,.000,0,1,.000,1,2,.500,1,1,2,0,0,1,1,0,1,-0.1,-2
8,7,2025-02-27,26-127,LAL,,MIN,W (+9),0,12:33,3,5,.600,1,2,.500,0,0,,0,1,1,1,2,0,1,1,7,6.3,+8
9,8,2025-02-28,26-128,LAL,,LAC,W (+4),0,21:19,3,7,.429,0,3,.000,0,0,,3,2,5,2,3,0,1,2,6,7.6,+14
10,,2025-03-02,26-130,LAL,,LAC,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2025-03-04,26-132,LAL,,NOP,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2025-03-06,26-134,LAL,,NYK,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,9,2025-03-08,26-136,LAL,@,BOS,L (-10),0,15:45,2,6,.333,2,3,.667,0,0,,2,1,3,0,1,0,2,0,6,3.3,+6
