Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,25-239,DAL,,SAS,W (+11),1,36:16,9,25,.360,4,11,.364,6,8,.750,1,9,10,8,1,1,4,3,28,18.8,+6
2,2,2024-10-26,25-241,DAL,@,PHO,L (-12),1,39:24,12,25,.480,5,13,.385,11,12,.917,1,9,10,4,0,1,2,4,40,30.2,-12
3,3,2024-10-28,25-243,DAL,,UTA,W (+8),1,33:12,5,22,.227,1,9,.111,4,6,.667,0,9,9,8,2,1,2,5,15,7.8,+5
4,4,2024-10-29,25-244,DAL,@,MIN,W (+6),1,40:09,10,27,.370,1,8,.125,3,4,.750,1,7,8,8,1,0,3,2,24,14.3,+3
5,5,2024-10-31,25-246,DAL,,HOU,L (-6),1,37:31,12,25,.480,3,7,.429,2,4,.500,0,5,5,2,1,0,1,5,29,16.4,-2
6,6,2024-11-03,25-249,DAL,,ORL,W (+23),1,31:43,11,22,.500,5,13,.385,5,7,.714,1,8,9,7,0,0,4,3,32,23.0,+21
7,7,2024-11-04,25-250,DAL,,IND,L (-7),1,42:21,9,24,.375,4,10,.400,12,15,.800,0,7,7,15,2,0,2,3,34,31.0,-3
8,8,2024-11-06,25-252,DAL,,CHI,W (+20),1,32:19,8,19,.421,3,8,.375,8,9,.889,0,7,7,13,4,0,5,3,27,25.5,+35
9,9,2024-11-08,25-254,DAL,,PHO,L (-1),1,42:11,11,25,.440,5,12,.417,3,3,1.000,0,7,7,7,1,0,3,3,30,20.7,-4
10,10,2024-11-10,25-256,DAL,@,DEN,L (-2),1,40:51,9,19,.474,2,8,.250,4,6,.667,1,8,9,9,1,1,5,2,24,18.8,+5
11,11,2024-11-12,25-258,DAL,@,GSW,L (-3),1,41:05,13,27,.481,2,10,.200,3,3,1.000,0,8,8,6,3,0,5,2,31,21.1,+2
12,12,2024-11-14,25-260,DAL,@,UTA,L (-2),1,38:04,13,25,.520,4,13,.308,7,7,1.000,1,6,7,9,1,0,3,0,37,31.5,-8
