Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,28-027,BRK,@,ATL,L (-4),0,6:20,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+8
2,2,2024-10-25,28-029,BRK,@,ORL,L (-15),0,16:35,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,3,3,2.5,-12
3,3,2024-10-27,28-031,BRK,,MIL,W (+13),0,1:58,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-4
4,4,2024-10-29,28-033,BRK,,DEN,L (-5),0,16:33,1,5,.200,1,5,.200,0,0,,0,1,1,2,1,0,0,2,3,1.8,+8
5,5,2024-10-30,28-034,BRK,@,MEM,W (+13),0,1:07,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
6,,2024-11-01,28-036,BRK,,CHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6,2024-11-03,28-038,BRK,,DET,L (-14),0,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
8,7,2024-11-04,28-039,BRK,,MEM,W (+2),0,11:32,1,2,.500,1,2,.500,2,2,1.000,2,2,4,0,0,0,1,0,5,5.0,-14
9,,2024-11-08,28-043,BRK,@,BOS,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,8,2024-11-09,28-044,BRK,@,CLE,L (-5),0,17:48,1,3,.333,1,3,.333,0,0,,0,0,0,1,1,0,0,2,3,2.2,-16
11,,2024-11-11,28-046,BRK,@,NOP,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,9,2024-11-13,28-048,BRK,,BOS,L (-25),0,24:29,3,5,.600,2,3,.667,0,0,,0,0,0,8,0,0,1,0,8,10.3,-16
13,10,2024-11-15,28-050,BRK,@,NYK,L (-2),0,5:30,1,3,.333,0,1,.000,0,0,,2,0,2,0,0,0,0,2,2,0.9,-12
14,11,2024-11-17,28-052,BRK,@,NYK,L (-10),0,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
15,12,2024-11-19,28-054,BRK,,CHO,W (+1),0,18:21,3,5,.600,1,2,.500,0,1,.000,1,0,1,3,0,0,0,0,7,7.1,-9
16,,2024-11-22,28-057,BRK,@,PHI,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,13,2024-11-24,28-059,BRK,@,SAC,W (+5),0,21:02,4,6,.667,2,4,.500,0,0,,0,2,2,3,1,0,1,1,10,9.7,+10
18,14,2024-11-25,28-060,BRK,@,GSW,W (+8),0,28:29,5,10,.500,2,3,.667,1,2,.500,0,3,3,3,0,0,1,1,13,9.2,+11
19,15,2024-11-27,28-062,BRK,@,PHO,W (+10),0,21:13,1,2,.500,0,1,.000,0,0,,0,1,1,5,1,0,0,2,2,5.0,+4
20,16,2024-11-29,28-064,BRK,,ORL,L (-23),0,34:22,7,13,.538,2,4,.500,6,7,.857,1,1,2,4,1,0,3,1,22,16.7,-8
21,17,2024-12-01,28-066,BRK,,ORL,L (-8),0,19:32,2,4,.500,1,3,.333,1,2,.500,0,2,2,0,0,0,1,2,6,2.4,+2
22,18,2024-12-02,28-067,BRK,@,CHI,L (-26),0,34:41,6,17,.353,2,4,.500,0,0,,3,3,6,5,1,1,3,1,14,9.3,-16
23,19,2024-12-04,28-069,BRK,,IND,W (+9),0,28:13,6,11,.545,1,4,.250,2,3,.667,0,3,3,4,2,0,0,4,15,13.4,+21
24,20,2024-12-08,28-073,BRK,,MIL,L (-5),0,15:59,2,4,.500,2,4,.500,0,0,,0,1,1,0,0,0,2,2,6,1.5,-9
25,21,2024-12-13,28-078,BRK,@,MEM,L (-16),0,16:28,4,8,.500,0,3,.000,4,5,.800,2,2,4,3,2,0,0,1,12,13.3,+7
26,22,2024-12-16,28-081,BRK,,CLE,L (-29),0,17:11,2,9,.222,1,2,.500,0,0,,2,3,5,1,0,0,1,6,5,-0.9,-13
27,23,2024-12-19,28-084,BRK,@,TOR,W (+7),0,29:21,5,10,.500,0,4,.000,2,2,1.000,1,2,3,2,0,0,1,1,12,8.3,+10
28,24,2024-12-21,28-086,BRK,,UTA,L (-11),0,25:34,5,10,.500,1,4,.250,0,0,,1,1,2,2,1,0,0,5,11,7.4,-7
29,25,2024-12-23,28-088,BRK,@,MIA,L (-15),0,19:14,1,8,.125,0,2,.000,2,2,1.000,0,2,2,3,2,0,2,3,4,0.3,-16
30,26,2024-12-26,28-091,BRK,@,MIL,W (+6),0,22:54,7,10,.700,4,6,.667,2,3,.667,1,1,2,0,1,0,2,1,20,15.0,-6
31,27,2024-12-27,28-092,BRK,,SAS,L (-9),1,34:18,5,9,.556,3,6,.500,3,4,.750,0,3,3,12,1,0,1,3,16,19.4,+7
32,,2024-12-29,28-094,BRK,@,ORL,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,28,2024-12-31,28-096,LAL,,CLE,L (-12),0,10:05,2,4,.500,2,4,.500,0,0,,0,2,2,0,0,0,0,1,6,4.2,-9
34,29,2025-01-02,28-098,LAL,,POR,W (+8),0,16:19,2,5,.400,0,3,.000,0,0,,0,3,3,0,0,0,0,0,4,2.2,+2
35,30,2025-01-03,28-099,LAL,,ATL,W (+17),0,13:29,0,3,.000,0,2,.000,2,2,1.000,0,4,4,4,0,1,1,1,2,3.2,+1
36,31,2025-01-05,28-101,LAL,@,HOU,L (-4),0,4:58,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,2,0,1,-0.7,-16
37,,2025-01-07,28-103,LAL,@,DAL,L (-21),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,,2025-01-13,28-109,LAL,,SAS,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,32,2025-01-15,28-111,LAL,,MIA,W (+9),0,5:41,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-8
40,33,2025-01-17,28-113,LAL,,BRK,W (+1),0,7:26,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+3
41,,2025-01-19,28-115,LAL,@,LAC,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,,2025-01-21,28-117,LAL,,WAS,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,34,2025-01-23,28-119,LAL,,BOS,W (+21),0,3:26,0,0,,0,0,,2,2,1.000,0,0,0,3,0,0,1,0,2,3.1,-5
44,,2025-01-25,28-121,LAL,@,GSW,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,35,2025-01-27,28-123,LAL,@,CHO,W (+5),0,12:05,0,2,.000,0,0,,0,0,,1,1,2,1,0,0,0,3,0,-0.9,-6
46,36,2025-01-28,28-124,LAL,@,PHI,L (-14),0,6:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3
47,37,2025-01-30,28-126,LAL,@,WAS,W (+38),0,27:55,7,8,.875,1,2,.500,6,6,1.000,1,3,4,4,2,0,0,2,21,23.8,+25
48,,2025-02-01,28-128,LAL,@,NYK,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,38,2025-02-04,28-131,LAL,@,LAC,W (+25),0,19:56,2,3,.667,0,1,.000,0,0,,1,1,2,3,0,0,4,2,4,1.0,+12
50,39,2025-02-06,28-133,LAL,,GSW,W (+8),0,15:13,1,3,.333,0,0,,0,0,,0,3,3,2,1,1,1,1,2,2.9,+8
51,40,2025-02-08,28-135,LAL,,IND,W (+7),0,15:11,1,4,.250,0,1,.000,0,1,.000,0,3,3,4,0,0,0,2,2,2.1,-4
52,41,2025-02-10,28-137,LAL,,UTA,W (+19),0,7:47,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,1.6,-14
53,42,2025-02-12,28-139,LAL,@,UTA,L (-12),0,12:16,3,5,.600,1,2,.500,2,2,1.000,3,1,4,1,0,0,2,0,9,7.8,+5
54,,2025-02-19,28-146,LAL,,CHO,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,43,2025-02-20,28-147,LAL,@,POR,W (+8),0,4:34,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,0
56,44,2025-02-22,28-149,LAL,@,DEN,W (+23),0,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,+1
