Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-23,25-038,MEM,@,UTA,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2024-10-25,25-040,MEM,@,HOU,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1,2024-10-26,25-041,MEM,,ORL,W (+13),1,22:33,4,10,.400,0,2,.000,5,9,.556,1,3,4,1,1,0,1,3,13,7.1,+26
4,2,2024-10-28,25-043,MEM,,CHI,L (-3),1,24:28,9,16,.563,1,4,.250,0,2,.000,2,4,6,1,1,3,2,3,19,13.8,+15
5,3,2024-10-30,25-045,MEM,,BRK,L (-13),1,28:18,10,12,.833,3,3,1.000,7,10,.700,0,4,4,0,3,0,2,4,30,25.0,-1
6,4,2024-10-31,25-046,MEM,,MIL,W (+23),1,26:09,5,12,.417,0,4,.000,3,3,1.000,0,5,5,2,0,0,3,4,13,4.9,+4
7,5,2024-11-02,25-048,MEM,@,PHI,W (+17),1,31:00,11,16,.688,2,3,.667,3,4,.750,2,4,6,0,3,2,0,3,27,25.6,+10
8,6,2024-11-04,25-050,MEM,@,BRK,L (-2),1,32:26,5,11,.455,3,5,.600,2,2,1.000,2,3,5,1,1,2,3,4,15,10.1,-8
9,7,2024-11-06,25-052,MEM,,LAL,W (+17),1,32:06,8,13,.615,1,4,.250,3,3,1.000,1,5,6,1,0,3,1,2,20,17.3,+22
10,8,2024-11-08,25-054,MEM,,WAS,W (+24),1,28:20,14,28,.500,5,12,.417,6,7,.857,2,4,6,1,1,1,3,4,39,25.0,+19
