Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,26-059,MEM,@,UTA,W (+2),0,22:27,4,6,.667,3,5,.600,2,2,1.000,1,4,5,1,0,2,0,2,13,13.6,+2
2,2,2024-10-25,26-061,MEM,@,HOU,L (-20),0,15:33,3,7,.429,2,4,.500,0,0,,1,2,3,1,2,2,0,2,8,8.9,-12
3,3,2024-10-26,26-062,MEM,,ORL,W (+13),0,19:08,7,9,.778,3,5,.600,1,1,1.000,0,2,2,0,0,1,0,1,18,15.4,+4
4,4,2024-10-28,26-064,MEM,,CHI,L (-3),0,18:12,3,5,.600,2,3,.667,2,2,1.000,0,2,2,1,0,2,1,2,10,8.6,-1
5,5,2024-10-30,26-066,MEM,,BRK,L (-13),0,9:51,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,1,1,4,1.3,-12
6,6,2024-10-31,26-067,MEM,,MIL,W (+23),0,16:35,1,4,.250,0,2,.000,2,2,1.000,0,2,2,1,0,1,1,4,4,1.0,+3
7,7,2024-11-02,26-069,MEM,@,PHI,W (+17),0,14:11,7,10,.700,5,7,.714,1,1,1.000,1,4,5,1,0,1,0,1,20,18.7,+5
8,8,2024-11-04,26-071,MEM,@,BRK,L (-2),0,8:29,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,1,0,0,2,2.7,-7
9,9,2024-11-06,26-073,MEM,,LAL,W (+17),0,13:59,4,7,.571,3,6,.500,0,0,,1,2,3,4,0,1,2,0,11,10.5,-1
10,10,2024-11-08,26-075,MEM,,WAS,W (+24),0,14:13,3,6,.500,1,4,.250,5,5,1.000,1,3,4,0,1,4,0,0,12,14.4,0
11,11,2024-11-10,26-077,MEM,@,POR,W (+45),0,19:40,4,8,.500,2,6,.333,2,2,1.000,0,2,2,0,0,6,1,2,12,11.0,+9
12,12,2024-11-13,26-080,MEM,@,LAL,L (-5),1,12:51,3,8,.375,0,4,.000,0,2,.000,1,2,3,0,1,1,0,0,6,3.8,-16
13,13,2024-11-15,26-082,MEM,@,GSW,L (-5),0,6:06,1,3,.333,0,1,.000,0,0,,1,1,2,1,0,1,0,0,2,2.7,-4
14,14,2024-11-17,26-084,MEM,,DEN,W (+15),0,11:50,4,5,.800,2,3,.667,0,0,,0,1,1,1,0,1,1,0,10,8.8,-5
15,15,2024-11-19,26-086,MEM,,DEN,L (-12),0,12:39,2,5,.400,1,3,.333,1,2,.500,1,0,1,0,0,0,0,3,6,2.4,0
16,16,2024-11-20,26-087,MEM,,PHI,W (+6),0,14:15,3,7,.429,2,6,.333,0,0,,0,0,0,2,0,1,2,1,8,4.0,+16
17,17,2024-11-23,26-090,MEM,@,CHI,W (+11),0,19:05,5,6,.833,3,3,1.000,1,2,.500,1,4,5,1,1,1,0,1,14,15.3,+5
18,18,2024-11-25,26-092,MEM,,POR,W (+25),0,19:32,4,9,.444,2,4,.500,2,4,.500,0,4,4,0,1,1,1,2,12,7.6,+8
19,19,2024-11-27,26-094,MEM,,DET,W (+20),0,22:21,3,7,.429,2,5,.400,5,6,.833,0,2,2,3,0,1,1,5,13,9.3,+9
20,20,2024-11-29,26-096,MEM,,NOP,W (+11),0,16:36,3,7,.429,1,4,.250,0,2,.000,1,0,1,0,0,1,1,1,7,2.5,+1
21,21,2024-12-01,26-098,MEM,,IND,W (+15),0,6:22,0,2,.000,0,2,.000,0,0,,1,1,2,0,0,0,1,0,0,-1.4,-7
22,22,2024-12-03,26-100,MEM,@,DAL,L (-5),0,16:13,3,6,.500,2,5,.400,0,0,,0,1,1,0,1,0,0,2,8,5.5,+4
23,23,2024-12-05,26-102,MEM,,SAC,W (+5),0,20:04,4,9,.444,2,6,.333,1,2,.500,0,4,4,1,0,2,1,4,11,6.6,+30
24,24,2024-12-07,26-104,MEM,@,BOS,W (+6),0,18:16,2,3,.667,2,3,.667,4,4,1.000,1,8,9,2,0,1,1,4,10,11.3,+6
25,25,2024-12-08,26-105,MEM,@,WAS,W (+28),0,23:46,6,14,.429,3,11,.273,2,2,1.000,1,2,3,1,0,0,1,3,17,9.4,+3
26,26,2024-12-13,26-110,MEM,,BRK,W (+16),0,12:04,3,6,.500,0,1,.000,0,0,,2,2,4,1,0,0,0,4,6,4.1,-5
27,27,2024-12-15,26-112,MEM,@,LAL,L (-6),0,6:09,1,3,.333,1,2,.500,0,0,,1,2,3,0,1,0,1,2,3,1.8,-8
28,,2024-12-19,26-116,MEM,,GSW,W (+51),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2024-12-21,26-118,MEM,@,ATL,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2024-12-23,26-120,MEM,,LAC,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2024-12-26,26-123,MEM,,TOR,W (+29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,28,2024-12-27,26-124,MEM,@,NOP,W (+8),0,12:40,2,4,.500,1,3,.333,2,2,1.000,0,2,2,0,0,0,0,2,7,4.8,-15
33,29,2024-12-29,26-126,MEM,@,OKC,L (-24),0,17:01,7,11,.636,3,6,.500,0,0,,1,0,1,2,0,0,3,1,17,10.8,-16
34,30,2024-12-31,26-128,MEM,@,PHO,W (+5),0,18:37,3,7,.429,2,5,.400,0,0,,0,2,2,0,0,1,0,2,8,4.8,-4
35,31,2025-01-03,26-131,MEM,@,SAC,L (-5),0,3:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-3
36,32,2025-01-04,26-132,MEM,@,GSW,L (-8),0,15:19,3,4,.750,3,4,.750,0,0,,0,2,2,0,0,3,1,3,9,7.9,0
37,33,2025-01-06,26-134,MEM,,DAL,W (+15),0,27:38,4,7,.571,3,6,.500,0,0,,0,1,1,1,2,0,2,1,11,8.3,+18
38,34,2025-01-09,26-137,MEM,,HOU,L (-4),0,10:04,2,3,.667,0,1,.000,4,4,1.000,0,2,2,1,0,0,2,3,8,4.8,-11
39,35,2025-01-11,26-139,MEM,@,MIN,W (+2),0,7:41,0,3,.000,0,3,.000,0,0,,1,1,2,0,1,1,1,0,0,-0.4,-6
40,,2025-01-13,26-141,MEM,@,HOU,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,36,2025-01-15,26-143,MEM,@,SAS,W (+14),0,10:51,4,6,.667,3,5,.600,0,0,,0,1,1,0,0,1,0,1,11,9.0,-1
42,37,2025-01-17,26-145,MEM,@,SAS,W (+28),0,10:26,2,3,.667,0,1,.000,0,1,.000,2,1,3,1,0,0,0,1,4,4.3,-8
43,38,2025-01-20,26-148,MEM,,MIN,W (+2),0,3:12,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,1,0,0,-0.7,-1
44,39,2025-01-22,26-150,MEM,,CHO,W (+12),0,6:48,5,8,.625,3,6,.500,0,0,,0,2,2,0,0,0,0,1,13,9.6,-5
45,40,2025-01-24,26-152,MEM,,NOP,W (+13),0,3:05,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,1,0,0,-0.7,-2
46,41,2025-01-25,26-153,MEM,,UTA,W (+22),0,2:40,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1
47,42,2025-01-27,26-155,MEM,@,NYK,L (-37),0,3:58,1,2,.500,1,2,.500,0,0,,1,0,1,1,0,0,0,0,3,3.4,-3
48,,2025-01-30,26-158,MEM,,HOU,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,,2025-02-02,26-161,MEM,@,MIL,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,43,2025-02-03,26-162,MEM,,SAS,W (+19),0,0:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
51,44,2025-02-05,26-164,MEM,@,TOR,W (+31),0,3:40,1,2,.500,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,2.7,+3
52,45,2025-02-08,26-167,MEM,,OKC,L (-13),0,0:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
53,,2025-02-11,26-170,MEM,@,PHO,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,46,2025-02-12,26-171,MEM,@,LAC,L (-14),0,4:49,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,0,0,0.7,+4
55,47,2025-02-20,26-179,MEM,@,IND,L (-14),0,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
56,,2025-02-21,26-180,MEM,@,ORL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,,2025-02-23,26-182,MEM,@,CLE,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,,2025-02-25,26-184,MEM,,PHO,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,,2025-02-28,26-187,MEM,,NYK,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,48,2025-03-01,26-188,MEM,,SAS,L (-2),0,3:22,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-15
61,,2025-03-03,26-190,MEM,,ATL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,49,2025-03-05,26-192,MEM,,OKC,L (-17),0,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
63,,2025-03-07,26-194,MEM,@,DAL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,50,2025-03-09,26-196,MEM,@,NOP,W (+3),0,14:21,3,7,.429,2,6,.333,0,0,,1,3,4,2,1,1,0,2,8,8.2,+14
