Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,21-058,MEM,@,UTA,W (+2),0,23:27,2,6,.333,2,5,.400,0,2,.000,0,0,0,1,1,0,0,5,6,1.5,+10
2,2,2024-10-25,21-060,MEM,@,HOU,L (-20),0,21:07,3,14,.214,1,5,.200,1,2,.500,2,2,4,0,0,0,0,1,8,0.6,-4
3,3,2024-10-26,21-061,MEM,,ORL,W (+13),0,17:34,2,6,.333,1,1,1.000,2,2,1.000,1,1,2,2,0,0,0,0,7,6.0,-18
4,4,2024-10-28,21-063,MEM,,CHI,L (-3),0,17:25,5,12,.417,1,4,.250,0,0,,2,4,6,2,1,0,1,3,11,7.4,-8
5,5,2024-10-30,21-065,MEM,,BRK,L (-13),0,22:58,3,7,.429,2,6,.333,1,2,.500,0,1,1,4,0,1,4,1,9,4.3,-10
6,6,2024-10-31,21-066,MEM,,MIL,W (+23),1,35:37,5,9,.556,3,6,.500,3,3,1.000,1,6,7,1,0,0,1,2,16,13.1,+7
7,7,2024-11-02,21-068,MEM,@,PHI,W (+17),1,36:14,6,11,.545,2,4,.500,1,1,1.000,2,3,5,2,0,0,1,3,15,11.2,+13
8,8,2024-11-04,21-070,MEM,@,BRK,L (-2),1,33:01,3,12,.250,0,5,.000,0,0,,1,4,5,3,0,1,1,2,6,1.7,+1
9,9,2024-11-06,21-072,MEM,,LAL,W (+17),1,28:02,7,10,.700,5,7,.714,1,2,.500,0,3,3,1,1,0,1,0,20,17.0,+8
10,10,2024-11-08,21-074,MEM,,WAS,W (+24),1,24:51,4,10,.400,1,4,.250,2,3,.667,0,0,0,1,1,1,2,3,11,4.4,+24
11,11,2024-11-10,21-076,MEM,@,POR,W (+45),1,23:46,5,9,.556,2,4,.500,4,4,1.000,0,3,3,1,0,0,0,0,16,13.3,+28
12,12,2024-11-13,21-079,MEM,@,LAL,L (-5),1,27:16,4,8,.500,0,3,.000,1,1,1.000,0,3,3,2,0,0,2,2,9,4.5,+1
13,13,2024-11-15,21-081,MEM,@,GSW,L (-5),1,27:13,5,10,.500,2,6,.333,4,5,.800,3,1,4,2,0,0,1,1,16,13.0,+6
14,14,2024-11-17,21-083,MEM,,DEN,W (+15),1,26:01,6,15,.400,2,5,.400,1,1,1.000,0,1,1,0,0,1,0,1,15,7.5,-3
15,15,2024-11-19,21-085,MEM,,DEN,L (-12),1,19:18,3,9,.333,1,3,.333,1,2,.500,2,1,3,2,1,1,2,1,8,4.9,-13
16,16,2024-11-20,21-086,MEM,,PHI,W (+6),1,29:24,5,8,.625,2,4,.500,2,2,1.000,0,2,2,1,1,0,3,0,14,9.7,+2
