Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-23,33-095,MIA,,ORL,L (-19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2024-10-26,33-098,MIA,@,CHO,W (+8),0,24:53,3,4,.750,3,4,.750,0,0,,0,2,2,0,0,1,0,0,9,8.7,+7
3,2,2024-10-28,33-100,MIA,,DET,W (+8),0,8:45,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,1.0,+4
4,,2024-10-30,33-102,MIA,,NYK,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3,2024-11-02,33-105,MIA,@,WAS,W (+20),0,28:57,5,8,.625,5,7,.714,0,0,,2,1,3,3,1,0,1,1,15,14.8,+6
6,4,2024-11-04,33-107,MIA,,SAC,L (-1),0,12:42,0,3,.000,0,1,.000,2,2,1.000,0,0,0,0,1,0,0,0,2,0.9,+7
7,5,2024-11-06,33-109,MIA,@,PHO,L (-3),0,16:01,2,4,.500,1,2,.500,0,0,,0,2,2,4,1,0,0,1,5,7.0,-15
8,,2024-11-08,33-111,MIA,@,DEN,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2024-11-10,33-113,MIA,@,MIN,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2024-11-12,33-115,MIA,@,DET,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2024-11-15,33-118,MIA,@,IND,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,2024-11-17,33-120,MIA,@,IND,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,6,2024-11-18,33-121,MIA,,PHI,W (+17),0,18:32,3,8,.375,1,6,.167,0,0,,1,5,6,3,0,0,0,0,7,6.9,+27
14,7,2024-11-24,33-127,MIA,,DAL,W (+5),0,30:43,5,9,.556,4,8,.500,1,2,.500,0,2,2,3,1,1,0,1,15,14.3,+11
15,8,2024-11-26,33-129,MIA,,MIL,L (-3),0,13:22,1,3,.333,0,0,,0,0,,0,1,1,0,0,1,0,1,2,0.9,+2
16,9,2024-11-27,33-130,MIA,@,CHO,W (+4),0,6:00,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,1,1,2,1.6,+2
17,10,2024-11-29,33-132,MIA,,TOR,W (+10),0,6:34,0,2,.000,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,1.2,-4
18,11,2024-12-01,33-134,MIA,@,TOR,L (-3),0,6:21,1,2,.500,1,2,.500,1,2,.500,0,1,1,1,2,0,0,0,4,5.6,+11
19,12,2024-12-02,33-135,MIA,@,BOS,L (-19),0,7:56,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1
20,,2024-12-04,33-137,MIA,,LAL,W (+41),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,,2024-12-07,33-140,MIA,,PHO,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,,2024-12-08,33-141,MIA,,CLE,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
