Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,29-243,GSW,@,POR,W (+36),1,23:04,8,15,.533,4,7,.571,0,0,,2,2,4,2,0,0,1,2,20,14.3,+9
2,2,2024-10-25,29-245,GSW,@,UTA,W (+41),1,23:22,3,10,.300,2,4,.500,2,2,1.000,5,8,13,5,0,2,1,4,10,12.4,+17
3,3,2024-10-27,29-247,GSW,,LAC,L (-8),1,29:08,11,15,.733,5,8,.625,2,3,.667,0,3,3,0,1,1,1,2,29,23.3,-3
4,,2024-10-29,29-249,GSW,,NOP,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2024-10-30,29-250,GSW,,NOP,W (+15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,4,2024-11-02,29-253,GSW,@,HOU,W (+6),1,31:20,3,9,.333,2,4,.500,7,10,.700,1,2,3,2,1,0,2,0,15,10.4,-3
7,5,2024-11-04,29-255,GSW,@,WAS,W (+13),1,17:59,1,9,.111,0,6,.000,3,4,.750,1,3,4,2,0,2,0,3,5,1.9,+5
8,6,2024-11-06,29-257,GSW,@,BOS,W (+6),1,31:13,6,14,.429,0,3,.000,4,6,.667,0,2,2,0,0,0,2,1,16,6.0,+8
9,7,2024-11-08,29-259,GSW,@,CLE,L (-19),1,20:49,4,9,.444,1,3,.333,2,2,1.000,1,0,1,2,1,0,1,0,11,8.4,-23
10,8,2024-11-10,29-261,GSW,@,OKC,W (+11),1,35:11,6,14,.429,2,4,.500,4,6,.667,5,3,8,5,3,1,0,3,18,20.2,+21
11,9,2024-11-12,29-263,GSW,,DAL,W (+3),1,33:43,3,8,.375,0,3,.000,2,4,.500,1,2,3,4,2,1,1,4,8,7.0,+16
12,10,2024-11-15,29-266,GSW,,MEM,W (+5),1,20:47,5,14,.357,1,4,.250,2,2,1.000,1,1,2,1,1,1,0,2,13,7.8,+4
13,11,2024-11-18,29-269,GSW,@,LAC,L (-3),1,28:55,7,12,.583,2,4,.500,6,8,.750,2,1,3,0,0,1,1,0,22,17.0,-5
14,12,2024-11-20,29-271,GSW,,ATL,W (+23),1,30:01,12,17,.706,3,6,.500,0,0,,2,5,7,4,0,2,0,1,27,26.6,+27
