Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,27-097,MIA,,ORL,L (-19),1,25:31,1,5,.200,0,2,.000,7,10,.700,3,2,5,1,0,0,0,1,9,7.7,-30
2,2,2024-10-26,27-100,MIA,@,CHO,W (+8),1,32:37,6,17,.353,0,2,.000,0,1,.000,4,7,11,3,1,1,1,1,12,9.4,0
3,3,2024-10-28,27-102,MIA,,DET,W (+8),1,34:46,5,9,.556,0,2,.000,2,4,.500,1,9,10,4,3,3,1,1,12,16.8,-3
4,4,2024-10-30,27-104,MIA,,NYK,L (-9),1,32:53,3,7,.429,0,2,.000,5,6,.833,1,2,3,4,1,0,1,3,11,9.8,-9
5,5,2024-11-02,27-107,MIA,@,WAS,W (+20),1,30:58,12,24,.500,3,5,.600,5,6,.833,5,9,14,2,1,1,1,3,32,26.7,+25
6,6,2024-11-04,27-109,MIA,,SAC,L (-1),1,35:57,7,15,.467,0,1,.000,2,5,.400,3,5,8,5,3,4,0,1,16,19.6,-3
7,7,2024-11-06,27-111,MIA,@,PHO,L (-3),1,34:25,5,21,.238,0,1,.000,2,2,1.000,7,5,12,6,5,1,1,2,12,13.8,0
8,8,2024-11-08,27-113,MIA,@,DEN,L (-13),1,38:42,7,18,.389,1,5,.200,5,6,.833,2,7,9,4,2,0,3,3,20,13.9,-9
9,9,2024-11-10,27-115,MIA,@,MIN,W (+1),1,38:56,3,11,.273,0,2,.000,3,6,.500,0,7,7,7,1,3,4,2,9,6.6,+12
10,10,2024-11-12,27-117,MIA,@,DET,L (-2),1,43:33,8,13,.615,1,1,1.000,3,5,.600,6,6,12,3,0,1,1,1,20,20.7,+1
11,11,2024-11-15,27-120,MIA,@,IND,W (+13),1,38:45,10,17,.588,2,3,.667,8,9,.889,1,10,11,7,5,0,2,2,30,32.5,+22
12,12,2024-11-17,27-122,MIA,@,IND,L (-9),1,39:41,9,18,.500,2,4,.500,4,5,.800,6,2,8,2,0,0,2,1,24,18.4,-9
13,13,2024-11-18,27-123,MIA,,PHI,W (+17),1,31:39,2,8,.250,1,2,.500,0,0,,0,13,13,3,2,1,3,4,5,4.3,+11
14,14,2024-11-24,27-129,MIA,,DAL,W (+5),1,37:33,8,20,.400,3,6,.500,0,0,,3,8,11,5,0,0,2,2,19,13.4,+4
15,15,2024-11-26,27-131,MIA,,MIL,L (-3),1,31:26,6,9,.667,1,2,.500,3,4,.750,1,4,5,5,1,0,1,5,16,15.1,-14
16,16,2024-11-27,27-132,MIA,@,CHO,W (+4),1,36:03,3,8,.375,0,2,.000,2,2,1.000,1,9,10,10,2,0,3,1,8,12.6,+5
17,17,2024-11-29,27-134,MIA,,TOR,W (+10),1,34:36,6,16,.375,2,6,.333,0,1,.000,2,8,10,10,3,0,1,2,14,16.8,0
18,18,2024-12-01,27-136,MIA,@,TOR,L (-3),1,38:36,5,13,.385,1,2,.500,2,2,1.000,4,16,20,7,1,0,5,3,13,13.2,+15
19,19,2024-12-02,27-137,MIA,@,BOS,L (-19),1,33:22,6,18,.333,1,4,.250,2,2,1.000,2,6,8,5,1,0,3,1,15,9.1,-17
20,20,2024-12-04,27-139,MIA,,LAL,W (+41),1,24:36,6,8,.750,0,1,.000,2,3,.667,0,10,10,7,1,1,2,1,14,17.6,+22
21,21,2024-12-07,27-142,MIA,,PHO,W (+10),1,34:13,9,16,.563,1,4,.250,6,8,.750,4,8,12,8,1,0,4,3,25,23.2,+22
22,22,2024-12-08,27-143,MIA,,CLE,W (+9),1,36:02,7,14,.500,2,4,.500,0,0,,1,12,13,6,0,1,1,2,16,16.4,+20
