Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,26-048,TOR,,CLE,L (-30),0,24:33,4,10,.400,0,3,.000,0,0,,0,0,0,3,2,0,5,0,8,1.7,-20
2,2,2024-10-25,26-050,TOR,,PHI,W (+8),1,19:18,3,5,.600,2,4,.500,0,0,,0,3,3,3,0,0,3,6,8,3.3,+5
3,3,2024-10-26,26-051,TOR,@,MIN,L (-11),1,28:48,0,5,.000,0,1,.000,0,0,,0,2,2,8,1,1,0,2,0,3.6,-12
4,4,2024-10-28,26-053,TOR,,DEN,L (-2),1,35:17,5,10,.500,3,6,.500,3,4,.750,1,1,2,6,0,1,4,3,16,11.3,0
5,5,2024-10-30,26-055,TOR,@,CHO,L (-5),1,28:26,5,11,.455,0,5,.000,1,2,.500,1,1,2,11,0,0,2,4,11,10.0,-5
6,6,2024-11-01,26-057,TOR,,LAL,L (-6),1,30:56,4,9,.444,2,6,.333,0,0,,0,3,3,5,0,2,3,4,10,6.5,-2
7,7,2024-11-02,26-058,TOR,,SAC,W (+3),1,37:05,2,6,.333,0,2,.000,0,0,,0,4,4,7,5,0,5,4,4,5.1,0
8,8,2024-11-04,26-060,TOR,@,DEN,L (-2),1,30:26,5,11,.455,2,7,.286,1,1,1.000,0,1,1,8,1,0,0,2,13,13.4,-1
9,9,2024-11-06,26-062,TOR,@,SAC,L (-15),1,32:22,8,11,.727,2,3,.667,2,2,1.000,1,2,3,6,1,0,1,2,20,20.2,-14
10,10,2024-11-09,26-065,TOR,@,LAC,L (-2),0,21:56,2,9,.222,1,5,.200,2,4,.500,2,2,4,4,0,0,0,2,7,4.7,+2
11,11,2024-11-10,26-066,TOR,@,LAL,L (-20),0,18:32,1,5,.200,0,3,.000,0,0,,2,2,4,5,0,0,1,4,2,1.8,-7
12,12,2024-11-12,26-068,TOR,@,MIL,L (-14),1,33:10,0,2,.000,0,0,,1,2,.500,0,4,4,8,1,0,3,1,1,3.6,+1
13,13,2024-11-15,26-071,TOR,,DET,L (-4),1,32:49,2,9,.222,1,2,.500,0,0,,1,5,6,5,3,0,2,1,5,5.8,+9
14,14,2024-11-16,26-072,TOR,@,BOS,L (-3),1,32:15,4,5,.800,1,2,.500,1,1,1.000,1,2,3,5,1,0,0,4,10,12.3,0
