Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-23,36-046,MIA,,ORL,L (-19),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
2,,2024-10-26,36-049,MIA,@,CHO,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-28,36-051,MIA,,DET,W (+8),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
4,,2024-10-30,36-053,MIA,,NYK,L (-9),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
5,,2024-11-02,36-056,MIA,@,WAS,W (+20),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
6,,2024-11-04,36-058,MIA,,SAC,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2024-11-06,36-060,MIA,@,PHO,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2024-11-08,36-062,MIA,@,DEN,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,1,2024-11-10,36-064,MIA,@,MIN,W (+1),1,13:03,2,7,.286,1,4,.250,1,1,1.000,2,4,6,2,2,0,0,0,6,7.9,+10
10,2,2024-11-12,36-066,MIA,@,DET,L (-2),1,9:44,1,4,.250,1,4,.250,0,0,,0,2,2,0,0,0,0,0,3,1.2,-6
11,3,2024-11-15,36-069,MIA,@,IND,W (+13),1,12:17,6,8,.750,3,4,.750,0,0,,1,6,7,2,4,0,0,2,15,18.9,+16
12,4,2024-11-17,36-071,MIA,@,IND,L (-9),1,11:42,3,6,.500,2,3,.667,0,0,,0,6,6,0,0,0,1,0,8,5.8,-12
13,5,2024-11-18,36-072,MIA,,PHI,W (+17),0,15:19,1,6,.167,1,3,.333,0,0,,1,6,7,1,2,0,1,0,3,3.4,+6
14,6,2024-11-24,36-078,MIA,,DAL,W (+5),0,18:42,3,10,.300,3,7,.429,0,2,.000,2,9,11,1,1,1,2,2,9,6.1,+10
15,7,2024-11-26,36-080,MIA,,MIL,L (-3),0,6:57,0,5,.000,0,2,.000,2,2,1.000,1,3,4,0,1,0,0,0,2,1.1,0
16,,2024-11-27,36-081,MIA,@,CHO,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,8,2024-11-29,36-083,MIA,,TOR,W (+10),0,13:24,3,6,.500,2,4,.500,0,0,,0,2,2,2,2,0,2,0,8,7.0,+10
18,9,2024-12-01,36-085,MIA,@,TOR,L (-3),0,9:36,1,5,.200,0,2,.000,3,4,.750,4,1,5,1,0,0,0,4,5,3.7,-17
19,,2024-12-02,36-086,MIA,@,BOS,L (-19),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
20,10,2024-12-04,36-088,MIA,,LAL,W (+41),0,14:40,4,7,.571,2,5,.400,0,0,,1,3,4,5,1,1,1,2,10,11.7,+11
21,11,2024-12-07,36-091,MIA,,PHO,W (+10),0,13:47,3,10,.300,2,6,.333,3,4,.750,1,3,4,2,0,0,1,0,11,6.8,-12
22,12,2024-12-08,36-092,MIA,,CLE,W (+9),0,4:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-11
23,13,2024-12-12,36-096,MIA,,TOR,W (+10),0,8:48,2,4,.500,1,2,.500,1,2,.500,1,2,3,1,0,0,1,1,6,4.2,+3
24,14,2024-12-16,36-100,MIA,@,DET,L (-1),0,12:19,2,5,.400,0,2,.000,0,0,,0,5,5,1,0,0,2,2,4,0.7,+9
25,15,2024-12-20,36-104,MIA,,OKC,L (-7),0,3:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-8
26,,2024-12-21,36-105,MIA,@,ORL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2024-12-23,36-107,MIA,,BRK,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,,2024-12-26,36-110,MIA,@,ORL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,,2024-12-28,36-112,MIA,@,ATL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,16,2024-12-29,36-113,MIA,@,HOU,W (+4),1,14:00,1,7,.143,0,1,.000,3,4,.750,3,3,6,1,0,0,1,1,5,2.4,-13
31,,2025-01-01,36-116,MIA,,NOP,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,,2025-01-02,36-117,MIA,,IND,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,,2025-01-04,36-119,MIA,,UTA,L (-36),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,,2025-01-06,36-121,MIA,@,SAC,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
