Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,30-220,MIA,,ORL,L (-19),1,32:03,5,15,.333,2,7,.286,7,7,1.000,0,6,6,5,0,2,3,0,19,14.2,-14
2,2,2024-10-26,30-223,MIA,@,CHO,W (+8),1,31:36,7,12,.583,3,6,.500,2,2,1.000,0,5,5,3,0,0,2,3,19,13.8,+5
3,3,2024-10-28,30-225,MIA,,DET,W (+8),1,33:15,7,16,.438,5,12,.417,1,1,1.000,0,5,5,3,1,0,2,3,20,13.0,-7
4,4,2024-10-30,30-227,MIA,,NYK,L (-9),1,34:43,5,14,.357,4,8,.500,2,2,1.000,0,4,4,7,2,0,2,2,16,13.5,-5
5,5,2024-11-02,30-230,MIA,@,WAS,W (+20),1,31:20,4,13,.308,3,7,.429,1,2,.500,1,2,3,4,0,0,0,0,12,8.2,+29
6,6,2024-11-04,30-232,MIA,,SAC,L (-1),1,30:04,3,6,.500,3,6,.500,1,2,.500,0,5,5,4,0,0,2,2,10,8.1,+6
7,7,2024-11-06,30-234,MIA,@,PHO,L (-3),1,31:56,2,10,.200,1,7,.143,2,2,1.000,1,6,7,5,1,0,2,1,7,5.4,+10
8,8,2024-11-08,30-236,MIA,@,DEN,L (-13),1,34:45,6,13,.462,2,3,.667,1,1,1.000,2,1,3,4,1,0,1,1,15,12.4,-22
9,9,2024-11-10,30-238,MIA,@,MIN,W (+1),1,31:46,4,8,.500,0,2,.000,3,3,1.000,0,4,4,1,3,1,3,3,11,8.4,-5
10,10,2024-11-12,30-240,MIA,@,DET,L (-2),1,39:31,3,14,.214,0,5,.000,1,1,1.000,0,2,2,5,1,1,3,2,7,0.4,-2
11,11,2024-11-15,30-243,MIA,@,IND,W (+13),1,23:11,4,9,.444,1,4,.250,1,2,.500,0,2,2,2,1,1,2,1,10,6.2,+11
12,12,2024-11-17,30-245,MIA,@,IND,L (-9),1,27:17,4,12,.333,0,5,.000,1,1,1.000,4,0,4,1,0,0,0,2,9,4.9,-15
13,,2024-11-18,30-246,MIA,,PHI,W (+17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
