Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,25-026,MIL,@,PHI,W (+15),0,4:04,,,0.0,0.0,0.0,27.4,11.9,0.0,,0.0,237,94,1.7,16.3
2,2,2024-10-25,25-028,MIL,,CHI,L (-11),0,11:15,1.125,1.125,0.0,8.9,4.6,12.9,0.0,0.0,0.0,14.3,211,129,8.0,15.1
3,3,2024-10-27,25-030,MIL,@,BRK,L (-13),0,12:52,.512,.375,0.0,0.0,0.0,12.7,0.0,0.0,17.0,20.8,94,127,2.3,-6.4
4,4,2024-10-28,25-031,MIL,@,BOS,L (-11),0,2:44,.750,.750,0.0,45.0,21.7,0.0,0.0,0.0,0.0,31.2,132,119,2.3,18.8
5,5,2024-10-31,25-034,MIL,@,MEM,L (-23),0,4:44,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0,125,-0.7,-15.8
6,,2024-11-02,25-036,MIL,,CLE,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6,2024-11-04,25-038,MIL,@,CLE,L (-2),0,33:58,1.167,1.167,0.0,18.0,9.6,4.4,0.0,0.0,10.0,13.1,190,121,19.0,11.5
8,7,2024-11-07,25-041,MIL,,UTA,W (+23),0,18:25,1.000,1.000,0.0,0.0,0.0,16.0,2.7,0.0,14.3,16.9,167,110,10.8,14.3
9,8,2024-11-08,25-042,MIL,@,NYK,L (-22),0,24:58,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,146,132,4.4,-2.5
10,9,2024-11-10,25-044,MIL,,BOS,L (-6),0,26:57,1.000,1.000,0.0,12.1,6.4,0.0,5.5,0.0,0.0,10.4,181,111,12.9,10.4
11,10,2024-11-12,25-046,MIL,,TOR,W (+14),1,30:07,.429,.429,6.5,9.2,7.9,15.1,3.2,0.0,6.7,20.6,97,91,8.4,-0.7
12,11,2024-11-13,25-047,MIL,,DET,W (+7),1,20:47,.300,.300,0.0,10.4,5.5,6.0,0.0,0.0,28.6,15.1,51,121,-0.8,-15.6
13,12,2024-11-16,25-050,MIL,@,CHO,L (-1),0,12:37,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,97,132,0.2,-15.0
14,13,2024-11-18,25-052,MIL,,HOU,W (+1),0,28:52,.417,.417,0.0,15.1,8.7,9.6,0.0,0.0,0.0,9.3,95,105,3.3,-4.5
15,14,2024-11-20,25-054,MIL,,CHI,W (+16),0,27:25,.911,.944,4.6,4.4,4.5,5.2,3.6,4.1,0.0,16.4,174,104,17.3,13.4
