Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,22-345,MIL,@,PHI,W (+15),0,1:06,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,0.0,-6.6
2,,2024-10-25,22-347,MIL,,CHI,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2024-10-27,22-349,MIL,@,BRK,L (-13),0,3:26,,,0.0,0.0,0.0,42.4,28.6,0.0,,0.0,230,59,2.3,33.3
4,3,2024-10-28,22-350,MIL,@,BOS,L (-11),0,8:31,.667,.667,13.4,28.9,20.9,43.8,0.0,0.0,25.0,20.0,121,119,2.8,-1.1
5,4,2024-10-31,22-353,MIL,@,MEM,L (-23),0,18:47,.347,.500,4.4,28.4,13.6,6.6,4.9,4.7,41.0,10.9,57,107,1.5,-5.8
6,5,2024-11-02,22-355,MIL,,CLE,L (-1),0,15:28,.500,.500,0.0,6.9,3.4,7.8,0.0,0.0,50.0,17.1,55,125,-1.9,-14.6
7,6,2024-11-04,22-357,MIL,@,CLE,L (-2),0,24:55,.444,.429,4.7,24.6,15.3,10.1,0.0,3.6,20.2,17.7,87,117,5.1,-3.6
8,7,2024-11-07,22-360,MIL,,UTA,W (+23),1,28:19,.875,.875,0.0,13.4,6.4,17.9,7.1,0.0,0.0,6.3,193,95,11.5,10.1
9,8,2024-11-08,22-361,MIL,@,NYK,L (-22),1,17:32,.500,.500,0.0,0.0,0.0,8.2,0.0,6.1,25.0,10.4,82,129,1.3,-4.6
10,9,2024-11-10,22-363,MIL,,BOS,L (-6),1,22:35,.129,.000,5.4,9.7,7.7,10.9,0.0,0.0,43.6,14.2,43,125,-3.0,-17.2
11,10,2024-11-12,22-365,MIL,,TOR,W (+14),0,18:22,.500,.500,0.0,10.1,5.2,14.8,2.6,4.3,50.0,9.0,68,89,1.5,-6.6
12,11,2024-11-13,23-000,MIL,,DET,W (+7),0,30:31,.500,.500,0.0,7.1,3.8,8.4,1.6,0.0,20.0,7.4,95,118,2.4,-8.5
13,12,2024-11-16,23-003,MIL,@,CHO,L (-1),1,32:35,1.017,1.000,0.0,6.1,3.2,3.6,0.0,0.0,30.4,13.8,120,130,8.1,-4.7
14,13,2024-11-18,23-005,MIL,,HOU,W (+1),1,4:50,.000,.000,0.0,18.1,10.3,0.0,0.0,0.0,0.0,9.3,0,103,-0.8,-15.7
15,14,2024-11-20,23-007,MIL,,CHI,W (+16),1,13:51,.000,.000,27.4,8.7,17.8,7.9,0.0,0.0,50.0,13.1,68,115,-1.5,-18.0
16,15,2024-11-22,23-009,MIL,,IND,W (+12),1,20:12,.000,.000,11.3,19.8,15.8,5.0,4.6,4.2,28.6,14.2,35,103,-0.7,-12.6
17,16,2024-11-23,23-010,MIL,,CHO,W (+6),1,20:36,.625,.625,15.9,12.7,14.1,24.3,0.0,0.0,0.0,8.1,174,121,8.8,6.3
18,17,2024-11-26,23-013,MIL,@,MIA,W (+3),1,26:26,.750,.750,0.0,39.9,20.7,5.9,2.1,3.8,33.3,11.2,95,109,6.3,-3.4
19,18,2024-11-30,23-017,MIL,,WAS,W (+10),1,26:25,.143,.143,13.6,28.0,20.7,0.0,0.0,0.0,30.0,16.7,46,117,-2.8,-21.5
20,19,2024-12-03,23-020,MIL,@,DET,W (+21),1,19:27,.667,.667,0.0,0.0,0.0,6.6,2.5,0.0,0.0,13.8,133,112,5.9,-0.3
21,20,2024-12-04,23-021,MIL,,ATL,L (-15),1,11:12,.250,.250,0.0,9.1,4.6,0.0,0.0,0.0,33.3,23.1,32,121,-3.3,-25.9
22,21,2024-12-06,23-023,MIL,@,BOS,L (-6),1,12:24,.500,.500,0.0,8.4,4.2,10.7,4.2,0.0,50.0,14.0,58,114,0.2,-7.6
23,22,2024-12-08,23-025,MIL,@,BRK,W (+5),1,21:22,1.000,1.000,0.0,0.0,0.0,13.0,4.9,4.9,0.0,6.9,192,116,7.2,9.4
24,23,2024-12-10,23-027,MIL,,ORL,W (+5),1,8:09,.625,.625,16.4,12.5,14.2,0.0,0.0,0.0,0.0,22.7,126,115,3.2,-2.8
25,24,2024-12-14,23-031,MIL,,ATL,W (+8),1,25:22,.625,.625,13.2,15.8,14.6,21.5,3.7,0.0,20.0,8.5,137,98,8.5,4.4
26,25,2024-12-20,23-037,MIL,@,CLE,L (-23),1,15:24,.000,.000,6.4,7.1,6.7,7.8,0.0,0.0,16.7,16.6,23,129,-2.8,-20.4
27,26,2024-12-21,23-038,MIL,,WAS,W (+11),1,18:27,.500,.500,21.2,18.6,20.0,33.5,0.0,0.0,16.7,13.8,135,108,6.9,-1.0
28,27,2024-12-23,23-040,MIL,@,CHI,W (+21),1,23:10,.694,.750,4.7,16.3,10.9,5.5,0.0,0.0,0.0,5.6,157,95,4.8,-0.9
29,28,2024-12-26,23-043,MIL,,BRK,L (-6),1,23:01,.633,.600,5.6,10.4,8.1,12.0,0.0,0.0,13.7,13.7,125,117,6.6,-3.5
30,29,2024-12-28,23-045,MIL,@,CHI,L (-5),1,22:48,.000,.000,4.5,0.0,2.2,5.1,0.0,0.0,0.0,5.4,43,121,-0.7,-12.3
31,30,2024-12-31,23-048,MIL,@,IND,W (+8),1,11:51,.667,.667,0.0,17.2,8.0,0.0,0.0,0.0,0.0,10.2,131,107,2.1,-5.4
32,31,2025-01-02,23-050,MIL,,BRK,L (-3),1,13:31,1.000,1.000,7.1,7.6,7.3,0.0,0.0,0.0,50.0,6.1,101,121,0.9,-7.9
33,32,2025-01-04,23-052,MIL,,POR,L (-3),1,14:28,.750,.750,12.3,7.5,10.2,42.7,6.6,0.0,0.0,12.1,175,98,10.5,18.2
34,33,2025-01-06,23-054,MIL,@,TOR,W (+24),1,15:57,.833,.833,28.2,6.1,14.9,22.0,0.0,16.1,40.0,13.7,137,98,7.9,10.5
35,34,2025-01-08,23-056,MIL,,SAS,W (+16),1,11:27,.000,.000,19.1,0.0,8.1,0.0,0.0,0.0,0.0,3.7,112,118,0.7,-7.6
36,35,2025-01-10,23-058,MIL,@,ORL,W (+3),1,13:24,.000,.000,18.4,22.4,20.6,8.3,0.0,0.0,50.0,6.8,80,114,0.5,-9.3
37,36,2025-01-12,23-060,MIL,@,NYK,L (-34),1,10:35,.900,.900,25.2,0.0,15.5,0.0,0.0,9.6,0.0,19.6,182,142,8.7,15.0
38,37,2025-01-14,23-062,MIL,,SAC,W (+15),1,14:05,.500,.500,14.5,6.8,10.5,0.0,0.0,0.0,0.0,5.9,144,118,1.5,-8.1
39,38,2025-01-15,23-063,MIL,,ORL,W (+29),1,15:05,.000,.000,0.0,17.4,11.8,14.1,3.0,0.0,66.7,8.8,41,89,0.2,-4.1
40,,2025-01-17,23-065,MIL,,TOR,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,39,2025-01-19,23-067,MIL,,PHI,W (+14),1,19:42,.900,.900,0.0,15.9,8.5,14.7,2.5,0.0,0.0,11.4,178,107,9.6,7.4
42,40,2025-01-23,23-071,MIL,,MIA,W (+29),1,14:29,.500,.500,13.8,11.6,12.6,7.8,0.0,0.0,0.0,8.7,141,103,3.6,-1.8
43,41,2025-01-25,23-073,MIL,@,LAC,L (-10),1,10:51,.667,.667,0.0,18.1,9.9,15.7,0.0,0.0,25.0,16.5,99,127,2.2,-5.7
44,42,2025-01-27,23-075,MIL,@,UTA,W (+15),1,25:40,1.000,1.000,10.4,10.0,10.2,8.1,3.8,0.0,25.0,7.1,163,108,8.2,2.0
45,43,2025-01-28,23-076,MIL,@,POR,L (-13),1,26:07,1.160,1.167,8.4,20.9,14.6,23.9,1.9,0.0,43.6,11.9,142,126,11.7,5.9
46,44,2025-01-31,23-079,MIL,@,SAS,L (-26),1,14:57,.470,.500,5.6,22.4,12.8,0.0,3.2,6.2,11.8,22.3,88,132,4.8,-4.1
47,45,2025-02-02,23-081,MIL,,MEM,L (-13),1,14:06,.625,.625,7.2,20.4,14.0,9.2,0.0,0.0,20.0,15.1,109,128,3.1,-6.4
48,46,2025-02-03,23-082,MIL,@,OKC,L (-29),1,22:31,.563,.563,12.8,5.1,9.3,16.1,4.1,3.7,10.1,18.0,114,118,10.7,3.7
49,47,2025-02-05,23-084,MIL,@,CHO,W (+10),1,16:19,1.000,1.000,0.0,6.3,3.5,7.7,0.0,0.0,0.0,3.0,214,117,2.7,-4.2
50,48,2025-02-07,23-086,MIL,@,ATL,L (-5),1,15:48,.000,.000,12.7,12.9,12.8,14.8,0.0,0.0,0.0,2.8,142,119,2.7,-4.0
51,49,2025-02-09,23-088,MIL,,PHI,W (+8),1,16:10,.000,.000,5.6,7.1,6.3,6.5,0.0,0.0,50.0,4.7,60,130,-0.4,-11.8
52,50,2025-02-10,23-089,MIL,,GSW,L (-14),1,13:09,.400,.400,0.0,7.8,4.3,11.9,3.6,0.0,0.0,16.4,89,121,2.9,-2.2
53,51,2025-02-12,23-091,MIL,@,MIN,W (+2),1,18:40,.750,.750,10.3,4.5,7.2,9.0,0.0,0.0,14.3,16.7,130,106,6.6,0.1
54,,2025-02-20,23-099,MIL,,LAC,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,52,2025-02-21,23-100,MIL,@,WAS,W (+3),0,2:59,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0,111,-0.7,-21.7
56,53,2025-02-23,23-102,MIL,,MIA,W (+7),0,1:41,,,0.0,67.9,33.2,64.8,0.0,0.0,,0.0,232,107,1.0,22.2
57,54,2025-02-25,23-104,MIL,@,HOU,L (-3),0,0:02,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,0.0,-7.7
