Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,29-256,MIL,@,PHI,W (+15),0,25:51,.766,.750,4.6,6.8,5.9,18.6,3.7,2.8,27.7,24.9,112,106,12.3,2.0
2,2,2024-10-25,29-258,MIL,,CHI,L (-11),0,27:50,.500,.500,7.7,35.9,22.3,4.4,1.6,0.0,10.0,14.5,103,120,9.4,-2.9
3,3,2024-10-27,29-260,MIL,@,BRK,L (-13),0,26:51,.554,.536,8.5,29.8,19.9,17.5,0.0,3.9,0.0,24.4,120,115,14.9,4.4
4,4,2024-10-28,29-261,MIL,@,BOS,L (-11),0,19:17,.333,.333,5.9,31.9,18.4,0.0,0.0,6.2,40.0,22.1,45,115,-0.9,-15.5
5,5,2024-10-31,29-264,MIL,@,MEM,L (-23),0,24:56,.393,.393,16.6,10.7,14.3,0.0,1.9,0.0,6.7,25.3,88,120,6.5,-6.6
6,6,2024-11-02,29-266,MIL,,CLE,L (-1),0,20:10,.500,.500,5.3,37.0,21.2,0.0,0.0,0.0,16.7,26.3,85,117,5.0,-9.4
7,7,2024-11-04,29-268,MIL,@,CLE,L (-2),1,38:53,.480,.476,9.0,39.4,25.3,4.2,0.0,6.9,4.4,26.2,102,111,17.1,-3.6
8,8,2024-11-07,29-271,MIL,,UTA,W (+23),0,26:36,.582,.567,12.9,14.2,13.5,0.0,0.0,0.0,0.0,27.2,131,113,12.7,-2.8
9,9,2024-11-08,29-272,MIL,@,NYK,L (-22),0,16:54,.225,.125,12.6,19.4,16.0,8.6,0.0,0.0,10.1,26.7,63,125,0.0,-16.9
10,10,2024-11-10,29-274,MIL,,BOS,L (-6),0,23:16,.582,.542,5.3,28.1,17.4,0.0,2.1,0.0,0.0,25.7,117,115,11.7,-0.7
11,11,2024-11-12,29-276,MIL,,TOR,W (+14),0,18:00,.500,.500,16.3,25.6,21.1,0.0,0.0,0.0,5.6,41.3,99,89,10.9,-0.5
