Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,36-205,MIL,@,PHI,W (+15),1,35:32,.392,.318,3.4,17.2,11.4,20.8,0.0,12.1,23.9,21.0,86,104,8.7,-2.8
2,2,2024-10-25,36-207,MIL,,CHI,L (-11),1,29:24,.322,.250,0.0,13.6,7.0,3.8,0.0,10.0,15.5,17.7,62,121,1.6,-11.3
3,3,2024-10-27,36-209,MIL,@,BRK,L (-13),1,28:58,.833,.833,0.0,13.8,7.4,0.0,3.4,0.0,10.0,15.7,132,114,12.9,6.0
4,4,2024-10-28,36-210,MIL,@,BOS,L (-11),1,32:10,.424,.357,14.2,7.7,11.1,0.0,2.9,14.9,0.0,20.3,103,104,12.2,0.8
5,5,2024-10-31,36-213,MIL,@,MEM,L (-23),1,23:35,.676,.688,0.0,17.0,6.5,6.2,0.0,0.0,0.0,15.8,133,123,7.6,1.7
6,6,2024-11-02,36-215,MIL,,CLE,L (-1),1,34:32,.429,.429,6.2,12.4,9.3,6.9,0.0,5.2,30.0,12.8,81,120,3.5,-4.7
7,7,2024-11-04,36-217,MIL,@,CLE,L (-2),1,35:43,.542,.542,3.3,14.3,9.2,0.0,5.4,5.0,7.7,16.2,102,104,13.2,1.9
8,8,2024-11-07,36-220,MIL,,UTA,W (+23),1,32:21,.174,.000,3.5,15.6,9.3,6.9,3.1,4.1,41.0,6.7,61,103,2.4,-5.2
9,9,2024-11-08,36-221,MIL,@,NYK,L (-22),1,24:28,.595,.600,8.7,4.5,6.6,6.5,0.0,0.0,25.4,14.7,99,130,4.3,-6.3
10,10,2024-11-10,36-223,MIL,,BOS,L (-6),1,28:40,.500,.500,0.0,3.8,2.0,14.1,0.0,14.0,0.0,9.7,116,119,5.9,0.3
11,11,2024-11-12,36-225,MIL,,TOR,W (+14),1,36:51,.450,.429,5.3,12.5,9.0,12.4,2.6,6.4,0.0,16.2,109,87,12.7,1.5
12,12,2024-11-13,36-226,MIL,,DET,W (+7),1,40:23,.707,.676,9.2,13.4,11.4,0.0,3.7,10.6,8.9,25.0,132,103,26.8,8.8
13,13,2024-11-16,36-229,MIL,@,CHO,L (-1),1,30:26,.357,.357,0.0,9.9,5.1,3.6,1.7,3.1,12.5,11.9,68,122,1.6,-12.5
14,14,2024-11-18,36-231,MIL,,HOU,W (+1),1,39:39,.874,.900,3.0,19.8,12.6,4.9,3.6,7.1,0.0,17.4,164,90,30.0,20.3
15,15,2024-11-20,36-233,MIL,,CHI,W (+16),1,34:56,.815,.833,3.6,13.7,8.8,13.0,4.3,3.2,0.0,16.8,167,102,23.5,12.0
16,16,2024-11-22,36-235,MIL,,IND,W (+12),1,32:51,.619,.563,10.4,6.1,8.1,10.4,1.4,2.6,18.4,13.6,124,116,9.9,-2.4
17,17,2024-11-23,36-236,MIL,,CHO,W (+6),1,38:00,.658,.611,2.9,16.1,10.2,6.7,1.2,7.1,9.2,12.0,133,112,13.0,2.2
18,18,2024-11-26,36-239,MIL,@,MIA,W (+3),1,29:38,1.083,1.083,0.0,7.9,4.1,17.4,0.0,10.1,14.3,11.6,178,118,14.6,11.9
19,19,2024-11-30,36-243,MIL,,WAS,W (+10),1,34:56,.643,.643,0.0,0.0,0.0,12.0,0.0,7.5,6.7,18.9,119,117,13.0,0.5
20,20,2024-12-03,36-246,MIL,@,DET,W (+21),1,32:46,.460,.500,9.2,13.0,11.4,3.5,1.5,8.1,0.0,7.4,121,105,7.5,-0.7
21,21,2024-12-04,36-247,MIL,,ATL,L (-15),1,34:41,.500,.500,5.9,11.8,8.8,9.2,1.3,5.9,0.0,6.2,128,113,8.6,1.1
22,22,2024-12-06,36-249,MIL,@,BOS,L (-6),1,38:18,.417,.417,8.2,5.4,6.8,0.0,0.0,0.0,14.3,7.9,96,125,2.1,-7.6
