Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,25-279,MIL,@,PHI,W (+15),1,34:27,.751,.667,0.0,5.1,2.9,0.0,0.0,0.0,0.0,9.5,152,117,6.6,-5.4
2,2,2024-10-25,25-281,MIL,,CHI,L (-11),1,34:01,.563,.500,0.0,2.9,1.5,6.8,2.6,0.0,0.0,10.5,124,124,8.5,-2.1
3,3,2024-10-27,25-283,MIL,@,BRK,L (-13),1,27:54,.461,.375,0.0,0.0,0.0,11.6,0.0,0.0,17.0,19.2,85,127,1.6,-10.9
4,4,2024-10-28,25-284,MIL,@,BOS,L (-11),1,37:26,.563,.500,0.0,9.9,4.7,3.9,2.5,0.0,0.0,10.1,121,116,8.4,-0.1
5,5,2024-10-31,25-287,MIL,@,MEM,L (-23),1,18:09,.362,.333,0.0,14.7,5.6,0.0,2.5,0.0,0.0,28.8,74,118,3.4,-7.9
6,6,2024-11-02,25-289,MIL,,CLE,L (-1),1,34:01,.150,.150,0.0,3.1,1.6,3.4,1.5,0.0,23.1,16.9,31,123,-5.8,-17.8
7,7,2024-11-04,25-291,MIL,@,CLE,L (-2),1,20:52,.254,.143,0.0,9.8,5.2,5.8,0.0,0.0,11.3,19.0,56,121,-1.4,-18.3
8,8,2024-11-07,25-294,MIL,,UTA,W (+23),0,7:52,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,33.3,16.9,63,116,-0.8,-19.4
9,,2024-11-08,25-295,MIL,@,NYK,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2024-11-10,25-297,MIL,,BOS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,9,2024-11-12,25-299,MIL,,TOR,W (+14),0,5:57,.000,.000,0.0,15.5,8.0,0.0,0.0,0.0,0.0,13.9,0,95,-1.1,-21.4
12,10,2024-11-13,25-300,MIL,,DET,W (+7),0,34:19,.688,.688,0.0,12.6,6.7,11.9,2.9,0.0,0.0,10.5,146,114,11.9,2.1
13,11,2024-11-16,25-303,MIL,@,CHO,L (-1),0,17:50,.625,.625,0.0,0.0,0.0,7.4,8.5,0.0,0.0,20.3,122,112,9.7,7.6
14,12,2024-11-18,25-305,MIL,,HOU,W (+1),0,24:27,.750,.750,0.0,3.6,2.0,0.0,1.9,0.0,0.0,14.6,134,105,7.3,3.5
15,13,2024-11-20,25-307,MIL,,CHI,W (+16),0,28:30,.799,.750,4.4,21.1,13.0,0.0,0.0,0.0,0.0,11.0,164,114,9.0,-1.5
16,14,2024-11-22,25-309,MIL,,IND,W (+12),0,29:18,.900,.900,0.0,6.8,3.6,4.3,1.6,0.0,9.1,15.4,146,117,14.3,6.2
17,15,2024-11-23,25-310,MIL,,CHO,W (+6),0,29:16,1.000,1.000,3.7,6.0,5.0,9.9,0.0,0.0,20.0,14.3,155,124,12.3,3.6
18,16,2024-11-26,25-313,MIL,@,MIA,W (+3),0,23:31,.111,.111,5.4,5.0,5.2,0.0,7.1,0.0,0.0,18.8,36,110,-1.1,-17.6
19,17,2024-11-30,25-317,MIL,,WAS,W (+10),0,19:30,.333,.333,0.0,25.2,12.5,11.9,0.0,0.0,25.0,9.0,76,118,1.5,-10.8
20,18,2024-12-03,25-320,MIL,@,DET,W (+21),0,26:47,.621,.625,0.0,11.9,7.0,10.5,3.6,0.0,0.0,21.5,127,105,13.5,2.1
21,19,2024-12-04,25-321,MIL,,ATL,L (-15),0,31:23,.500,.500,0.0,9.8,4.9,5.7,0.0,0.0,0.0,15.1,99,120,5.3,-5.6
22,20,2024-12-06,25-323,MIL,@,BOS,L (-6),0,36:31,.917,.917,0.0,11.4,5.7,3.8,0.0,0.0,0.0,7.1,187,123,9.1,1.8
23,21,2024-12-08,25-325,MIL,@,BRK,W (+5),0,24:30,.820,.750,0.0,0.0,0.0,0.0,2.1,0.0,7.6,26.4,142,126,15.0,4.3
24,22,2024-12-10,25-327,MIL,,ORL,W (+5),0,24:27,.750,.750,0.0,0.0,0.0,10.3,2.0,0.0,0.0,7.6,151,116,5.2,0.3
25,23,2024-12-14,25-331,MIL,,ATL,W (+8),0,21:52,.085,.000,0.0,4.6,2.4,0.0,0.0,0.0,0.0,11.6,19,108,-3.4,-17.8
26,24,2024-12-20,25-337,MIL,@,CLE,L (-23),0,18:28,.735,.700,0.0,5.9,2.8,0.0,2.5,0.0,15.5,14.8,116,123,6.0,-1.7
27,25,2024-12-21,25-338,MIL,,WAS,W (+11),0,31:02,.469,.469,3.2,22.1,11.9,8.9,3.1,4.0,5.9,23.2,93,97,10.6,-4.4
28,26,2024-12-23,25-340,MIL,@,CHI,W (+21),0,16:39,.700,.700,6.6,17.0,12.1,0.0,2.9,0.0,0.0,26.8,130,89,10.8,11.0
29,27,2024-12-26,25-343,MIL,,BRK,L (-6),0,21:40,.700,.700,0.0,16.6,8.6,0.0,6.6,0.0,23.1,25.9,95,101,10.3,2.9
30,28,2024-12-28,25-345,MIL,@,CHI,L (-5),0,16:34,.438,.438,0.0,12.1,6.1,9.0,2.8,0.0,20.0,24.9,69,111,2.5,-9.6
31,29,2024-12-31,25-348,MIL,@,IND,W (+8),0,28:41,.778,.778,0.0,7.1,3.3,4.6,3.1,0.0,0.0,12.6,152,104,12.6,7.9
32,30,2025-01-02,25-350,MIL,,BRK,L (-3),0,21:02,.512,.375,4.6,4.9,4.7,0.0,2.3,0.0,9.3,21.1,106,117,5.4,-3.3
33,31,2025-01-04,25-352,MIL,,POR,L (-3),0,18:01,.500,.500,0.0,12.1,5.4,0.0,0.0,0.0,0.0,12.1,94,112,2.1,-8.6
34,32,2025-01-06,25-354,MIL,@,TOR,W (+24),0,23:56,.860,.833,0.0,12.3,7.4,5.7,5.9,0.0,9.2,19.9,145,95,15.5,7.9
35,33,2025-01-08,25-356,MIL,,SAS,W (+16),0,21:39,1.400,1.400,0.0,11.3,6.5,13.5,4.5,0.0,0.0,9.9,273,102,16.4,21.6
36,34,2025-01-10,25-358,MIL,@,ORL,W (+3),0,23:38,.500,.500,0.0,12.7,7.0,5.0,0.0,0.0,25.0,7.7,84,118,1.1,-8.6
37,,2025-01-12,25-360,MIL,@,NYK,L (-34),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2025-01-14,25-362,MIL,,SAC,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2025-01-15,25-363,MIL,,ORL,W (+29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,35,2025-01-17,25-365,MIL,,TOR,W (+18),0,24:47,.625,.625,0.0,12.6,6.7,5.7,3.9,0.0,0.0,13.7,132,108,8.8,2.6
41,36,2025-01-19,26-001,MIL,,PHI,W (+14),0,23:13,.429,.429,0.0,9.0,4.8,10.6,0.0,0.0,0.0,13.5,97,115,3.5,-6.5
42,37,2025-01-23,26-005,MIL,,MIA,W (+29),0,26:39,.955,.955,0.0,3.2,1.7,5.4,0.0,0.0,0.0,17.4,171,107,16.3,12.0
43,38,2025-01-25,26-007,MIL,@,LAC,L (-10),0,33:33,.864,.864,0.0,5.8,3.2,10.6,0.0,0.0,21.4,18.7,118,131,11.9,1.6
44,39,2025-01-27,26-009,MIL,@,UTA,W (+15),0,27:11,.405,.333,0.0,6.3,3.8,7.3,0.0,3.8,0.0,16.5,94,117,5.2,-7.0
45,40,2025-01-28,26-010,MIL,@,POR,L (-13),0,27:26,.500,.500,4.0,11.9,8.0,14.2,5.5,0.0,0.0,18.2,116,122,11.2,3.8
46,41,2025-01-31,26-013,MIL,@,SAS,L (-26),0,24:02,.143,.143,0.0,9.3,4.0,0.0,0.0,0.0,0.0,11.5,35,147,-2.3,-19.5
47,42,2025-02-02,26-015,MIL,,MEM,L (-13),0,16:14,.000,.000,0.0,23.7,12.2,13.4,0.0,0.0,0.0,10.5,37,127,-0.2,-14.0
48,43,2025-02-03,26-016,MIL,@,OKC,L (-29),0,20:30,.421,.409,0.0,5.6,2.5,9.1,0.0,0.0,0.0,23.7,87,130,4.5,-9.0
49,44,2025-02-05,26-018,MIL,@,CHO,W (+10),0,26:06,.813,.813,9.7,15.7,13.0,0.0,0.0,0.0,0.0,15.1,159,115,11.6,1.2
50,45,2025-02-07,26-020,MIL,@,ATL,L (-5),0,28:55,.792,.792,0.0,0.0,0.0,22.6,5.0,0.0,7.7,19.5,140,111,16.6,10.9
