Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,29-322,MIL,@,PHI,W (+15),1,31:12,.693,.727,3.8,36.4,22.7,35.1,0.0,2.3,14.3,30.1,133,101,23.3,7.9
2,2,2024-10-25,29-324,MIL,,CHI,L (-11),1,35:08,.632,.652,3.0,28.5,16.2,26.8,0.0,0.0,9.1,37.9,121,125,28.5,6.8
3,3,2024-10-27,29-326,MIL,@,BRK,L (-13),1,33:19,.694,.636,3.4,33.0,19.2,44.0,1.5,3.1,20.2,27.1,123,110,21.3,9.0
4,4,2024-10-28,29-327,MIL,@,BOS,L (-11),1,39:05,.524,.538,2.9,28.3,15.2,37.2,0.0,0.0,19.6,38.9,91,120,14.8,-2.6
5,5,2024-10-31,29-330,MIL,@,MEM,L (-23),1,33:31,.725,.773,2.5,39.8,16.8,34.4,1.4,2.7,3.8,33.2,138,115,32.0,20.1
6,6,2024-11-02,29-332,MIL,,CLE,L (-1),1,38:52,.565,.556,16.5,27.4,22.0,45.4,1.3,0.0,0.0,34.2,139,117,32.4,14.5
7,,2024-11-04,29-334,MIL,@,CLE,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7,2024-11-07,29-337,MIL,,UTA,W (+23),1,30:12,.590,.524,22.7,41.8,31.8,12.5,1.7,4.4,13.2,44.5,119,99,23.8,0.8
9,8,2024-11-08,29-338,MIL,@,NYK,L (-22),1,32:12,.508,.524,9.9,30.5,20.1,15.2,0.0,6.6,4.1,34.9,105,118,17.9,5.6
10,9,2024-11-10,29-340,MIL,,BOS,L (-6),1,39:09,.644,.638,3.1,33.4,19.2,36.2,0.0,6.8,2.9,40.9,129,115,34.9,12.4
11,10,2024-11-12,29-342,MIL,,TOR,W (+14),1,33:20,.721,.750,2.9,8.3,5.7,40.3,0.0,9.4,20.0,24.7,124,94,21.1,10.4
12,11,2024-11-13,29-343,MIL,,DET,W (+7),1,43:38,.711,.632,8.5,27.3,18.5,43.6,2.3,5.9,6.7,45.8,143,106,54.2,22.3
13,12,2024-11-16,29-346,MIL,@,CHO,L (-1),1,33:29,.490,.500,6.4,38.8,23.1,55.1,0.0,5.6,8.2,33.1,115,111,22.9,9.0
14,13,2024-11-18,29-348,MIL,,HOU,W (+1),1,35:35,.498,.529,6.6,27.0,18.3,20.9,0.0,6.0,28.5,35.3,78,95,10.1,-4.5
15,14,2024-11-20,29-350,MIL,,CHI,W (+16),1,35:22,.680,.708,3.6,27.1,15.7,51.9,1.4,0.0,3.2,40.0,142,109,36.5,15.7
16,15,2024-11-22,29-352,MIL,,IND,W (+12),1,34:45,.716,.667,6.6,23.0,15.3,53.0,2.7,2.4,18.8,37.7,132,107,33.7,13.6
17,16,2024-11-23,29-353,MIL,,CHO,W (+6),1,31:29,.584,.543,6.9,24.9,16.9,37.0,0.0,5.8,12.7,41.8,117,112,24.8,6.7
18,,2024-11-26,29-356,MIL,@,MIA,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,17,2024-11-30,29-360,MIL,,WAS,W (+10),1,37:43,.667,.625,6.4,32.6,19.3,56.2,0.0,2.3,11.3,41.4,134,114,38.0,13.7
20,18,2024-12-03,29-363,MIL,@,DET,W (+21),1,27:41,.860,.909,5.4,23.1,15.8,50.1,0.0,3.2,26.9,36.0,140,108,24.7,10.9
21,19,2024-12-04,29-364,MIL,,ATL,L (-15),1,36:09,.609,.571,11.3,19.8,15.5,29.7,1.3,0.0,13.6,35.1,118,114,24.6,5.6
22,20,2024-12-06,30-000,MIL,@,BOS,L (-6),1,36:25,.543,.520,2.9,28.7,15.8,5.8,0.0,0.0,3.5,34.2,113,120,20.3,5.6
23,21,2024-12-08,30-002,MIL,@,BRK,W (+5),1,38:01,.644,.636,9.7,32.5,22.8,23.7,1.4,8.2,10.2,37.8,122,116,28.8,4.1
24,22,2024-12-10,30-004,MIL,,ORL,W (+5),1,35:36,.632,.625,3.7,17.2,11.4,6.2,2.7,8.2,17.0,45.7,101,104,25.8,2.2
25,23,2024-12-14,30-008,MIL,,ATL,W (+8),1,37:54,.698,.667,2.9,34.3,19.5,43.3,1.2,8.7,4.2,27.3,148,93,36.4,21.2
26,24,2024-12-20,30-014,MIL,@,CLE,L (-23),1,30:25,.625,.614,6.4,43.0,23.8,24.3,4.6,0.0,15.9,43.9,106,111,25.5,9.3
27,,2024-12-21,30-015,MIL,,WAS,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2024-12-23,30-017,MIL,@,CHI,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2024-12-26,30-020,MIL,,BRK,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2024-12-28,30-022,MIL,@,CHI,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,25,2024-12-31,30-025,MIL,@,IND,W (+8),1,34:49,.583,.550,5.1,29.3,16.4,23.1,2.6,0.0,7.2,32.0,120,99,24.7,8.5
32,26,2025-01-02,30-027,MIL,,BRK,L (-3),1,37:06,.475,.500,7.8,27.5,17.3,37.0,1.3,7.9,9.6,34.9,102,106,20.7,6.6
33,27,2025-01-04,30-029,MIL,,POR,L (-3),1,38:20,.539,.519,4.6,25.6,14.1,10.7,2.5,5.1,12.2,37.3,95,100,21.4,2.5
34,28,2025-01-06,30-031,MIL,@,TOR,W (+24),1,28:47,.619,.625,5.2,37.4,24.7,56.1,0.0,0.0,44.1,24.2,111,102,12.7,3.5
35,29,2025-01-08,30-033,MIL,,SAS,W (+16),1,35:42,.519,.524,9.2,29.6,20.9,36.8,0.0,3.1,14.2,33.8,109,103,21.0,3.9
36,30,2025-01-10,30-035,MIL,@,ORL,W (+3),1,36:32,.614,.655,10.1,30.1,21.1,29.1,4.1,5.7,8.2,45.1,118,99,33.5,13.7
37,31,2025-01-12,30-037,MIL,@,NYK,L (-34),1,30:56,.472,.476,20.1,27.4,22.9,11.3,0.0,3.3,13.6,39.5,96,141,14.5,-4.7
38,32,2025-01-14,30-039,MIL,,SAC,W (+15),1,36:39,.633,.609,2.8,26.2,14.9,55.5,0.0,4.9,10.3,32.9,133,109,31.7,15.8
39,33,2025-01-15,30-040,MIL,,ORL,W (+29),1,29:51,.702,.733,0.0,32.2,21.8,23.6,1.5,0.0,24.5,36.4,106,88,19.4,2.4
40,34,2025-01-17,30-042,MIL,,TOR,W (+18),1,35:24,.627,.600,13.2,26.5,20.3,15.8,1.4,2.4,17.7,40.7,113,108,25.1,0.5
41,35,2025-01-19,30-044,MIL,,PHI,W (+14),1,36:14,.734,.765,9.9,34.6,23.1,30.8,0.0,0.0,0.0,28.6,158,111,34.0,14.7
42,36,2025-01-23,30-048,MIL,,MIA,W (+29),1,31:56,.558,.556,6.3,26.4,17.2,19.4,0.0,11.0,4.3,30.9,119,91,21.9,6.5
43,37,2025-01-25,30-050,MIL,@,LAC,L (-10),1,35:00,.629,.545,6.9,30.8,20.0,6.7,0.0,2.2,12.3,41.8,113,122,25.1,0.9
44,38,2025-01-27,30-052,MIL,@,UTA,W (+15),1,36:37,.639,.696,3.6,39.8,25.6,29.6,2.6,0.0,6.8,36.5,125,97,32.4,9.9
45,39,2025-01-28,30-053,MIL,@,POR,L (-13),1,35:55,.687,.708,12.1,24.3,18.2,31.4,0.0,0.0,12.3,40.9,126,129,30.1,7.6
46,40,2025-01-31,30-056,MIL,@,SAS,L (-26),1,34:00,.600,.565,9.9,32.8,19.8,34.4,0.0,2.7,6.4,36.2,128,138,29.6,10.1
47,41,2025-02-02,30-058,MIL,,MEM,L (-13),1,37:11,.635,.714,11.0,18.1,14.6,34.9,2.5,1.9,14.5,31.8,116,123,25.8,7.5
48,,2025-02-03,30-059,MIL,@,OKC,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2025-02-05,30-061,MIL,@,CHO,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
50,,2025-02-07,30-063,MIL,@,ATL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2025-02-09,30-065,MIL,,PHI,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2025-02-10,30-066,MIL,,GSW,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2025-02-12,30-068,MIL,@,MIN,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,42,2025-02-20,30-076,MIL,,LAC,W (+6),1,23:45,.710,.714,0.0,36.7,19.2,45.4,0.0,3.5,15.6,35.3,122,107,18.1,9.3
55,43,2025-02-21,30-077,MIL,@,WAS,W (+3),1,19:18,.650,.667,11.8,22.6,17.4,31.0,2.5,5.2,33.6,46.9,91,96,9.1,-4.6
56,44,2025-02-23,30-079,MIL,,MIA,W (+7),1,31:55,.639,.639,10.3,46.5,28.0,38.3,1.6,2.6,14.3,30.2,125,107,23.6,11.5
57,45,2025-02-25,30-081,MIL,@,HOU,L (-3),1,31:44,.606,.529,3.7,27.8,16.8,44.5,1.5,2.7,4.3,32.0,127,95,25.0,15.5
58,46,2025-02-27,30-083,MIL,,DEN,W (+9),1,32:37,.528,.500,6.1,45.5,27.1,39.9,0.0,2.1,7.0,37.0,112,98,24.0,7.8
59,47,2025-03-01,30-085,MIL,@,DAL,W (+15),1,32:02,.735,.643,7.7,22.8,15.9,44.2,1.5,5.9,0.0,25.6,174,112,33.4,19.5
60,48,2025-03-04,30-088,MIL,@,ATL,W (+6),1,33:49,.558,.500,9.5,24.1,17.4,39.2,1.3,0.0,11.4,30.8,121,110,24.4,8.1
61,49,2025-03-05,30-089,MIL,,DAL,W (+30),1,24:50,.707,.650,23.4,40.9,34.1,28.8,1.8,0.0,11.7,43.3,138,97,28.9,10.5
62,50,2025-03-08,30-092,MIL,,ORL,L (-2),1,35:00,.665,.652,16.6,24.6,21.0,26.9,1.5,0.0,3.5,40.3,139,120,32.6,11.8
63,51,2025-03-09,30-093,MIL,,CLE,L (-12),1,33:40,.545,.542,12.4,14.9,13.7,20.9,2.9,0.0,12.7,38.4,107,113,20.8,8.1
