Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,24-172,LAC,,PHO,L (-3),0,12:56,.125,.125,8.0,29.3,17.6,21.6,3.7,0.0,20.0,32.2,40,99,-2.0,-19.1
2,2,2024-10-26,24-175,LAC,@,DEN,W (+5),0,14:48,.200,.200,8.5,7.5,8.0,9.7,0.0,0.0,16.7,36.0,48,118,-2.9,-27.2
3,3,2024-10-27,24-176,LAC,@,GSW,W (+8),0,16:48,.444,.357,0.0,0.0,0.0,23.6,5.6,0.0,20.2,23.9,90,99,3.8,-1.8
4,4,2024-10-30,24-179,LAC,,POR,L (-1),0,15:03,.455,.455,6.6,33.2,19.9,12.7,6.6,0.0,31.3,45.6,64,95,3.8,-11.9
5,5,2024-10-31,24-180,LAC,,PHO,L (-6),0,17:22,.543,.500,6.0,27.0,15.9,19.5,0.0,6.4,13.4,35.4,106,128,9.2,-4.2
6,6,2024-11-02,24-182,LAC,,OKC,L (-13),0,18:52,.470,.500,5.3,17.8,11.2,41.8,0.0,0.0,21.2,21.4,91,113,4.9,-1.0
7,7,2024-11-04,24-184,LAC,,SAS,W (+9),0,19:28,.300,.300,10.1,37.0,22.2,51.4,2.7,0.0,16.7,27.3,97,105,7.3,-1.0
8,8,2024-11-06,24-186,LAC,,PHI,W (+12),0,11:31,.225,.250,0.0,26.9,13.7,33.9,0.0,0.0,31.1,27.0,62,113,-0.1,-17.8
9,9,2024-11-08,24-188,LAC,@,SAC,W (+9),0,18:33,.583,.556,0.0,0.0,0.0,0.0,2.7,0.0,29.8,31.0,76,101,3.3,-8.8
10,10,2024-11-09,24-189,LAC,,TOR,W (+2),0,21:34,.644,.667,0.0,25.7,14.7,46.6,2.3,0.0,14.7,29.2,121,102,13.0,8.9
11,11,2024-11-11,24-191,LAC,@,OKC,L (-6),0,14:20,.615,.583,0.0,8.2,4.4,19.7,0.0,7.4,21.5,26.7,113,134,6.0,-1.3
12,12,2024-11-13,24-193,LAC,@,HOU,L (-8),0,5:47,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0,123,-1.9,-25.9
13,13,2024-11-15,24-195,LAC,@,HOU,L (-21),0,24:46,.593,.650,0.0,12.4,5.9,23.9,0.0,0.0,19.2,25.4,102,126,8.4,1.2
14,14,2024-11-17,24-197,LAC,,UTA,W (+11),0,27:25,.667,.667,3.8,14.6,8.5,29.6,1.9,0.0,10.0,15.8,140,114,13.5,3.8
15,15,2024-11-18,24-198,LAC,,GSW,W (+3),0,15:56,.405,.333,0.0,0.0,0.0,11.6,0.0,15.1,23.3,35.3,64,100,2.0,-11.4
16,16,2024-11-20,24-200,LAC,,ORL,W (+11),0,20:08,.500,.500,12.9,13.2,13.1,54.9,5.0,6.0,23.1,27.9,109,87,9.7,7.7
17,17,2024-11-22,24-202,LAC,,SAC,W (+16),0,25:42,.438,.438,0.0,22.0,11.0,14.4,1.9,0.0,0.0,26.4,92,90,9.4,-1.2
18,18,2024-11-24,24-204,LAC,@,PHI,W (+26),0,24:23,.463,.455,6.6,16.8,12.8,26.5,0.0,4.2,25.2,28.7,92,107,5.8,-10.6
19,19,2024-11-25,24-205,LAC,@,BOS,L (-32),0,17:21,.394,.375,5.6,6.6,6.1,9.0,2.8,7.5,10.1,24.9,82,124,4.6,-3.2
20,20,2024-11-27,24-207,LAC,@,WAS,W (+25),0,24:31,.202,.111,0.0,21.8,11.3,4.5,3.9,0.0,16.8,20.1,46,94,-0.1,-17.6
21,21,2024-11-29,24-209,LAC,@,MIN,L (-1),0,24:27,.697,.650,8.5,23.4,15.6,24.3,6.3,0.0,29.1,32.2,104,90,13.8,7.5
22,,2024-12-01,24-211,LAC,,DEN,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-03,24-213,LAC,,POR,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-04,24-214,LAC,,MIN,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,22,2024-12-08,24-218,LAC,,HOU,L (-11),1,37:25,.503,.500,0.0,6.8,3.1,25.0,2.7,0.0,5.0,23.8,106,125,13.8,0.5
26,23,2024-12-13,24-223,LAC,@,DEN,L (-22),0,24:02,.581,.583,0.0,19.3,7.8,31.9,3.8,0.0,6.8,26.8,113,114,12.3,4.6
27,24,2024-12-16,24-226,LAC,,UTA,W (+37),0,26:13,.329,.125,17.2,20.8,19.3,23.3,5.3,0.0,15.8,20.6,108,97,9.4,-4.0
28,25,2024-12-19,24-229,LAC,@,DAL,W (+23),0,19:44,.545,.545,0.0,20.7,11.2,0.0,0.0,0.0,15.4,29.4,84,99,4.7,-9.9
29,26,2024-12-21,24-231,LAC,@,DAL,L (-16),0,27:23,.738,.750,4.4,4.1,4.2,26.3,1.8,0.0,23.7,27.5,111,122,12.3,2.9
30,27,2024-12-23,24-233,LAC,@,MEM,W (+4),0,20:21,.437,.393,4.5,20.7,13.0,31.2,4.4,0.0,16.8,33.9,89,96,7.6,-0.6
31,,2024-12-27,24-237,LAC,,GSW,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,28,2024-12-30,24-240,LAC,@,NOP,W (+3),0,16:08,.278,.278,0.0,18.6,7.9,34.0,0.0,0.0,18.2,28.5,73,123,-0.3,-17.6
33,29,2024-12-31,24-241,LAC,@,SAS,L (-36),0,13:24,.167,.167,6.8,23.4,14.5,54.2,0.0,0.0,14.3,23.0,62,126,0.8,-11.2
34,30,2025-01-02,24-243,LAC,@,OKC,L (-18),0,24:19,.391,.273,4.8,10.1,7.4,18.5,0.0,4.1,6.6,27.4,93,119,6.8,-4.6
35,31,2025-01-04,24-245,LAC,,ATL,W (+26),0,18:36,.856,.857,0.0,15.8,8.5,48.2,4.7,0.0,10.2,20.9,166,91,17.7,17.8
36,32,2025-01-06,24-247,LAC,@,MIN,L (-2),0,18:49,.643,.700,4.9,24.5,14.7,60.8,2.6,0.0,26.9,16.8,122,107,10.0,10.4
37,33,2025-01-08,24-249,LAC,@,DEN,L (-23),0,15:16,.571,.643,0.0,0.0,0.0,18.0,6.4,5.8,0.0,25.1,115,116,8.9,10.1
38,34,2025-01-13,24-254,LAC,,MIA,W (+11),0,16:02,.300,.300,0.0,0.0,0.0,33.2,0.0,9.1,16.7,32.8,67,107,1.3,-12.1
39,,2025-01-15,24-256,LAC,,BRK,W (+59),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,35,2025-01-16,24-257,LAC,@,POR,W (+29),0,13:32,.680,.600,0.0,19.0,12.2,31.9,0.0,0.0,25.4,25.9,117,95,6.7,1.7
41,36,2025-01-19,24-260,LAC,,LAL,W (+14),0,14:51,.581,.583,0.0,0.0,0.0,26.0,3.4,6.6,0.0,20.6,137,104,8.4,11.7
42,37,2025-01-20,24-261,LAC,,CHI,L (-13),0,22:20,.100,.100,0.0,13.7,6.9,24.7,2.2,0.0,0.0,19.3,44,115,-0.3,-12.7
43,38,2025-01-22,24-263,LAC,,BOS,L (-4),1,38:32,.619,.619,0.0,24.7,13.4,31.6,3.9,0.0,12.5,27.8,121,107,21.9,7.5
44,39,2025-01-23,24-264,LAC,,WAS,W (+17),0,12:25,.000,.000,0.0,6.7,3.7,9.7,3.8,0.0,25.0,13.6,17,93,-1.5,-15.0
45,40,2025-01-25,24-266,LAC,,MIL,W (+10),0,23:45,.450,.375,4.1,35.4,18.2,16.0,6.0,0.0,0.0,15.4,117,105,11.1,5.4
46,41,2025-01-27,24-268,LAC,@,PHO,L (-2),0,14:06,.000,.000,0.0,23.8,12.6,8.3,0.0,0.0,25.0,12.8,18,123,-1.5,-18.0
