Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-24,29-092,WAS,,BOS,L (-20),1,27:39,.375,.375,0.0,8.3,3.9,5.7,1.7,3.9,5.9,25.0,74,122,4.8,-10.0
2,2,2024-10-26,29-094,WAS,,CLE,L (-19),1,24:17,.343,.188,10.8,25.3,16.8,19.1,0.0,0.0,4.7,33.8,93,132,7.9,-10.1
3,3,2024-10-28,29-096,WAS,@,ATL,W (+2),1,40:25,.552,.525,5.7,26.7,15.9,26.4,0.0,0.0,18.1,27.7,107,116,16.6,-1.2
4,,2024-10-30,29-098,WAS,,ATL,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-11-02,29-101,WAS,,MIA,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2024-11-04,29-103,WAS,,GSW,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2024-11-08,29-107,WAS,@,MEM,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2024-11-10,29-109,WAS,@,ORL,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,4,2024-11-11,29-110,WAS,@,HOU,L (-15),1,24:10,.488,.472,0.0,18.5,8.6,0.0,2.0,0.0,14.0,37.8,78,107,6.2,-6.9
10,5,2024-11-13,29-112,WAS,@,SAS,L (-9),1,25:18,.556,.556,4.5,25.0,14.2,9.2,0.0,4.0,40.0,23.7,73,132,2.0,-14.4
11,6,2024-11-15,29-114,WAS,@,ATL,L (-12),1,29:00,.429,.429,0.0,27.6,13.9,6.7,0.0,2.7,12.5,40.4,75,115,8.1,-11.4
12,7,2024-11-17,29-116,WAS,,DET,L (-20),1,28:58,.718,.750,7.7,14.1,11.0,7.4,0.0,0.0,20.7,29.4,108,128,13.9,-2.4
13,8,2024-11-18,29-117,WAS,@,NYK,L (-28),1,24:06,.500,.500,0.0,44.3,19.4,12.1,0.0,0.0,8.3,22.1,101,141,7.7,-6.3
14,9,2024-11-22,29-121,WAS,,BOS,L (-12),1,34:34,.540,.553,0.0,8.7,4.6,5.5,1.4,0.0,4.9,24.3,105,110,11.3,0.6
15,10,2024-11-24,29-123,WAS,@,IND,L (-12),1,30:17,.500,.500,0.0,3.5,1.8,5.6,0.0,0.0,23.1,19.3,75,127,1.8,-15.1
16,11,2024-11-26,29-125,WAS,,CHI,L (-19),1,32:42,.504,.417,0.0,22.3,11.0,15.3,2.7,0.0,0.0,28.3,106,115,17.8,0.6
17,12,2024-11-27,29-126,WAS,,LAC,L (-25),1,8:21,.000,.000,0.0,27.4,13.2,16.4,0.0,0.0,0.0,10.0,29,122,-0.1,-12.0
18,,2024-11-30,29-129,WAS,@,MIL,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2024-12-03,29-132,WAS,@,CLE,L (-31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2024-12-05,29-134,WAS,,DAL,L (-36),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2024-12-07,29-136,WAS,,DEN,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2024-12-08,29-137,WAS,,MEM,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-13,29-142,WAS,@,CLE,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-15,29-144,WAS,,BOS,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
